Timestamp,['1cca74ce-2848d284 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts BC']
2017-09-10T00:00:00-06:00,213.39583333333334 V
2017-09-11T00:00:00-06:00,213.16666666666666 V
2017-09-12T00:00:00-06:00,213.48958333333334 V
2017-09-13T00:00:00-06:00,213.17708333333334 V
2017-09-14T00:00:00-06:00,213.375 V
2017-09-15T00:00:00-06:00,213.4375 V
2017-09-16T00:00:00-06:00,213.625 V
2017-09-17T00:00:00-06:00,213.26041666666666 V
2017-09-18T00:00:00-06:00,213.5 V
2017-09-19T00:00:00-06:00,213.27083333333334 V
2017-09-20T00:00:00-06:00,213.44791666666666 V
2017-09-21T00:00:00-06:00,213.66666666666666 V
2017-09-22T00:00:00-06:00,213.52083333333334 V
2017-09-23T00:00:00-06:00,213.58333333333334 V
2017-09-24T00:00:00-06:00,213.3125 V
2017-09-25T00:00:00-06:00,213.61458333333334 V
2017-09-26T00:00:00-06:00,213.57291666666666 V
2017-09-27T00:00:00-06:00,213.60416666666666 V
2017-09-28T00:00:00-06:00,213.44791666666666 V
2017-09-29T00:00:00-06:00,213.41666666666666 V
2017-09-30T00:00:00-06:00,213.5625 V
2017-10-01T00:00:00-06:00,213.36458333333334 V
2017-10-02T00:00:00-06:00,213.55208333333334 V
2017-10-03T00:00:00-06:00,213.69791666666666 V
2017-10-04T00:00:00-06:00,213.45833333333334 V
2017-10-05T00:00:00-06:00,213.66666666666666 V
2017-10-06T00:00:00-06:00,213.67708333333334 V
2017-10-07T00:00:00-06:00,213.55208333333334 V
2017-10-08T00:00:00-06:00,213.84375 V
2017-10-09T00:00:00-06:00,213.51041666666666 V
2017-10-10T00:00:00-06:00,213.67708333333334 V
2017-10-11T00:00:00-06:00,213.36458333333334 V
2017-10-12T00:00:00-06:00,213.64583333333334 V
2017-10-13T00:00:00-06:00,213.61458333333334 V
2017-10-14T00:00:00-06:00,213.6875 V
2017-10-15T00:00:00-06:00,213.4375 V
2017-10-16T00:00:00-06:00,213.61458333333334 V
2017-10-17T00:00:00-06:00,213.42708333333334 V
2017-10-18T00:00:00-06:00,213.32291666666666 V
2017-10-19T00:00:00-06:00,213.59375 V
2017-10-20T00:00:00-06:00,213.53125 V
2017-10-21T00:00:00-06:00,213.59375 V
2017-10-22T00:00:00-06:00,213.60416666666666 V
2017-10-23T00:00:00-06:00,213.57291666666666 V
2017-10-24T00:00:00-06:00,213.48958333333334 V
2017-10-25T00:00:00-06:00,213.44791666666666 V
2017-10-26T00:00:00-06:00,213.69791666666666 V
2017-10-27T00:00:00-06:00,213.78125 V
2017-10-28T00:00:00-06:00,213.58333333333334 V
2017-10-29T00:00:00-06:00,213.57291666666666 V
2017-10-30T00:00:00-06:00,213.77083333333334 V
2017-10-31T00:00:00-06:00,213.78125 V
2017-11-01T00:00:00-06:00,213.59375 V
2017-11-02T00:00:00-06:00,213.46875 V
2017-11-03T00:00:00-06:00,213.55208333333334 V
2017-11-04T00:00:00-06:00,213.71875 V
2017-11-05T00:00:00-06:00,213.49 V
2017-11-06T00:00:00-07:00,213.27083333333334 V
2017-11-07T00:00:00-07:00,213.32291666666666 V
2017-11-08T00:00:00-07:00,213.3125 V
2017-11-09T00:00:00-07:00,213.38541666666666 V
2017-11-10T00:00:00-07:00,213.53125 V
2017-11-11T00:00:00-07:00,213.3125 V
2017-11-12T00:00:00-07:00,213.44791666666666 V
2017-11-13T00:00:00-07:00,213.5625 V
2017-11-14T00:00:00-07:00,213.90625 V
2017-11-15T00:00:00-07:00,213.4375 V
2017-11-16T00:00:00-07:00,213.29166666666666 V
2017-11-17T00:00:00-07:00,213.64583333333334 V
2017-11-18T00:00:00-07:00,213.82291666666666 V
2017-11-19T00:00:00-07:00,213.86458333333334 V
2017-11-20T00:00:00-07:00,213.41666666666666 V
2017-11-21T00:00:00-07:00,213.51041666666666 V
2017-11-22T00:00:00-07:00,213.30208333333334 V
2017-11-23T00:00:00-07:00,213.78125 V
2017-11-24T00:00:00-07:00,213.48958333333334 V
2017-11-25T00:00:00-07:00,213.38541666666666 V
