Timestamp,['1cac6e4c-0002e86a 0011-BROWNING BLDG Power Meter 311945 KW Total']
2017-08-25T00:00:00-06:00,120.73588562011719 kW
2017-08-26T00:00:00-06:00,62.75234603881836 kW
2017-08-27T00:00:00-06:00,53.283851623535156 kW
2017-08-28T00:00:00-06:00,130.34727478027344 kW
2017-08-29T00:00:00-06:00,115.31816864013672 kW
2017-08-30T00:00:00-06:00,83.60275268554688 kW
2017-08-31T00:00:00-06:00,107.66059875488281 kW
2017-09-01T00:00:00-06:00,85.61512756347656 kW
2017-09-02T00:00:00-06:00,58.191951751708984 kW
2017-09-03T00:00:00-06:00,58.17253112792969 kW
2017-09-04T00:00:00-06:00,58.488616943359375 kW
2017-09-05T00:00:00-06:00,81.23860168457031 kW
2017-09-06T00:00:00-06:00,72.02705383300781 kW
2017-09-07T00:00:00-06:00,83.87238311767578 kW
2017-09-08T00:00:00-06:00,81.2950668334961 kW
2017-09-09T00:00:00-06:00,62.421993255615234 kW
2017-09-10T00:00:00-06:00,55.073631286621094 kW
2017-09-11T00:00:00-06:00,78.93973541259766 kW
2017-09-12T00:00:00-06:00,73.98786163330078 kW
2017-09-13T00:00:00-06:00,73.31632995605469 kW
2017-09-14T00:00:00-06:00,70.09471893310547 kW
2017-09-15T00:00:00-06:00,82.01787567138672 kW
2017-09-16T00:00:00-06:00,57.73524475097656 kW
2017-09-17T00:00:00-06:00,52.4951171875 kW
2017-09-18T00:00:00-06:00,69.33856201171875 kW
2017-09-19T00:00:00-06:00,73.18692016601562 kW
2017-09-20T00:00:00-06:00,77.45153045654297 kW
2017-09-21T00:00:00-06:00,94.2300796508789 kW
2017-09-22T00:00:00-06:00,79.5262680053711 kW
2017-09-23T00:00:00-06:00,56.79664993286133 kW
2017-09-24T00:00:00-06:00,53.58799743652344 kW
2017-09-25T00:00:00-06:00,92.83251190185547 kW
2017-09-26T00:00:00-06:00,87.73170471191406 kW
2017-09-27T00:00:00-06:00,104.14785766601562 kW
2017-09-28T00:00:00-06:00,125.12266540527344 kW
2017-09-29T00:00:00-06:00,78.64019775390625 kW
2017-09-30T00:00:00-06:00,62.16257095336914 kW
2017-10-01T00:00:00-06:00,55.02151107788086 kW
