Timestamp,['1da98333-ebc83065 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts A-N']
2017-11-20T00:00:00-07:00,283.4046910603841 V
2017-11-21T00:00:00-07:00,283.4317986170451 V
2017-11-22T00:00:00-07:00,283.1438029607137 V
2017-11-23T00:00:00-07:00,283.53543281555176 V
2017-11-24T00:00:00-07:00,283.23632621765137 V
2017-11-25T00:00:00-07:00,282.4535207748413 V
2017-11-26T00:00:00-07:00,283.05124282836914 V
2017-11-27T00:00:00-07:00,283.07793108622235 V
2017-11-28T00:00:00-07:00,283.370618502299 V
2017-11-29T00:00:00-07:00,283.4818347295125 V
2017-11-30T00:00:00-07:00,283.5945631663005 V
2017-12-01T00:00:00-07:00,283.1505667368571 V
2017-12-02T00:00:00-07:00,283.0838673909505 V
2017-12-03T00:00:00-07:00,283.25126520792645 V
2017-12-04T00:00:00-07:00,283.5387856165568 V
2017-12-05T00:00:00-07:00,283.27048746744794 V
2017-12-06T00:00:00-07:00,283.01750055948895 V
2017-12-07T00:00:00-07:00,283.04095427195233 V
2017-12-08T00:00:00-07:00,282.9944903055827 V
2017-12-09T00:00:00-07:00,283.5250350149054 V
2017-12-10T00:00:00-07:00,283.50099595387775 V
2017-12-11T00:00:00-07:00,283.6916201909383 V
2017-12-12T00:00:00-07:00,283.32573795318604 V
2017-12-13T00:00:00-07:00,283.96527703603107 V
2017-12-14T00:00:00-07:00,283.5323905944824 V
2017-12-15T00:00:00-07:00,283.40394560496014 V
2017-12-16T00:00:00-07:00,283.50076229697777 V
2017-12-17T00:00:00-07:00,283.50306447347003 V
2017-12-18T00:00:00-07:00,283.75733462246984 V
2017-12-19T00:00:00-07:00,283.5857578913371 V
2017-12-20T00:00:00-07:00,283.49086538950604 V
2017-12-21T00:00:00-07:00,283.580392519633 V
2017-12-22T00:00:00-07:00,283.73390197753906 V
2017-12-23T00:00:00-07:00,283.171217918396 V
2017-12-24T00:00:00-07:00,283.69683837890625 V
2017-12-25T00:00:00-07:00,283.4466272989909 V
2017-12-26T00:00:00-07:00,283.56557591756183 V
2017-12-27T00:00:00-07:00,283.52543290456134 V
2017-12-28T00:00:00-07:00,283.4291051228841 V
2017-12-29T00:00:00-07:00,283.29069264729816 V
2017-12-30T00:00:00-07:00,283.24231910705566 V
2017-12-31T00:00:00-07:00,283.2975444793701 V
