Timestamp,['1ee9af93-fc2b042a 0053-OLPIN UNION Power Meter (53-1) Current A']
2017-08-29T00:00:00-06:00,114.48733253889186 A
2017-08-30T00:00:00-06:00,91.37447639465331 A
2017-08-31T00:00:00-06:00,97.04462746779124 A
2017-09-01T00:00:00-06:00,73.13210984071095 A
2017-09-02T00:00:00-06:00,55.61286914348602 A
2017-09-03T00:00:00-06:00,57.18338763713837 A
2017-09-04T00:00:00-06:00,59.936031421025596 A
2017-09-05T00:00:00-06:00,81.61898052692413 A
2017-09-06T00:00:00-06:00,81.31952504316966 A
2017-09-07T00:00:00-06:00,73.904181599617 A
2017-09-08T00:00:00-06:00,72.26675162064402 A
2017-09-09T00:00:00-06:00,60.502947767575584 A
2017-09-10T00:00:00-06:00,53.67024636268616 A
2017-09-11T00:00:00-06:00,78.73905630906422 A
2017-09-12T00:00:00-06:00,82.48420755068462 A
2017-09-13T00:00:00-06:00,99.47018682956696 A
2017-09-14T00:00:00-06:00,67.77250901858012 A
2017-09-15T00:00:00-06:00,61.03677535057068 A
2017-09-16T00:00:00-06:00,52.91668506463369 A
2017-09-17T00:00:00-06:00,49.95552670955658 A
2017-09-18T00:00:00-06:00,59.29954540729523 A
2017-09-19T00:00:00-06:00,56.03587679862976 A
2017-09-20T00:00:00-06:00,58.93904503186544 A
2017-09-21T00:00:00-06:00,58.92430690924326 A
2017-09-22T00:00:00-06:00,56.29691894849142 A
2017-09-23T00:00:00-06:00,50.43859887123108 A
2017-09-24T00:00:00-06:00,49.39343138535818 A
2017-09-25T00:00:00-06:00,56.6297402381897 A
2017-09-26T00:00:00-06:00,59.67105197906494 A
2017-09-27T00:00:00-06:00,58.76992630958557 A
2017-09-28T00:00:00-06:00,57.71063896020254 A
2017-09-29T00:00:00-06:00,58.40632383028666 A
2017-09-30T00:00:00-06:00,51.96120071411133 A
2017-10-01T00:00:00-06:00,49.179716070493065 A
2017-10-02T00:00:00-06:00,58.28509231408437 A
2017-10-03T00:00:00-06:00,61.127399961153664 A
2017-10-04T00:00:00-06:00,62.62298460801443 A
2017-10-05T00:00:00-06:00,61.42610088984171 A
2017-10-06T00:00:00-06:00,59.17213527361552 A
2017-10-07T00:00:00-06:00,56.92489079634348 A
2017-10-08T00:00:00-06:00,49.722084085146584 A
2017-10-09T00:00:00-06:00,55.17454799016317 A
2017-10-10T00:00:00-06:00,55.51673010985056 A
2017-10-11T00:00:00-06:00,55.207407077153526 A
2017-10-12T00:00:00-06:00,54.76388510068258 A
2017-10-13T00:00:00-06:00,56.332340598106384 A
2017-10-14T00:00:00-06:00,52.444713830947876 A
2017-10-15T00:00:00-06:00,48.65385031700134 A
2017-10-16T00:00:00-06:00,59.22976052761078 A
2017-10-17T00:00:00-06:00,58.83099420865377 A
2017-10-18T00:00:00-06:00,60.143439133962 A
2017-10-19T00:00:00-06:00,59.973002990086876 A
2017-10-20T00:00:00-06:00,59.66229875882467 A
2017-10-21T00:00:00-06:00,54.670278469721474 A
2017-10-22T00:00:00-06:00,52.26608578364054 A
2017-10-23T00:00:00-06:00,59.26789645353953 A
2017-10-24T00:00:00-06:00,58.55639771620432 A
2017-10-25T00:00:00-06:00,59.28952113787333 A
2017-10-26T00:00:00-06:00,59.103846629460655 A
2017-10-27T00:00:00-06:00,60.90673510233561 A
2017-10-28T00:00:00-06:00,53.73598659038544 A
2017-10-29T00:00:00-06:00,48.39375273386637 A
2017-10-30T00:00:00-06:00,56.75599284966787 A
2017-10-31T00:00:00-06:00,56.28441600004832 A
2017-11-01T00:00:00-06:00,58.01301101843516 A
2017-11-02T00:00:00-06:00,55.99716794490814 A
2017-11-03T00:00:00-06:00,56.51351833343506 A
2017-11-04T00:00:00-06:00,52.25616455078125 A
2017-11-05T00:00:00-06:00,49.935629806518556 A
2017-11-06T00:00:00-07:00,56.891050020853676 A
2017-11-07T00:00:00-07:00,56.89959434668223 A
2017-11-08T00:00:00-07:00,57.21192594369253 A
2017-11-09T00:00:00-07:00,57.22707235813141 A
2017-11-10T00:00:00-07:00,58.38753898938497 A
2017-11-11T00:00:00-07:00,53.5375314950943 A
2017-11-12T00:00:00-07:00,48.39888723691305 A
2017-11-13T00:00:00-07:00,56.79557283719381 A
2017-11-14T00:00:00-07:00,58.103179494539894 A
2017-11-15T00:00:00-07:00,58.33896513779958 A
2017-11-16T00:00:00-07:00,56.74833925565084 A
2017-11-17T00:00:00-07:00,57.47252639134725 A
2017-11-18T00:00:00-07:00,51.38083346684774 A
2017-11-19T00:00:00-07:00,48.88778273264567 A
2017-11-20T00:00:00-07:00,56.967008193333946 A
2017-11-21T00:00:00-07:00,58.26657827695211 A
2017-11-22T00:00:00-07:00,58.70938821633657 A
2017-11-23T00:00:00-07:00,46.42824101448059 A
2017-11-24T00:00:00-07:00,48.56293523311615 A
2017-11-25T00:00:00-07:00,48.05066021283468 A
2017-11-26T00:00:00-07:00,45.86280167102814 A
2017-11-27T00:00:00-07:00,56.296085715293884 A
2017-11-28T00:00:00-07:00,57.671725710233055 A
2017-11-29T00:00:00-07:00,58.26394216219584 A
2017-11-30T00:00:00-07:00,55.950080831845604 A
2017-12-01T00:00:00-07:00,56.18236005306244 A
2017-12-02T00:00:00-07:00,51.89908170700073 A
2017-12-03T00:00:00-07:00,49.08489437898 A
2017-12-04T00:00:00-07:00,56.339036424954735 A
2017-12-05T00:00:00-07:00,56.75173878669739 A
2017-12-06T00:00:00-07:00,57.38760379950205 A
2017-12-07T00:00:00-07:00,56.87057741483053 A
2017-12-08T00:00:00-07:00,57.187629659970604 A
2017-12-09T00:00:00-07:00,53.25925874710083 A
2017-12-10T00:00:00-07:00,50.33476630846659 A
2017-12-11T00:00:00-07:00,56.072941382726036 A
2017-12-12T00:00:00-07:00,56.048636635144554 A
2017-12-13T00:00:00-07:00,55.910524447758995 A
2017-12-14T00:00:00-07:00,57.495590686798096 A
2017-12-15T00:00:00-07:00,54.140366077423096 A
2017-12-16T00:00:00-07:00,50.98892422517141 A
2017-12-17T00:00:00-07:00,46.27846042315165 A
2017-12-18T00:00:00-07:00,54.628507675663116 A
2017-12-19T00:00:00-07:00,55.36742806434631 A
2017-12-20T00:00:00-07:00,55.29974865913391 A
2017-12-21T00:00:00-07:00,52.428730050722756 A
2017-12-22T00:00:00-07:00,51.26246726512909 A
2017-12-23T00:00:00-07:00,42.925284186999 A
2017-12-24T00:00:00-07:00,42.64631700515747 A
2017-12-25T00:00:00-07:00,42.089226722717285 A
2017-12-26T00:00:00-07:00,45.20128651460012 A
2017-12-27T00:00:00-07:00,50.25920867919922 A
2017-12-28T00:00:00-07:00,49.63423856099447 A
2017-12-29T00:00:00-07:00,44.09601632754008 A
2017-12-30T00:00:00-07:00,42.8970750172933 A
2017-12-31T00:00:00-07:00,43.82632791996002 A
