Timestamp,['1fa2474c-872f79df 0002-VOICE & OPERA CNTR Power Meter (301411) Current C']
2017-10-29T00:00:00-06:00,2.610208909958601 A
2017-10-30T00:00:00-06:00,8.814026360710463 A
2017-10-31T00:00:00-06:00,6.130764536559582 A
2017-11-01T00:00:00-06:00,10.091049951811632 A
2017-11-02T00:00:00-06:00,6.129104673862457 A
2017-11-03T00:00:00-06:00,7.136924968411525 A
2017-11-04T00:00:00-06:00,2.9932889814178147 A
2017-11-05T00:00:00-06:00,2.323945279121399 A
2017-11-06T00:00:00-07:00,9.655553556978703 A
2017-11-07T00:00:00-07:00,10.90952231734991 A
2017-11-08T00:00:00-07:00,9.884860484550396 A
2017-11-09T00:00:00-07:00,6.509340009341638 A
2017-11-10T00:00:00-07:00,7.349527180194855 A
2017-11-11T00:00:00-07:00,2.9017132172981897 A
2017-11-12T00:00:00-07:00,4.5119976823528605 A
2017-11-13T00:00:00-07:00,8.362690091133118 A
2017-11-14T00:00:00-07:00,10.1744663802286 A
2017-11-15T00:00:00-07:00,10.611495612810055 A
2017-11-16T00:00:00-07:00,6.024597412596147 A
2017-11-17T00:00:00-07:00,7.452460053066413 A
2017-11-18T00:00:00-07:00,3.927334023018678 A
2017-11-19T00:00:00-07:00,5.080906867980957 A
2017-11-20T00:00:00-07:00,11.55302402873834 A
2017-11-21T00:00:00-07:00,11.171881341685852 A
2017-11-22T00:00:00-07:00,8.53690085808436 A
2017-11-23T00:00:00-07:00,6.075411281238 A
2017-11-24T00:00:00-07:00,5.931281471004088 A
2017-11-25T00:00:00-07:00,4.293279459079106 A
2017-11-26T00:00:00-07:00,2.2272272830208144 A
2017-11-27T00:00:00-07:00,6.099467108647029 A
2017-11-28T00:00:00-07:00,6.706495323528846 A
2017-11-29T00:00:00-07:00,6.430747430771589 A
2017-11-30T00:00:00-07:00,6.083097539842129 A
2017-12-01T00:00:00-07:00,6.1576574842135114 A
2017-12-02T00:00:00-07:00,3.1089590713381767 A
2017-12-03T00:00:00-07:00,3.7900647409260273 A
2017-12-04T00:00:00-07:00,7.742926546682914 A
2017-12-05T00:00:00-07:00,8.368663827578226 A
2017-12-06T00:00:00-07:00,7.769769210368395 A
2017-12-07T00:00:00-07:00,7.417376606414716 A
2017-12-08T00:00:00-07:00,7.266176827251911 A
2017-12-09T00:00:00-07:00,6.476024582982063 A
2017-12-10T00:00:00-07:00,7.461885606249173 A
2017-12-11T00:00:00-07:00,8.265509282549223 A
2017-12-12T00:00:00-07:00,7.397809920211633 A
2017-12-13T00:00:00-07:00,7.265812065452337 A
2017-12-14T00:00:00-07:00,6.973144973317782 A
2017-12-15T00:00:00-07:00,6.984359843035539 A
2017-12-16T00:00:00-07:00,4.793255712836981 A
2017-12-17T00:00:00-07:00,6.009481304635604 A
2017-12-18T00:00:00-07:00,7.5569815994590845 A
2017-12-19T00:00:00-07:00,6.205122673263152 A
2017-12-20T00:00:00-07:00,7.523391826699178 A
2017-12-21T00:00:00-07:00,9.48082842429479 A
2017-12-22T00:00:00-07:00,9.229081253210703 A
2017-12-23T00:00:00-07:00,9.287948230902353 A
2017-12-24T00:00:00-07:00,9.365261058012644 A
2017-12-25T00:00:00-07:00,9.133308331171671 A
2017-12-26T00:00:00-07:00,9.596623748540878 A
2017-12-27T00:00:00-07:00,9.613556027412415 A
2017-12-28T00:00:00-07:00,9.073052485783895 A
2017-12-29T00:00:00-07:00,9.035569409529367 A
2017-12-30T00:00:00-07:00,8.947998573382696 A
2017-12-31T00:00:00-07:00,9.091207891702652 A
