Timestamp,['1daaa92b-7d5a657e 0037-ARCHITECTURE BLDG Power Meter (301159) Volts C-N']
2017-10-05T00:00:00-06:00,122.01751907666524 V
2017-10-06T00:00:00-06:00,121.98998379707336 V
2017-10-07T00:00:00-06:00,122.11092400550842 V
2017-10-08T00:00:00-06:00,122.05078943570454 V
2017-10-09T00:00:00-06:00,122.03638021151225 V
2017-10-10T00:00:00-06:00,121.92328000068665 V
2017-10-11T00:00:00-06:00,121.96241116523743 V
2017-10-12T00:00:00-06:00,122.05669418970744 V
2017-10-13T00:00:00-06:00,121.99946467081706 V
2017-10-14T00:00:00-06:00,121.94283652305603 V
2017-10-15T00:00:00-06:00,121.93396083513896 V
2017-10-16T00:00:00-06:00,121.93417882919312 V
2017-10-17T00:00:00-06:00,121.83563113212585 V
2017-10-18T00:00:00-06:00,122.04480202992757 V
2017-10-19T00:00:00-06:00,122.10976982116699 V
2017-10-20T00:00:00-06:00,121.9290436108907 V
2017-10-21T00:00:00-06:00,122.00020003318787 V
2017-10-22T00:00:00-06:00,121.92010402679443 V
2017-10-23T00:00:00-06:00,122.08393597602844 V
2017-10-24T00:00:00-06:00,121.97398519515991 V
2017-10-25T00:00:00-06:00,122.0427786509196 V
2017-10-26T00:00:00-06:00,121.95307509104411 V
2017-10-27T00:00:00-06:00,121.97924836476643 V
2017-10-28T00:00:00-06:00,121.93932880602385 V
2017-10-29T00:00:00-06:00,121.87470698356628 V
2017-10-30T00:00:00-06:00,122.02906044324239 V
2017-10-31T00:00:00-06:00,122.07177527745564 V
2017-11-01T00:00:00-06:00,121.8396881421407 V
2017-11-02T00:00:00-06:00,122.03703959782918 V
2017-11-03T00:00:00-06:00,122.04230411847432 V
2017-11-04T00:00:00-06:00,121.94759941101074 V
2017-11-05T00:00:00-06:00,122.04143135070801 V
2017-11-06T00:00:00-07:00,122.08281111717224 V
2017-11-07T00:00:00-07:00,122.11093815167744 V
2017-11-08T00:00:00-07:00,121.92219956715901 V
2017-11-09T00:00:00-07:00,121.9033834139506 V
2017-11-10T00:00:00-07:00,122.04407525062561 V
2017-11-11T00:00:00-07:00,121.91258438428243 V
2017-11-12T00:00:00-07:00,121.98452663421631 V
2017-11-13T00:00:00-07:00,121.99631365140279 V
2017-11-14T00:00:00-07:00,121.93926215171814 V
2017-11-15T00:00:00-07:00,121.70675269762675 V
2017-11-16T00:00:00-07:00,122.151637951533 V
2017-11-17T00:00:00-07:00,121.94319478670756 V
2017-11-18T00:00:00-07:00,122.0931572119395 V
2017-11-19T00:00:00-07:00,122.2388728459676 V
2017-11-20T00:00:00-07:00,122.06159925460815 V
2017-11-21T00:00:00-07:00,121.86064330736797 V
2017-11-22T00:00:00-07:00,122.04176791508992 V
2017-11-23T00:00:00-07:00,122.03951120376587 V
2017-11-24T00:00:00-07:00,122.09410627683003 V
2017-11-25T00:00:00-07:00,121.94753861427307 V
2017-11-26T00:00:00-07:00,122.00809319814046 V
2017-11-27T00:00:00-07:00,122.04040090243022 V
2017-11-28T00:00:00-07:00,121.90689953168233 V
2017-11-29T00:00:00-07:00,121.84485681851704 V
2017-11-30T00:00:00-07:00,121.79376562436421 V
2017-12-01T00:00:00-07:00,121.9058605035146 V
2017-12-02T00:00:00-07:00,121.83900928497314 V
2017-12-03T00:00:00-07:00,121.84840408960979 V
2017-12-04T00:00:00-07:00,121.79159649213155 V
2017-12-05T00:00:00-07:00,121.92219456036885 V
2017-12-06T00:00:00-07:00,121.9444968700409 V
2017-12-07T00:00:00-07:00,122.06448396046956 V
2017-12-08T00:00:00-07:00,122.10523494084676 V
2017-12-09T00:00:00-07:00,122.08158914248149 V
2017-12-10T00:00:00-07:00,122.02734915415446 V
2017-12-11T00:00:00-07:00,121.94989156723022 V
2017-12-12T00:00:00-07:00,121.85007524490356 V
2017-12-13T00:00:00-07:00,121.98404161135356 V
2017-12-14T00:00:00-07:00,122.08297443389893 V
2017-12-15T00:00:00-07:00,121.93249376614888 V
2017-12-16T00:00:00-07:00,122.05202333132426 V
2017-12-17T00:00:00-07:00,121.89829730987549 V
2017-12-18T00:00:00-07:00,121.97350385914679 V
2017-12-19T00:00:00-07:00,121.82943884531657 V
2017-12-20T00:00:00-07:00,122.00153358777364 V
2017-12-21T00:00:00-07:00,121.89336880048116 V
2017-12-22T00:00:00-07:00,121.93252833684285 V
2017-12-23T00:00:00-07:00,121.89132920900981 V
2017-12-24T00:00:00-07:00,121.9009341398875 V
2017-12-25T00:00:00-07:00,122.05233359336853 V
2017-12-26T00:00:00-07:00,122.07554920514424 V
2017-12-27T00:00:00-07:00,121.77148381868999 V
2017-12-28T00:00:00-07:00,122.0554195245107 V
2017-12-29T00:00:00-07:00,121.943030834198 V
2017-12-30T00:00:00-07:00,121.89099176724751 V
2017-12-31T00:00:00-07:00,121.84372886021931 V
