Timestamp,['1da98315-ccdea701 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current A']
2017-09-14T00:00:00-06:00,135.67250514030457 A
2017-09-15T00:00:00-06:00,131.64648175239563 A
2017-09-16T00:00:00-06:00,282.39247767130536 A
2017-09-17T00:00:00-06:00,199.2999482949575 A
2017-09-18T00:00:00-06:00,127.19549282391866 A
2017-09-19T00:00:00-06:00,121.5332117875417 A
2017-09-20T00:00:00-06:00,122.3605166276296 A
2017-09-21T00:00:00-06:00,127.4416020711263 A
2017-09-22T00:00:00-06:00,120.55962252616882 A
2017-09-23T00:00:00-06:00,113.32922108968098 A
2017-09-24T00:00:00-06:00,111.88450558980306 A
2017-09-25T00:00:00-06:00,115.80752836528578 A
2017-09-26T00:00:00-06:00,116.306467851003 A
2017-09-27T00:00:00-06:00,118.54466438293457 A
2017-09-28T00:00:00-06:00,140.40547800064087 A
2017-09-29T00:00:00-06:00,118.75212144851685 A
2017-09-30T00:00:00-06:00,117.53430596987407 A
2017-10-01T00:00:00-06:00,113.87780984242757 A
2017-10-02T00:00:00-06:00,113.28049341837566 A
2017-10-03T00:00:00-06:00,117.37845134735107 A
2017-10-04T00:00:00-06:00,114.85315791765849 A
2017-10-05T00:00:00-06:00,113.31799840927124 A
2017-10-06T00:00:00-06:00,119.58935213088989 A
2017-10-07T00:00:00-06:00,274.51568786303204 A
2017-10-08T00:00:00-06:00,206.72397843996683 A
2017-10-09T00:00:00-06:00,130.58858370780945 A
2017-10-10T00:00:00-06:00,117.01562090421977 A
2017-10-11T00:00:00-06:00,116.09091266832854 A
2017-10-12T00:00:00-06:00,112.84410325686137 A
2017-10-13T00:00:00-06:00,111.16121223851255 A
2017-10-14T00:00:00-06:00,107.75684134165446 A
2017-10-15T00:00:00-06:00,108.13709211349487 A
2017-10-16T00:00:00-06:00,111.34630290667216 A
2017-10-17T00:00:00-06:00,115.31252566973369 A
2017-10-18T00:00:00-06:00,114.82183281580608 A
2017-10-19T00:00:00-06:00,116.06659237543742 A
2017-10-20T00:00:00-06:00,118.315647204717 A
2017-10-21T00:00:00-06:00,375.5592643419902 A
2017-10-22T00:00:00-06:00,111.04023297627766 A
2017-10-23T00:00:00-06:00,139.14979434013367 A
2017-10-24T00:00:00-06:00,114.26927574475606 A
