Timestamp,['1ef46870-c3f749eb 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current C']
2017-10-30T00:00:00-06:00,126.43653758366902 A
2017-10-31T00:00:00-06:00,112.37092550595601 A
2017-11-01T00:00:00-06:00,138.2427372932434 A
2017-11-02T00:00:00-06:00,137.4575355052948 A
2017-11-03T00:00:00-06:00,140.3701073328654 A
2017-11-04T00:00:00-06:00,118.20698197682698 A
2017-11-05T00:00:00-06:00,108.62713068008424 A
2017-11-06T00:00:00-07:00,137.5862354040146 A
2017-11-07T00:00:00-07:00,129.48638705412546 A
2017-11-08T00:00:00-07:00,131.47641110420227 A
2017-11-09T00:00:00-07:00,137.24256809552512 A
2017-11-10T00:00:00-07:00,136.78727420171103 A
2017-11-11T00:00:00-07:00,117.3232706785202 A
2017-11-12T00:00:00-07:00,113.53579036394756 A
2017-11-13T00:00:00-07:00,127.76463556289673 A
2017-11-14T00:00:00-07:00,148.31175184249878 A
2017-11-15T00:00:00-07:00,162.18520522117615 A
2017-11-16T00:00:00-07:00,157.11112785339355 A
2017-11-17T00:00:00-07:00,171.39992833137512 A
2017-11-18T00:00:00-07:00,147.3776721159617 A
2017-11-19T00:00:00-07:00,98.39239195982616 A
2017-11-20T00:00:00-07:00,174.1881971359253 A
2017-11-21T00:00:00-07:00,144.5549851258596 A
2017-11-22T00:00:00-07:00,127.06394839286804 A
2017-11-23T00:00:00-07:00,119.51727616786957 A
2017-11-24T00:00:00-07:00,120.1910838286082 A
2017-11-25T00:00:00-07:00,101.45422621568044 A
2017-11-26T00:00:00-07:00,73.57165263096492 A
2017-11-27T00:00:00-07:00,161.54121788342795 A
2017-11-28T00:00:00-07:00,167.7889589468638 A
2017-11-29T00:00:00-07:00,173.16614611943564 A
2017-11-30T00:00:00-07:00,161.5502231915792 A
2017-12-01T00:00:00-07:00,173.02275840441385 A
2017-12-02T00:00:00-07:00,159.94924314816794 A
2017-12-03T00:00:00-07:00,126.4957903623581 A
2017-12-04T00:00:00-07:00,194.55766216913858 A
2017-12-05T00:00:00-07:00,186.24302848180136 A
2017-12-06T00:00:00-07:00,187.67994689941406 A
2017-12-07T00:00:00-07:00,181.56012519200644 A
2017-12-08T00:00:00-07:00,182.9431850115458 A
2017-12-09T00:00:00-07:00,169.4571320215861 A
2017-12-10T00:00:00-07:00,168.14444390932718 A
2017-12-11T00:00:00-07:00,176.81297731399536 A
2017-12-12T00:00:00-07:00,182.82799863815308 A
2017-12-13T00:00:00-07:00,186.96969683965048 A
2017-12-14T00:00:00-07:00,171.4543973604838 A
2017-12-15T00:00:00-07:00,158.3269340991974 A
2017-12-16T00:00:00-07:00,153.26986122131348 A
2017-12-17T00:00:00-07:00,151.07252232233682 A
2017-12-18T00:00:00-07:00,154.58023883450417 A
2017-12-19T00:00:00-07:00,148.92253589630127 A
2017-12-20T00:00:00-07:00,132.48993213971457 A
2017-12-21T00:00:00-07:00,158.27520895004272 A
2017-12-22T00:00:00-07:00,150.28404458363852 A
2017-12-23T00:00:00-07:00,149.35835393269858 A
2017-12-24T00:00:00-07:00,114.39022024472554 A
2017-12-25T00:00:00-07:00,145.93261019388834 A
2017-12-26T00:00:00-07:00,145.91151531537375 A
2017-12-27T00:00:00-07:00,155.09164730707803 A
2017-12-28T00:00:00-07:00,156.5090059439341 A
2017-12-29T00:00:00-07:00,143.22196006774902 A
2017-12-30T00:00:00-07:00,110.4332823753357 A
2017-12-31T00:00:00-07:00,129.54710022608438 A
