Timestamp,['1daaa907-598e9e34 0037-ARCHITECTURE BLDG Power Meter (301159) Current C']
2017-08-30T00:00:00-06:00,35.899826725324 A
2017-08-31T00:00:00-06:00,36.41644310951233 A
2017-09-01T00:00:00-06:00,32.3001389503479 A
2017-09-02T00:00:00-06:00,23.28453795115153 A
2017-09-03T00:00:00-06:00,19.66701568166415 A
2017-09-04T00:00:00-06:00,21.87261523803075 A
2017-09-05T00:00:00-06:00,27.573608269294102 A
2017-09-06T00:00:00-06:00,35.26984135309855 A
2017-09-07T00:00:00-06:00,33.39095401763916 A
2017-09-08T00:00:00-06:00,31.4253357302758 A
2017-09-09T00:00:00-06:00,26.704348584016163 A
2017-09-10T00:00:00-06:00,23.341932872931164 A
2017-09-11T00:00:00-06:00,38.84211508433024 A
2017-09-12T00:00:00-06:00,36.82643493016561 A
2017-09-13T00:00:00-06:00,31.797528127829235 A
2017-09-14T00:00:00-06:00,31.8442023396492 A
2017-09-15T00:00:00-06:00,30.636458456516266 A
2017-09-16T00:00:00-06:00,24.168009638786316 A
2017-09-17T00:00:00-06:00,19.936147411664326 A
2017-09-18T00:00:00-06:00,34.13242121537527 A
2017-09-19T00:00:00-06:00,29.430941959222157 A
2017-09-20T00:00:00-06:00,36.35383562246958 A
2017-09-21T00:00:00-06:00,30.5779643257459 A
2017-09-22T00:00:00-06:00,30.341110934813816 A
2017-09-23T00:00:00-06:00,23.53597790002823 A
2017-09-24T00:00:00-06:00,22.106924096743267 A
2017-09-25T00:00:00-06:00,36.87379431724548 A
2017-09-26T00:00:00-06:00,35.470889031887054 A
2017-09-27T00:00:00-06:00,39.256787180900574 A
2017-09-28T00:00:00-06:00,42.27902493874232 A
2017-09-29T00:00:00-06:00,32.75115611155828 A
2017-09-30T00:00:00-06:00,30.053669770558674 A
2017-10-01T00:00:00-06:00,26.61241590976715 A
2017-10-02T00:00:00-06:00,37.29702285925547 A
2017-10-03T00:00:00-06:00,35.76545166969299 A
2017-10-04T00:00:00-06:00,38.25507767995199 A
2017-10-05T00:00:00-06:00,41.48915139834086 A
2017-10-06T00:00:00-06:00,34.78946888446808 A
2017-10-07T00:00:00-06:00,24.898321350415547 A
2017-10-08T00:00:00-06:00,22.553706526756287 A
2017-10-09T00:00:00-06:00,28.49997051556905 A
2017-10-10T00:00:00-06:00,26.92884240547816 A
2017-10-11T00:00:00-06:00,28.482772668202717 A
2017-10-12T00:00:00-06:00,26.139938632647198 A
2017-10-13T00:00:00-06:00,27.19767967859904 A
2017-10-14T00:00:00-06:00,27.15337797005971 A
2017-10-15T00:00:00-06:00,24.927454829216003 A
2017-10-16T00:00:00-06:00,41.128045777479805 A
2017-10-17T00:00:00-06:00,35.88356910149256 A
2017-10-18T00:00:00-06:00,41.423742850621544 A
2017-10-19T00:00:00-06:00,43.69261626402537 A
2017-10-20T00:00:00-06:00,36.056899547576904 A
2017-10-21T00:00:00-06:00,24.4902520775795 A
2017-10-22T00:00:00-06:00,24.616097688674927 A
2017-10-23T00:00:00-06:00,34.426649848620094 A
2017-10-24T00:00:00-06:00,34.16015007098516 A
2017-10-25T00:00:00-06:00,36.1552441517512 A
2017-10-26T00:00:00-06:00,34.623940110206604 A
2017-10-27T00:00:00-06:00,37.531521002451576 A
2017-10-28T00:00:00-06:00,24.00861099644711 A
2017-10-29T00:00:00-06:00,27.279256502787273 A
2017-10-30T00:00:00-06:00,33.71974362929662 A
2017-10-31T00:00:00-06:00,27.41475083430608 A
2017-11-01T00:00:00-06:00,32.97574532032013 A
2017-11-02T00:00:00-06:00,32.849011739095054 A
2017-11-03T00:00:00-06:00,33.41301019986471 A
2017-11-04T00:00:00-06:00,25.356419662634533 A
2017-11-05T00:00:00-06:00,27.06885223388672 A
2017-11-06T00:00:00-07:00,38.873987873395286 A
2017-11-07T00:00:00-07:00,40.41023304065069 A
2017-11-08T00:00:00-07:00,39.86996233463287 A
2017-11-09T00:00:00-07:00,43.16636222600937 A
2017-11-10T00:00:00-07:00,30.676664769649506 A
2017-11-11T00:00:00-07:00,21.597324897845585 A
2017-11-12T00:00:00-07:00,21.519032289584477 A
2017-11-13T00:00:00-07:00,33.83100628852844 A
2017-11-14T00:00:00-07:00,35.66384361187617 A
2017-11-15T00:00:00-07:00,38.358507792154946 A
2017-11-16T00:00:00-07:00,39.15409310658773 A
2017-11-17T00:00:00-07:00,35.1780081987381 A
2017-11-18T00:00:00-07:00,24.10890446106593 A
2017-11-19T00:00:00-07:00,27.5588614543279 A
2017-11-20T00:00:00-07:00,37.84300992886225 A
2017-11-21T00:00:00-07:00,34.750405033429466 A
2017-11-22T00:00:00-07:00,31.950975636641186 A
2017-11-23T00:00:00-07:00,25.67702603340149 A
2017-11-24T00:00:00-07:00,24.28458684682846 A
2017-11-25T00:00:00-07:00,26.20511484146118 A
2017-11-26T00:00:00-07:00,24.206358710924786 A
2017-11-27T00:00:00-07:00,42.551722506682076 A
2017-11-28T00:00:00-07:00,43.711736619472504 A
2017-11-29T00:00:00-07:00,49.19322522481283 A
2017-11-30T00:00:00-07:00,47.44129021962484 A
2017-12-01T00:00:00-07:00,50.934207359949745 A
2017-12-02T00:00:00-07:00,41.67699062824249 A
2017-12-03T00:00:00-07:00,43.394803722699486 A
2017-12-04T00:00:00-07:00,52.26021194458008 A
2017-12-05T00:00:00-07:00,47.79909420013428 A
2017-12-06T00:00:00-07:00,37.89377613862356 A
2017-12-07T00:00:00-07:00,32.46579567591349 A
2017-12-08T00:00:00-07:00,31.879423360029858 A
2017-12-09T00:00:00-07:00,24.726806839307148 A
2017-12-10T00:00:00-07:00,27.224524815877277 A
2017-12-11T00:00:00-07:00,29.096312363942463 A
2017-12-12T00:00:00-07:00,29.059815804163616 A
2017-12-13T00:00:00-07:00,30.476040224234264 A
2017-12-14T00:00:00-07:00,28.235366483529408 A
2017-12-15T00:00:00-07:00,26.24614938100179 A
2017-12-16T00:00:00-07:00,22.429977357387543 A
2017-12-17T00:00:00-07:00,23.0547793507576 A
2017-12-18T00:00:00-07:00,26.47636382476143 A
2017-12-19T00:00:00-07:00,25.08175281683604 A
2017-12-20T00:00:00-07:00,25.509863058725994 A
2017-12-21T00:00:00-07:00,24.824941118558247 A
2017-12-22T00:00:00-07:00,22.729471504688263 A
2017-12-23T00:00:00-07:00,23.012929777304333 A
2017-12-24T00:00:00-07:00,21.301365852355957 A
2017-12-25T00:00:00-07:00,19.968474368254345 A
2017-12-26T00:00:00-07:00,20.64199310541153 A
2017-12-27T00:00:00-07:00,20.686393558979034 A
2017-12-28T00:00:00-07:00,20.320566415786743 A
2017-12-29T00:00:00-07:00,19.47402571638425 A
2017-12-30T00:00:00-07:00,20.13102686405182 A
2017-12-31T00:00:00-07:00,19.636412809292477 A
