Timestamp,['1f7d6d1e-497ce2d8 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Energy Consumption']
2017-10-25T00:00:00-06:00,3778 kWh
2017-10-26T00:00:00-06:00,3730 kWh
2017-10-27T00:00:00-06:00,3552 kWh
2017-10-28T00:00:00-06:00,3001 kWh
2017-10-29T00:00:00-06:00,2890 kWh
2017-10-30T00:00:00-06:00,3665 kWh
2017-10-31T00:00:00-06:00,3496 kWh
2017-11-01T00:00:00-06:00,3879 kWh
2017-11-02T00:00:00-06:00,4102 kWh
2017-11-03T00:00:00-06:00,3812 kWh
2017-11-04T00:00:00-06:00,3124 kWh
2017-11-05T00:00:00-06:00,3394 kWh
2017-11-06T00:00:00-07:00,3789 kWh
2017-11-07T00:00:00-07:00,4045 kWh
2017-11-08T00:00:00-07:00,3935 kWh
2017-11-09T00:00:00-07:00,3846 kWh
2017-11-10T00:00:00-07:00,3780 kWh
2017-11-11T00:00:00-07:00,3335 kWh
2017-11-12T00:00:00-07:00,3453 kWh
2017-11-13T00:00:00-07:00,3782 kWh
2017-11-14T00:00:00-07:00,3687 kWh
2017-11-15T00:00:00-07:00,3765 kWh
2017-11-16T00:00:00-07:00,3833 kWh
2017-11-17T00:00:00-07:00,3901 kWh
2017-11-18T00:00:00-07:00,3471 kWh
2017-11-19T00:00:00-07:00,3523 kWh
2017-11-20T00:00:00-07:00,3841 kWh
2017-11-21T00:00:00-07:00,3740 kWh
2017-11-22T00:00:00-07:00,3698 kWh
2017-11-23T00:00:00-07:00,3126 kWh
2017-11-24T00:00:00-07:00,3176 kWh
2017-11-25T00:00:00-07:00,3210 kWh
2017-11-26T00:00:00-07:00,3273 kWh
2017-11-27T00:00:00-07:00,3918 kWh
2017-11-28T00:00:00-07:00,3843 kWh
2017-11-29T00:00:00-07:00,3941 kWh
2017-11-30T00:00:00-07:00,3857 kWh
2017-12-01T00:00:00-07:00,3906 kWh
2017-12-02T00:00:00-07:00,3364 kWh
2017-12-03T00:00:00-07:00,3330 kWh
2017-12-04T00:00:00-07:00,4044 kWh
2017-12-05T00:00:00-07:00,4061 kWh
2017-12-06T00:00:00-07:00,4089 kWh
2017-12-07T00:00:00-07:00,4134 kWh
2017-12-08T00:00:00-07:00,4097 kWh
2017-12-09T00:00:00-07:00,3468 kWh
2017-12-10T00:00:00-07:00,3550 kWh
2017-12-11T00:00:00-07:00,4146 kWh
2017-12-12T00:00:00-07:00,4151 kWh
2017-12-13T00:00:00-07:00,4229 kWh
2017-12-14T00:00:00-07:00,4011 kWh
2017-12-15T00:00:00-07:00,3901 kWh
2017-12-16T00:00:00-07:00,3276 kWh
2017-12-17T00:00:00-07:00,3333 kWh
2017-12-18T00:00:00-07:00,3413 kWh
2017-12-19T00:00:00-07:00,3054 kWh
2017-12-20T00:00:00-07:00,3037 kWh
2017-12-21T00:00:00-07:00,3076 kWh
2017-12-22T00:00:00-07:00,2889 kWh
2017-12-23T00:00:00-07:00,2520 kWh
2017-12-24T00:00:00-07:00,2514 kWh
2017-12-25T00:00:00-07:00,2455 kWh
2017-12-26T00:00:00-07:00,2623 kWh
2017-12-27T00:00:00-07:00,2794 kWh
2017-12-28T00:00:00-07:00,2821 kWh
2017-12-29T00:00:00-07:00,2567 kWh
2017-12-30T00:00:00-07:00,2329 kWh
2017-12-31T00:00:00-07:00,2494 kWh
