Timestamp,['1cca746c-55736214 0062-WARNOCK ENGR BLDG Power Meter 316606 Current C']
2017-08-24T00:00:00-06:00,116.41666666666667 A
2017-08-25T00:00:00-06:00,105.97916666666667 A
2017-08-26T00:00:00-06:00,94.39583333333333 A
2017-08-27T00:00:00-06:00,95.77083333333333 A
2017-08-28T00:00:00-06:00,105.30681818181819 A
2017-08-29T00:00:00-06:00,107.05555555555556 A
2017-08-30T00:00:00-06:00,103.25 A
2017-08-31T00:00:00-06:00,98.16666666666667 A
2017-09-01T00:00:00-06:00,95.125 A
2017-09-02T00:00:00-06:00,75.76041666666667 A
2017-09-03T00:00:00-06:00,76.16666666666667 A
2017-09-04T00:00:00-06:00,78.28125 A
2017-09-05T00:00:00-06:00,101 A
2017-09-06T00:00:00-06:00,103.18947368421053 A
2017-09-07T00:00:00-06:00,98.67368421052632 A
2017-09-08T00:00:00-06:00,93.77173913043478 A
2017-09-09T00:00:00-06:00,76.78125 A
2017-09-10T00:00:00-06:00,76.44791666666667 A
2017-09-11T00:00:00-06:00,103.80208333333333 A
2017-09-12T00:00:00-06:00,100.9375 A
2017-09-13T00:00:00-06:00,96.85416666666667 A
2017-09-14T00:00:00-06:00,98.54166666666667 A
2017-09-15T00:00:00-06:00,104.09375 A
2017-09-16T00:00:00-06:00,75.70833333333333 A
2017-09-17T00:00:00-06:00,75.09375 A
2017-09-18T00:00:00-06:00,101.60416666666667 A
2017-09-19T00:00:00-06:00,100.14583333333333 A
2017-09-20T00:00:00-06:00,100.875 A
2017-09-21T00:00:00-06:00,98.44791666666667 A
2017-09-22T00:00:00-06:00,90.97916666666667 A
2017-09-23T00:00:00-06:00,77.04166666666667 A
2017-09-24T00:00:00-06:00,75.55208333333333 A
2017-09-25T00:00:00-06:00,99.66666666666667 A
2017-09-26T00:00:00-06:00,97.91666666666667 A
2017-09-27T00:00:00-06:00,96.30208333333333 A
2017-09-28T00:00:00-06:00,92.375 A
2017-09-29T00:00:00-06:00,94.42708333333333 A
2017-09-30T00:00:00-06:00,72.6875 A
2017-10-01T00:00:00-06:00,70.85416666666667 A
2017-10-02T00:00:00-06:00,94.23958333333333 A
2017-10-03T00:00:00-06:00,93.8125 A
2017-10-04T00:00:00-06:00,94.875 A
2017-10-05T00:00:00-06:00,93.53125 A
2017-10-06T00:00:00-06:00,92.33333333333333 A
2017-10-07T00:00:00-06:00,78.25 A
2017-10-08T00:00:00-06:00,78.09375 A
2017-10-09T00:00:00-06:00,86.92708333333333 A
2017-10-10T00:00:00-06:00,86.64583333333333 A
2017-10-11T00:00:00-06:00,90.10416666666667 A
2017-10-12T00:00:00-06:00,91.17708333333333 A
2017-10-13T00:00:00-06:00,89.21875 A
2017-10-14T00:00:00-06:00,82.52083333333333 A
