Timestamp,['1cf8d7b8-b07543b7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 KWH Received']
2017-08-23T00:00:00-06:00,30229.333333333332 Wh
2017-08-24T00:00:00-06:00,30154.666666666668 Wh
2017-08-25T00:00:00-06:00,30176 Wh
2017-08-26T00:00:00-06:00,30208 Wh
2017-08-27T00:00:00-06:00,30496 Wh
2017-08-28T00:00:00-06:00,33780.36363636364 Wh
2017-08-29T00:00:00-06:00,31084.088888888888 Wh
2017-08-30T00:00:00-06:00,29845.333333333332 Wh
2017-08-31T00:00:00-06:00,29877.333333333332 Wh
2017-09-01T00:00:00-06:00,30069.333333333332 Wh
2017-09-02T00:00:00-06:00,30741.333333333332 Wh
2017-09-03T00:00:00-06:00,30112 Wh
2017-09-04T00:00:00-06:00,30080 Wh
2017-09-05T00:00:00-06:00,30314.666666666668 Wh
2017-09-06T00:00:00-06:00,30400 Wh
2017-09-07T00:00:00-06:00,30165.333333333332 Wh
2017-09-08T00:00:00-06:00,30885.16129032258 Wh
2017-09-09T00:00:00-06:00,29749.333333333332 Wh
2017-09-10T00:00:00-06:00,29610.666666666668 Wh
2017-09-11T00:00:00-06:00,29472 Wh
2017-09-12T00:00:00-06:00,29706.666666666668 Wh
2017-09-13T00:00:00-06:00,29984 Wh
2017-09-14T00:00:00-06:00,29920 Wh
2017-09-15T00:00:00-06:00,29792 Wh
2017-09-16T00:00:00-06:00,30165.333333333332 Wh
2017-09-17T00:00:00-06:00,29813.333333333332 Wh
2017-09-18T00:00:00-06:00,30016 Wh
2017-09-19T00:00:00-06:00,29760 Wh
2017-09-20T00:00:00-06:00,29930.666666666668 Wh
2017-09-21T00:00:00-06:00,30090.666666666668 Wh
2017-09-22T00:00:00-06:00,30101.333333333332 Wh
2017-09-23T00:00:00-06:00,29749.333333333332 Wh
2017-09-24T00:00:00-06:00,29877.333333333332 Wh
2017-09-25T00:00:00-06:00,29493.333333333332 Wh
2017-09-26T00:00:00-06:00,30037.333333333332 Wh
2017-09-27T00:00:00-06:00,29962.666666666668 Wh
2017-09-28T00:00:00-06:00,30186.666666666668 Wh
2017-09-29T00:00:00-06:00,30410.666666666668 Wh
2017-09-30T00:00:00-06:00,30741.333333333332 Wh
2017-10-01T00:00:00-06:00,30848 Wh
2017-10-02T00:00:00-06:00,30837.333333333332 Wh
2017-10-03T00:00:00-06:00,30848 Wh
2017-10-04T00:00:00-06:00,30581.333333333332 Wh
2017-10-05T00:00:00-06:00,30080 Wh
2017-10-06T00:00:00-06:00,30026.666666666668 Wh
2017-10-07T00:00:00-06:00,30144 Wh
2017-10-08T00:00:00-06:00,30154.666666666668 Wh
2017-10-09T00:00:00-06:00,29845.333333333332 Wh
2017-10-10T00:00:00-06:00,29877.333333333332 Wh
2017-10-11T00:00:00-06:00,30069.333333333332 Wh
2017-10-12T00:00:00-06:00,29589.333333333332 Wh
2017-10-13T00:00:00-06:00,29738.666666666668 Wh
2017-10-14T00:00:00-06:00,30144 Wh
2017-10-15T00:00:00-06:00,30112 Wh
2017-10-16T00:00:00-06:00,29962.666666666668 Wh
2017-10-17T00:00:00-06:00,30378.666666666668 Wh
2017-10-18T00:00:00-06:00,30272 Wh
2017-10-19T00:00:00-06:00,30037.333333333332 Wh
2017-10-20T00:00:00-06:00,30005.333333333332 Wh
2017-10-21T00:00:00-06:00,30090.666666666668 Wh
2017-10-22T00:00:00-06:00,30272 Wh
2017-10-23T00:00:00-06:00,30698.666666666668 Wh
2017-10-24T00:00:00-06:00,30858.666666666668 Wh
2017-10-25T00:00:00-06:00,30400 Wh
2017-10-26T00:00:00-06:00,30197.333333333332 Wh
2017-10-27T00:00:00-06:00,30186.666666666668 Wh
2017-10-28T00:00:00-06:00,29984 Wh
2017-10-29T00:00:00-06:00,29984 Wh
2017-10-30T00:00:00-06:00,30069.333333333332 Wh
2017-10-31T00:00:00-06:00,30186.666666666668 Wh
2017-11-01T00:00:00-06:00,30538.666666666668 Wh
2017-11-02T00:00:00-06:00,30570.666666666668 Wh
