Timestamp,['1cca749f-c914c14e 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CN']
2017-12-20T00:00:00-07:00,123.22916666666667 V
2017-12-21T00:00:00-07:00,123.20833333333333 V
2017-12-22T00:00:00-07:00,123.34375 V
2017-12-23T00:00:00-07:00,123.08333333333333 V
2017-12-24T00:00:00-07:00,123.29166666666667 V
2017-12-25T00:00:00-07:00,123.27083333333333 V
2017-12-26T00:00:00-07:00,123.29166666666667 V
2017-12-27T00:00:00-07:00,123.40625 V
2017-12-28T00:00:00-07:00,123.14583333333333 V
2017-12-29T00:00:00-07:00,123.20833333333333 V
2017-12-30T00:00:00-07:00,123.16666666666667 V
2017-12-31T00:00:00-07:00,123.19791666666667 V
