Timestamp,['206e9ea7-a587cdf0 0046-LASSONDE STUDIOS Power Meter 316259 Current C']
2017-10-16T00:00:00-06:00,104.35753401120503 A
2017-10-17T00:00:00-06:00,112.91873065630595 A
2017-10-18T00:00:00-06:00,130.39621210098267 A
2017-10-19T00:00:00-06:00,129.31243975957236 A
2017-10-20T00:00:00-06:00,135.1198454697927 A
2017-10-21T00:00:00-06:00,130.3513147830963 A
2017-10-22T00:00:00-06:00,133.2678985595703 A
2017-10-23T00:00:00-06:00,124.21895400683086 A
2017-10-24T00:00:00-06:00,127.03610372543335 A
2017-10-25T00:00:00-06:00,126.95521076520284 A
2017-10-26T00:00:00-06:00,125.76080616315205 A
2017-10-27T00:00:00-06:00,128.829869667689 A
2017-10-28T00:00:00-06:00,127.00612004597981 A
2017-10-29T00:00:00-06:00,130.29748129844666 A
2017-10-30T00:00:00-06:00,127.87820029258728 A
2017-10-31T00:00:00-06:00,128.91182390848795 A
2017-11-01T00:00:00-06:00,134.23770785331726 A
2017-11-02T00:00:00-06:00,128.13997872670492 A
2017-11-03T00:00:00-06:00,132.9910525480906 A
2017-11-04T00:00:00-06:00,130.22440918286642 A
2017-11-05T00:00:00-06:00,99.41971923828125 A
2017-11-06T00:00:00-07:00,114.67106755574544 A
2017-11-07T00:00:00-07:00,128.0531108379364 A
2017-11-08T00:00:00-07:00,129.43946965535483 A
2017-11-09T00:00:00-07:00,128.65912334124246 A
2017-11-10T00:00:00-07:00,130.34744278589883 A
2017-11-11T00:00:00-07:00,126.83407068252563 A
2017-11-12T00:00:00-07:00,131.1584157148997 A
2017-11-13T00:00:00-07:00,132.38155706723532 A
2017-11-14T00:00:00-07:00,144.1038433710734 A
2017-11-15T00:00:00-07:00,144.13277093569437 A
2017-11-16T00:00:00-07:00,130.857727766037 A
2017-11-17T00:00:00-07:00,130.1405906677246 A
2017-11-18T00:00:00-07:00,92.84697635968526 A
2017-11-19T00:00:00-07:00,87.7243758837382 A
2017-11-20T00:00:00-07:00,117.2477674484253 A
2017-11-21T00:00:00-07:00,128.21985403696695 A
2017-11-22T00:00:00-07:00,122.56249984105428 A
2017-11-23T00:00:00-07:00,111.42063911755879 A
2017-11-24T00:00:00-07:00,112.28314868609111 A
2017-11-25T00:00:00-07:00,86.50648633639018 A
2017-11-26T00:00:00-07:00,64.67327837149303 A
2017-11-27T00:00:00-07:00,101.22033540407817 A
2017-11-28T00:00:00-07:00,127.55939110120137 A
2017-11-29T00:00:00-07:00,116.57159475485484 A
2017-11-30T00:00:00-07:00,127.10930387179057 A
