Timestamp,['1cbacc75-b2894653 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) KW']
2017-12-10T00:00:00-07:00,39.588661193847656 kW
2017-12-11T00:00:00-07:00,45.18380355834961 kW
2017-12-12T00:00:00-07:00,43.72134017944336 kW
2017-12-13T00:00:00-07:00,53.16548538208008 kW
2017-12-14T00:00:00-07:00,43.51450729370117 kW
2017-12-15T00:00:00-07:00,41.984954833984375 kW
2017-12-16T00:00:00-07:00,35.59580993652344 kW
2017-12-17T00:00:00-07:00,30.625934600830078 kW
2017-12-18T00:00:00-07:00,37.72863006591797 kW
2017-12-19T00:00:00-07:00,38.047298431396484 kW
2017-12-20T00:00:00-07:00,42.79545211791992 kW
2017-12-21T00:00:00-07:00,36.89125061035156 kW
2017-12-22T00:00:00-07:00,35.221134185791016 kW
2017-12-23T00:00:00-07:00,35.37477493286133 kW
2017-12-24T00:00:00-07:00,33.77046203613281 kW
2017-12-25T00:00:00-07:00,25.818647384643555 kW
2017-12-26T00:00:00-07:00,27.047405242919922 kW
2017-12-27T00:00:00-07:00,30.29751968383789 kW
2017-12-28T00:00:00-07:00,28.977689743041992 kW
2017-12-29T00:00:00-07:00,27.559799194335938 kW
2017-12-30T00:00:00-07:00,26.647119522094727 kW
2017-12-31T00:00:00-07:00,26.986507415771484 kW
