Timestamp,['1d0db265-7a034479 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current A']
2017-11-25T00:00:00-07:00,120.19216537475586 A
2017-11-26T00:00:00-07:00,120.86120931307475 A
2017-11-27T00:00:00-07:00,135.60963575045267 A
2017-11-28T00:00:00-07:00,129.71230808893839 A
2017-11-29T00:00:00-07:00,129.55398066838583 A
2017-11-30T00:00:00-07:00,129.21450527509054 A
2017-12-01T00:00:00-07:00,130.09799075126648 A
2017-12-02T00:00:00-07:00,123.51167313257854 A
2017-12-03T00:00:00-07:00,128.54133907953897 A
2017-12-04T00:00:00-07:00,131.86487245559692 A
2017-12-05T00:00:00-07:00,132.63446394602457 A
2017-12-06T00:00:00-07:00,124.99700963497162 A
2017-12-07T00:00:00-07:00,107.27092548211415 A
2017-12-08T00:00:00-07:00,106.69898358980815 A
2017-12-09T00:00:00-07:00,113.36986807982127 A
2017-12-10T00:00:00-07:00,113.85534063975017 A
2017-12-11T00:00:00-07:00,100.59556237856548 A
2017-12-12T00:00:00-07:00,91.4403206507365 A
2017-12-13T00:00:00-07:00,90.48614501953125 A
2017-12-14T00:00:00-07:00,90.08543952306111 A
2017-12-15T00:00:00-07:00,90.11806281407674 A
2017-12-16T00:00:00-07:00,88.42636179924011 A
2017-12-17T00:00:00-07:00,87.95706542332967 A
2017-12-18T00:00:00-07:00,90.49693620469836 A
2017-12-19T00:00:00-07:00,88.15747733910878 A
2017-12-20T00:00:00-07:00,88.40884296099345 A
2017-12-21T00:00:00-07:00,91.3368987639745 A
2017-12-22T00:00:00-07:00,90.10422643025716 A
2017-12-23T00:00:00-07:00,88.18546938896179 A
2017-12-24T00:00:00-07:00,88.61822462081909 A
2017-12-25T00:00:00-07:00,87.89253854751587 A
2017-12-26T00:00:00-07:00,89.14584000905354 A
2017-12-27T00:00:00-07:00,89.04404485225677 A
2017-12-28T00:00:00-07:00,88.49375160535176 A
2017-12-29T00:00:00-07:00,88.12893096605937 A
2017-12-30T00:00:00-07:00,88.31033905347188 A
2017-12-31T00:00:00-07:00,89.28849025567372 A
