Timestamp,['1cac61c5-3151b575 0009-WIDTSOE BLDG Power Meter 1(300028) Current B']
2017-08-28T00:00:00-06:00,146.1301195183721 A
2017-08-29T00:00:00-06:00,126.37472084365582 A
2017-08-30T00:00:00-06:00,131.22571244306968 A
2017-08-31T00:00:00-06:00,122.9412544487069 A
2017-09-01T00:00:00-06:00,97.26556818864756 A
2017-09-02T00:00:00-06:00,89.94916646118492 A
2017-09-03T00:00:00-06:00,93.3046859520661 A
2017-09-04T00:00:00-06:00,94.94641770226418 A
2017-09-05T00:00:00-06:00,104.9843594852139 A
2017-09-06T00:00:00-06:00,112.13415485063288 A
2017-09-07T00:00:00-06:00,128.56821775402415 A
2017-09-08T00:00:00-06:00,134.81288018880434 A
2017-09-09T00:00:00-06:00,118.80708675570735 A
2017-09-10T00:00:00-06:00,165.02913687758976 A
2017-09-11T00:00:00-06:00,177.03612133661906 A
2017-09-12T00:00:00-06:00,171.54082818850927 A
2017-09-13T00:00:00-06:00,167.95935405486975 A
2017-09-14T00:00:00-06:00,148.03922132586965 A
2017-09-15T00:00:00-06:00,36.101494839036704 A
2017-09-16T00:00:00-06:00,48.98468750686058 A
2017-09-17T00:00:00-06:00,71.98728775310249 A
2017-09-18T00:00:00-06:00,123.30564195804875 A
2017-09-19T00:00:00-06:00,33.19395633841662 A
2017-09-20T00:00:00-06:00,91.82558253371924 A
2017-09-21T00:00:00-06:00,29.139847679807428 A
2017-09-22T00:00:00-06:00,25.54407860044877 A
2017-09-23T00:00:00-06:00,17.724319712365705 A
2017-09-24T00:00:00-06:00,17.597235210951997 A
2017-09-25T00:00:00-06:00,25.90007514009517 A
2017-09-26T00:00:00-06:00,26.78695695544526 A
2017-09-27T00:00:00-06:00,67.19605463512316 A
2017-09-28T00:00:00-06:00,55.71020562493468 A
2017-09-29T00:00:00-06:00,89.33513972013873 A
2017-09-30T00:00:00-06:00,54.12532145373873 A
2017-10-01T00:00:00-06:00,18.956399196190844 A
2017-10-02T00:00:00-06:00,27.81069289652153 A
2017-10-03T00:00:00-06:00,25.93731003854737 A
2017-10-04T00:00:00-06:00,29.616941171884537 A
2017-10-05T00:00:00-06:00,27.381037114390423 A
2017-10-06T00:00:00-06:00,26.339805150549257 A
2017-10-07T00:00:00-06:00,63.97814695040385 A
2017-10-08T00:00:00-06:00,19.381477588869792 A
2017-10-09T00:00:00-06:00,22.68373091001985 A
2017-10-10T00:00:00-06:00,24.361810903156545 A
2017-10-11T00:00:00-06:00,71.2929240905847 A
2017-10-12T00:00:00-06:00,24.165857029360765 A
2017-10-13T00:00:00-06:00,23.83908147132122 A
2017-10-14T00:00:00-06:00,17.731756674040348 A
2017-10-15T00:00:00-06:00,17.30968641057842 A
2017-10-16T00:00:00-06:00,26.253587587305596 A
2017-10-17T00:00:00-06:00,40.15265498266376 A
2017-10-18T00:00:00-06:00,44.76033279887175 A
2017-10-19T00:00:00-06:00,85.90274210472327 A
2017-10-20T00:00:00-06:00,51.11951509240556 A
2017-10-21T00:00:00-06:00,17.801280215934472 A
2017-10-22T00:00:00-06:00,46.52923254990192 A
2017-10-23T00:00:00-06:00,28.803787390947175 A
2017-10-24T00:00:00-06:00,28.246683482098895 A
2017-10-25T00:00:00-06:00,39.515044114188456 A
2017-10-26T00:00:00-06:00,29.541358307097433 A
2017-10-27T00:00:00-06:00,28.13697276576873 A
2017-10-28T00:00:00-06:00,22.579018522514385 A
2017-10-29T00:00:00-06:00,46.43898347605366 A
2017-10-30T00:00:00-06:00,28.47109086725114 A
2017-10-31T00:00:00-06:00,22.84558328260455 A
2017-11-01T00:00:00-06:00,61.28485433499741 A
2017-11-02T00:00:00-06:00,71.197706934611 A
2017-11-03T00:00:00-06:00,31.59158556134093 A
2017-11-04T00:00:00-06:00,17.375020760448038 A
2017-11-05T00:00:00-06:00,17.053993621496698 A
2017-11-06T00:00:00-07:00,25.495592227503032 A
2017-11-07T00:00:00-07:00,23.894780428803603 A
2017-11-08T00:00:00-07:00,25.200340433736866 A
2017-11-09T00:00:00-07:00,22.748157495809785 A
2017-11-10T00:00:00-07:00,21.418026132110164 A
2017-11-11T00:00:00-07:00,16.889832015355886 A
2017-11-12T00:00:00-07:00,16.932239759471095 A
2017-11-13T00:00:00-07:00,23.529862498765944 A
2017-11-14T00:00:00-07:00,23.807514175981368 A
2017-11-15T00:00:00-07:00,25.1111160036244 A
2017-11-16T00:00:00-07:00,28.149618826780657 A
2017-11-17T00:00:00-07:00,23.4651429770803 A
2017-11-18T00:00:00-07:00,18.289405562118297 A
2017-11-19T00:00:00-07:00,18.84694639463538 A
2017-11-20T00:00:00-07:00,23.30848676411322 A
2017-11-21T00:00:00-07:00,23.839324392907148 A
2017-11-22T00:00:00-07:00,31.612570502233844 A
2017-11-23T00:00:00-07:00,42.89596299500972 A
2017-11-24T00:00:00-07:00,23.632719789089318 A
2017-11-25T00:00:00-07:00,17.50539600065538 A
2017-11-26T00:00:00-07:00,55.11090448212205 A
2017-11-27T00:00:00-07:00,64.33050076144465 A
2017-11-28T00:00:00-07:00,25.23223949987677 A
2017-11-29T00:00:00-07:00,24.187945656009486 A
2017-11-30T00:00:00-07:00,27.202587723143928 A
2017-12-01T00:00:00-07:00,23.237538648003518 A
2017-12-02T00:00:00-07:00,17.391224192352077 A
2017-12-03T00:00:00-07:00,18.050712657179737 A
2017-12-04T00:00:00-07:00,27.169154446829257 A
2017-12-05T00:00:00-07:00,28.24592431950349 A
2017-12-06T00:00:00-07:00,27.92803705718536 A
2017-12-07T00:00:00-07:00,22.071025756894706 A
2017-12-08T00:00:00-07:00,23.70831365970516 A
2017-12-09T00:00:00-07:00,16.890383893913693 A
2017-12-10T00:00:00-07:00,16.62106329339341 A
2017-12-11T00:00:00-07:00,26.487778621853973 A
2017-12-12T00:00:00-07:00,27.000616647142152 A
2017-12-13T00:00:00-07:00,29.587678311426437 A
2017-12-14T00:00:00-07:00,29.652114386321617 A
2017-12-15T00:00:00-07:00,33.702224410882515 A
2017-12-16T00:00:00-07:00,29.432033279696768 A
2017-12-17T00:00:00-07:00,29.692821790612733 A
2017-12-18T00:00:00-07:00,32.26044496224851 A
2017-12-19T00:00:00-07:00,32.101146737282924 A
2017-12-20T00:00:00-07:00,31.244453233185133 A
2017-12-21T00:00:00-07:00,31.666522004750853 A
2017-12-22T00:00:00-07:00,28.461963031110358 A
2017-12-23T00:00:00-07:00,27.687719966995886 A
2017-12-24T00:00:00-07:00,27.1438307590525 A
2017-12-25T00:00:00-07:00,27.397133200936167 A
2017-12-26T00:00:00-07:00,28.92250111843446 A
2017-12-27T00:00:00-07:00,28.986751111939263 A
2017-12-28T00:00:00-07:00,29.909551658440584 A
2017-12-29T00:00:00-07:00,29.47546810678253 A
2017-12-30T00:00:00-07:00,30.012272923893843 A
2017-12-31T00:00:00-07:00,28.28683588718523 A
