Timestamp,['1cf8d7ee-522df3c7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current A']
2017-07-04T00:00:00-06:00,136.80208333333334 A
2017-07-05T00:00:00-06:00,136.94791666666666 A
2017-07-06T00:00:00-06:00,136.88541666666666 A
2017-07-07T00:00:00-06:00,136.41666666666666 A
2017-07-08T00:00:00-06:00,137.29166666666666 A
2017-07-09T00:00:00-06:00,137.69791666666666 A
2017-07-10T00:00:00-06:00,136.85416666666666 A
2017-07-11T00:00:00-06:00,136.78125 A
2017-07-12T00:00:00-06:00,135.77083333333334 A
2017-07-13T00:00:00-06:00,135.94791666666666 A
2017-07-14T00:00:00-06:00,137.10416666666666 A
2017-07-15T00:00:00-06:00,136.11458333333334 A
2017-07-16T00:00:00-06:00,135.71875 A
2017-07-17T00:00:00-06:00,135.57291666666666 A
2017-07-18T00:00:00-06:00,134.94791666666666 A
2017-07-19T00:00:00-06:00,135.94791666666666 A
2017-07-20T00:00:00-06:00,136.47916666666666 A
2017-07-21T00:00:00-06:00,136.04166666666666 A
2017-07-22T00:00:00-06:00,136.51041666666666 A
2017-07-23T00:00:00-06:00,136.27083333333334 A
2017-07-24T00:00:00-06:00,135.17708333333334 A
2017-07-25T00:00:00-06:00,136.84375 A
2017-07-26T00:00:00-06:00,136.5625 A
2017-07-27T00:00:00-06:00,136.16666666666666 A
2017-07-28T00:00:00-06:00,135.98958333333334 A
2017-07-29T00:00:00-06:00,136.61458333333334 A
2017-07-30T00:00:00-06:00,136.58333333333334 A
2017-07-31T00:00:00-06:00,136.41666666666666 A
2017-08-01T00:00:00-06:00,134.48958333333334 A
2017-08-02T00:00:00-06:00,134.25 A
2017-08-03T00:00:00-06:00,133.34375 A
2017-08-04T00:00:00-06:00,134.85555555555555 A
2017-08-05T00:00:00-06:00,136.0625 A
2017-08-06T00:00:00-06:00,135.91666666666666 A
2017-08-07T00:00:00-06:00,135.9375 A
2017-08-08T00:00:00-06:00,134.64583333333334 A
2017-08-09T00:00:00-06:00,134.16666666666666 A
2017-08-10T00:00:00-06:00,134.46236559139786 A
2017-08-11T00:00:00-06:00,134.58333333333334 A
2017-08-12T00:00:00-06:00,135.08333333333334 A
2017-08-13T00:00:00-06:00,135.89583333333334 A
2017-08-14T00:00:00-06:00,136.58333333333334 A
2017-08-15T00:00:00-06:00,135.44791666666666 A
2017-08-16T00:00:00-06:00,135.07291666666666 A
2017-08-17T00:00:00-06:00,135.3125 A
2017-08-18T00:00:00-06:00,135.08333333333334 A
2017-08-19T00:00:00-06:00,135.6875 A
2017-08-20T00:00:00-06:00,137.08333333333334 A
2017-08-21T00:00:00-06:00,136.8125 A
2017-08-22T00:00:00-06:00,136.65625 A
2017-08-23T00:00:00-06:00,135.11458333333334 A
2017-08-24T00:00:00-06:00,134.375 A
2017-08-25T00:00:00-06:00,134.34375 A
2017-08-26T00:00:00-06:00,134.39583333333334 A
2017-08-27T00:00:00-06:00,135.45833333333334 A
2017-08-28T00:00:00-06:00,134.9090909090909 A
2017-08-29T00:00:00-06:00,133.14444444444445 A
2017-08-30T00:00:00-06:00,132.6875 A
2017-08-31T00:00:00-06:00,132.6875 A
2017-09-01T00:00:00-06:00,133.40625 A
2017-09-02T00:00:00-06:00,136.3125 A
2017-09-03T00:00:00-06:00,134.13541666666666 A
2017-09-04T00:00:00-06:00,134.07291666666666 A
2017-09-05T00:00:00-06:00,135.3125 A
2017-09-06T00:00:00-06:00,135.59375 A
2017-09-07T00:00:00-06:00,134.65625 A
2017-09-08T00:00:00-06:00,133.3548387096774 A
2017-09-09T00:00:00-06:00,132.30208333333334 A
2017-09-10T00:00:00-06:00,131.65625 A
2017-09-11T00:00:00-06:00,131.58333333333334 A
2017-09-12T00:00:00-06:00,132.41666666666666 A
2017-09-13T00:00:00-06:00,134.19791666666666 A
2017-09-14T00:00:00-06:00,133.82291666666666 A
2017-09-15T00:00:00-06:00,133.51041666666666 A
