Timestamp,['1ce63db3-310113d3 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CA']
2017-12-01T00:00:00-07:00,212.1752406756083 V
2017-12-02T00:00:00-07:00,212.29358673095703 V
2017-12-03T00:00:00-07:00,212.48885822296143 V
2017-12-04T00:00:00-07:00,212.4550255139669 V
2017-12-05T00:00:00-07:00,212.26177390416464 V
2017-12-06T00:00:00-07:00,212.07412735621133 V
2017-12-07T00:00:00-07:00,212.0646710395813 V
2017-12-08T00:00:00-07:00,212.11187966664633 V
2017-12-09T00:00:00-07:00,212.63981501261392 V
2017-12-10T00:00:00-07:00,212.5965207417806 V
2017-12-11T00:00:00-07:00,212.61570040384927 V
2017-12-12T00:00:00-07:00,212.1864267985026 V
2017-12-13T00:00:00-07:00,212.65474271774292 V
2017-12-14T00:00:00-07:00,212.3471744855245 V
2017-12-15T00:00:00-07:00,212.38060681025186 V
2017-12-16T00:00:00-07:00,212.2834218343099 V
2017-12-17T00:00:00-07:00,212.69027980168661 V
2017-12-18T00:00:00-07:00,212.79356736403244 V
2017-12-19T00:00:00-07:00,212.6611089706421 V
2017-12-20T00:00:00-07:00,212.58123207092285 V
2017-12-21T00:00:00-07:00,212.62664333979288 V
2017-12-22T00:00:00-07:00,212.82115777333578 V
2017-12-23T00:00:00-07:00,212.47336133321127 V
2017-12-24T00:00:00-07:00,212.9034365018209 V
2017-12-25T00:00:00-07:00,212.76309458414713 V
2017-12-26T00:00:00-07:00,212.78493229548135 V
2017-12-27T00:00:00-07:00,212.7918152809143 V
2017-12-28T00:00:00-07:00,212.7363340059916 V
2017-12-29T00:00:00-07:00,212.5684707959493 V
2017-12-30T00:00:00-07:00,212.48093287150064 V
2017-12-31T00:00:00-07:00,212.51779476801553 V
