Timestamp,['1cac2918-39ce48d3 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOLT C-N']
2017-12-14T00:00:00-07:00,274.4844131257799 V
2017-12-15T00:00:00-07:00,274.393148443434 V
2017-12-16T00:00:00-07:00,274.54861278533934 V
2017-12-17T00:00:00-07:00,274.30049239264594 V
2017-12-18T00:00:00-07:00,274.44166760175375 V
2017-12-19T00:00:00-07:00,274.11310931311715 V
2017-12-20T00:00:00-07:00,274.4236371782091 V
2017-12-21T00:00:00-07:00,274.1033333036635 V
2017-12-22T00:00:00-07:00,274.20847767723933 V
2017-12-23T00:00:00-07:00,274.14231770833334 V
2017-12-24T00:00:00-07:00,274.2735052320692 V
2017-12-25T00:00:00-07:00,274.5070082134671 V
2017-12-26T00:00:00-07:00,274.5287384033203 V
2017-12-27T00:00:00-07:00,273.8926020940145 V
2017-12-28T00:00:00-07:00,274.55798202090796 V
2017-12-29T00:00:00-07:00,274.29349795447456 V
2017-12-30T00:00:00-07:00,274.19730495876735 V
2017-12-31T00:00:00-07:00,273.98586548699274 V
