Timestamp,['1cca745e-dec3256d 0062-WARNOCK ENGR BLDG Power Meter 316606 Current B']
2017-08-12T00:00:00-06:00,75.4375 A
2017-08-13T00:00:00-06:00,74.41666666666667 A
2017-08-14T00:00:00-06:00,94.9375 A
2017-08-15T00:00:00-06:00,86.20833333333333 A
2017-08-16T00:00:00-06:00,84.80208333333333 A
2017-08-17T00:00:00-06:00,89.8125 A
2017-08-18T00:00:00-06:00,87.90625 A
2017-08-19T00:00:00-06:00,77.10416666666667 A
2017-08-20T00:00:00-06:00,76.46875 A
2017-08-21T00:00:00-06:00,91.91666666666667 A
2017-08-22T00:00:00-06:00,102.07291666666667 A
2017-08-23T00:00:00-06:00,99.03125 A
2017-08-24T00:00:00-06:00,101.40625 A
2017-08-25T00:00:00-06:00,93.02083333333333 A
2017-08-26T00:00:00-06:00,71.59375 A
2017-08-27T00:00:00-06:00,73.11458333333333 A
2017-08-28T00:00:00-06:00,101.2840909090909 A
2017-08-29T00:00:00-06:00,108.2 A
2017-08-30T00:00:00-06:00,105.83333333333333 A
2017-08-31T00:00:00-06:00,97.64583333333333 A
2017-09-01T00:00:00-06:00,98.05208333333333 A
2017-09-02T00:00:00-06:00,75.5625 A
2017-09-03T00:00:00-06:00,76.21875 A
2017-09-04T00:00:00-06:00,76.47916666666667 A
2017-09-05T00:00:00-06:00,105.02083333333333 A
2017-09-06T00:00:00-06:00,109.63157894736842 A
2017-09-07T00:00:00-06:00,107.96842105263158 A
2017-09-08T00:00:00-06:00,102.76086956521739 A
2017-09-09T00:00:00-06:00,76.63541666666667 A
2017-09-10T00:00:00-06:00,78.48958333333333 A
2017-09-11T00:00:00-06:00,105.73958333333333 A
2017-09-12T00:00:00-06:00,112.98958333333333 A
2017-09-13T00:00:00-06:00,110.88541666666667 A
2017-09-14T00:00:00-06:00,114.09375 A
2017-09-15T00:00:00-06:00,116.58333333333333 A
2017-09-16T00:00:00-06:00,82.5625 A
2017-09-17T00:00:00-06:00,83.47916666666667 A
2017-09-18T00:00:00-06:00,112.69791666666667 A
2017-09-19T00:00:00-06:00,115.07291666666667 A
2017-09-20T00:00:00-06:00,114.67708333333333 A
2017-09-21T00:00:00-06:00,114.46875 A
2017-09-22T00:00:00-06:00,106.34375 A
2017-09-23T00:00:00-06:00,80.11458333333333 A
2017-09-24T00:00:00-06:00,77.97916666666667 A
2017-09-25T00:00:00-06:00,110.47916666666667 A
2017-09-26T00:00:00-06:00,109.96875 A
2017-09-27T00:00:00-06:00,109.28125 A
2017-09-28T00:00:00-06:00,113.23958333333333 A
2017-09-29T00:00:00-06:00,104.17708333333333 A
2017-09-30T00:00:00-06:00,74.05208333333333 A
2017-10-01T00:00:00-06:00,74.875 A
2017-10-02T00:00:00-06:00,113.72916666666667 A
2017-10-03T00:00:00-06:00,111.125 A
2017-10-04T00:00:00-06:00,104.28125 A
2017-10-05T00:00:00-06:00,110.17708333333333 A
2017-10-06T00:00:00-06:00,99.89583333333333 A
2017-10-07T00:00:00-06:00,79.63541666666667 A
2017-10-08T00:00:00-06:00,80.26041666666667 A
2017-10-09T00:00:00-06:00,89.875 A
2017-10-10T00:00:00-06:00,89.47916666666667 A
2017-10-11T00:00:00-06:00,92.55208333333333 A
2017-10-12T00:00:00-06:00,97.65625 A
2017-10-13T00:00:00-06:00,94.82291666666667 A
2017-10-14T00:00:00-06:00,75.8125 A
2017-10-15T00:00:00-06:00,79.76041666666667 A
2017-10-16T00:00:00-06:00,109.80208333333333 A
2017-10-17T00:00:00-06:00,116.32291666666667 A
2017-10-18T00:00:00-06:00,117.42708333333333 A
2017-10-19T00:00:00-06:00,111.36458333333333 A
2017-10-20T00:00:00-06:00,111.72916666666667 A
2017-10-21T00:00:00-06:00,81.3125 A
2017-10-22T00:00:00-06:00,81.9375 A
2017-10-23T00:00:00-06:00,111.45833333333333 A
2017-10-24T00:00:00-06:00,120.32291666666667 A
2017-10-25T00:00:00-06:00,121.27083333333333 A
2017-10-26T00:00:00-06:00,117.9375 A
2017-10-27T00:00:00-06:00,109.8125 A
2017-10-28T00:00:00-06:00,81.84375 A
2017-10-29T00:00:00-06:00,84.3125 A
2017-10-30T00:00:00-06:00,116.38541666666667 A
2017-10-31T00:00:00-06:00,112.41666666666667 A
2017-11-01T00:00:00-06:00,117.30208333333333 A
2017-11-02T00:00:00-06:00,112.625 A
2017-11-03T00:00:00-06:00,107.61458333333333 A
2017-11-04T00:00:00-06:00,82.73958333333333 A
2017-11-05T00:00:00-06:00,79.54 A
2017-11-06T00:00:00-07:00,117.89583333333333 A
2017-11-07T00:00:00-07:00,131.94791666666666 A
2017-11-08T00:00:00-07:00,131.1875 A
2017-11-09T00:00:00-07:00,112.92708333333333 A
2017-11-10T00:00:00-07:00,112.67708333333333 A
2017-11-11T00:00:00-07:00,84.0625 A
2017-11-12T00:00:00-07:00,83.30208333333333 A
2017-11-13T00:00:00-07:00,127.9375 A
2017-11-14T00:00:00-07:00,126.77083333333333 A
2017-11-15T00:00:00-07:00,125.20833333333333 A
2017-11-16T00:00:00-07:00,115.0625 A
2017-11-17T00:00:00-07:00,113.375 A
2017-11-18T00:00:00-07:00,83.375 A
2017-11-19T00:00:00-07:00,82.20833333333333 A
2017-11-20T00:00:00-07:00,113.21875 A
2017-11-21T00:00:00-07:00,113.5 A
2017-11-22T00:00:00-07:00,101.09375 A
2017-11-23T00:00:00-07:00,77.59375 A
2017-11-24T00:00:00-07:00,79.95833333333333 A
2017-11-25T00:00:00-07:00,78.67708333333333 A
2017-11-26T00:00:00-07:00,80.26041666666667 A
2017-11-27T00:00:00-07:00,116.36458333333333 A
2017-11-28T00:00:00-07:00,125.14583333333333 A
2017-11-29T00:00:00-07:00,118.9375 A
2017-11-30T00:00:00-07:00,107.46875 A
