Timestamp,['1cd3e160-b67cf7ec 0049-LANGUAGE & COMMUNICATION BLDG Power Meter KWH Received']
2017-09-12T00:00:00-06:00,2563 kWh
2017-09-13T00:00:00-06:00,2512 kWh
2017-09-14T00:00:00-06:00,2505 kWh
2017-09-15T00:00:00-06:00,2229 kWh
2017-09-16T00:00:00-06:00,1863 kWh
2017-09-17T00:00:00-06:00,1933 kWh
2017-09-18T00:00:00-06:00,2510 kWh
2017-09-19T00:00:00-06:00,2447 kWh
2017-09-20T00:00:00-06:00,2470 kWh
2017-09-21T00:00:00-06:00,2359 kWh
2017-09-22T00:00:00-06:00,2171 kWh
2017-09-23T00:00:00-06:00,1758 kWh
2017-09-24T00:00:00-06:00,1709 kWh
2017-09-25T00:00:00-06:00,2311 kWh
2017-09-26T00:00:00-06:00,2414 kWh
2017-09-27T00:00:00-06:00,2435 kWh
2017-09-28T00:00:00-06:00,2424 kWh
2017-09-29T00:00:00-06:00,2292 kWh
2017-09-30T00:00:00-06:00,1856 kWh
2017-10-01T00:00:00-06:00,1736 kWh
2017-10-02T00:00:00-06:00,2341 kWh
2017-10-03T00:00:00-06:00,2474 kWh
2017-10-04T00:00:00-06:00,2511 kWh
2017-10-05T00:00:00-06:00,2409 kWh
2017-10-06T00:00:00-06:00,2322 kWh
2017-10-07T00:00:00-06:00,2030 kWh
2017-10-08T00:00:00-06:00,1906 kWh
2017-10-09T00:00:00-06:00,2206 kWh
2017-10-10T00:00:00-06:00,2113 kWh
2017-10-11T00:00:00-06:00,2142 kWh
2017-10-12T00:00:00-06:00,2076 kWh
2017-10-13T00:00:00-06:00,2045 kWh
2017-10-14T00:00:00-06:00,1699 kWh
2017-10-15T00:00:00-06:00,1732 kWh
2017-10-16T00:00:00-06:00,2388 kWh
2017-10-17T00:00:00-06:00,2467 kWh
2017-10-18T00:00:00-06:00,2473 kWh
2017-10-19T00:00:00-06:00,2503 kWh
2017-10-20T00:00:00-06:00,2258 kWh
2017-10-21T00:00:00-06:00,1762 kWh
2017-10-22T00:00:00-06:00,1778 kWh
2017-10-23T00:00:00-06:00,2394 kWh
2017-10-24T00:00:00-06:00,2459 kWh
2017-10-25T00:00:00-06:00,2464 kWh
2017-10-26T00:00:00-06:00,2405 kWh
2017-10-27T00:00:00-06:00,2218 kWh
2017-10-28T00:00:00-06:00,1773 kWh
2017-10-29T00:00:00-06:00,1807 kWh
2017-10-30T00:00:00-06:00,2309 kWh
2017-10-31T00:00:00-06:00,2011 kWh
2017-11-01T00:00:00-06:00,2411 kWh
2017-11-02T00:00:00-06:00,2588 kWh
2017-11-03T00:00:00-06:00,2254 kWh
2017-11-04T00:00:00-06:00,1721 kWh
2017-11-05T00:00:00-06:00,1775 kWh
2017-11-06T00:00:00-07:00,2295 kWh
2017-11-07T00:00:00-07:00,2384 kWh
2017-11-08T00:00:00-07:00,2386 kWh
2017-11-09T00:00:00-07:00,2409 kWh
2017-11-10T00:00:00-07:00,2199 kWh
2017-11-11T00:00:00-07:00,1819 kWh
2017-11-12T00:00:00-07:00,1810 kWh
2017-11-13T00:00:00-07:00,2371 kWh
2017-11-14T00:00:00-07:00,2415 kWh
2017-11-15T00:00:00-07:00,2351 kWh
2017-11-16T00:00:00-07:00,2452 kWh
2017-11-17T00:00:00-07:00,2285 kWh
2017-11-18T00:00:00-07:00,1973 kWh
2017-11-19T00:00:00-07:00,1907 kWh
2017-11-20T00:00:00-07:00,2451 kWh
2017-11-21T00:00:00-07:00,2464 kWh
2017-11-22T00:00:00-07:00,2249 kWh
2017-11-23T00:00:00-07:00,1821 kWh
2017-11-24T00:00:00-07:00,1826 kWh
2017-11-25T00:00:00-07:00,1757 kWh
2017-11-26T00:00:00-07:00,1781 kWh
2017-11-27T00:00:00-07:00,2488 kWh
2017-11-28T00:00:00-07:00,2496 kWh
2017-11-29T00:00:00-07:00,2487 kWh
2017-11-30T00:00:00-07:00,2482 kWh
2017-12-01T00:00:00-07:00,2299 kWh
2017-12-02T00:00:00-07:00,1826 kWh
2017-12-03T00:00:00-07:00,1822 kWh
2017-12-04T00:00:00-07:00,2458 kWh
2017-12-05T00:00:00-07:00,2555 kWh
2017-12-06T00:00:00-07:00,2455 kWh
2017-12-07T00:00:00-07:00,2507 kWh
2017-12-08T00:00:00-07:00,2351 kWh
2017-12-09T00:00:00-07:00,1948 kWh
2017-12-10T00:00:00-07:00,1929 kWh
2017-12-11T00:00:00-07:00,2237 kWh
2017-12-12T00:00:00-07:00,2358 kWh
2017-12-13T00:00:00-07:00,2353 kWh
2017-12-14T00:00:00-07:00,2273 kWh
2017-12-15T00:00:00-07:00,2241 kWh
2017-12-16T00:00:00-07:00,1870 kWh
2017-12-17T00:00:00-07:00,1848 kWh
2017-12-18T00:00:00-07:00,2145 kWh
2017-12-19T00:00:00-07:00,2110 kWh
2017-12-20T00:00:00-07:00,2014 kWh
2017-12-21T00:00:00-07:00,2064 kWh
2017-12-22T00:00:00-07:00,2042 kWh
2017-12-23T00:00:00-07:00,1890 kWh
2017-12-24T00:00:00-07:00,1868 kWh
2017-12-25T00:00:00-07:00,1860 kWh
2017-12-26T00:00:00-07:00,1935 kWh
2017-12-27T00:00:00-07:00,1976 kWh
2017-12-28T00:00:00-07:00,1931 kWh
2017-12-29T00:00:00-07:00,1861 kWh
2017-12-30T00:00:00-07:00,1763 kWh
2017-12-31T00:00:00-07:00,1808 kWh
