Timestamp,['1cac28f5-9755cae4 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOLT B-N']
2017-09-26T00:00:00-06:00,274.4525154325697 V
2017-09-27T00:00:00-06:00,274.7146967569987 V
2017-09-28T00:00:00-06:00,274.80659476386177 V
2017-09-29T00:00:00-06:00,274.70071036020914 V
2017-09-30T00:00:00-06:00,274.24950998094346 V
2017-10-01T00:00:00-06:00,274.1458389070299 V
2017-10-02T00:00:00-06:00,274.5612489912245 V
2017-10-03T00:00:00-06:00,274.19433858659534 V
2017-10-04T00:00:00-06:00,274.7375146230062 V
2017-10-05T00:00:00-06:00,274.53592484792074 V
2017-10-06T00:00:00-06:00,274.48999983469645 V
2017-10-07T00:00:00-06:00,274.6923821343316 V
2017-10-08T00:00:00-06:00,274.6063649283515 V
2017-10-09T00:00:00-06:00,274.60387149386935 V
2017-10-10T00:00:00-06:00,274.3702579710219 V
2017-10-11T00:00:00-06:00,274.51221807267933 V
2017-10-12T00:00:00-06:00,274.731609831916 V
2017-10-13T00:00:00-06:00,274.5846672270033 V
2017-10-14T00:00:00-06:00,274.5104588402642 V
2017-10-15T00:00:00-06:00,274.4518577787611 V
2017-10-16T00:00:00-06:00,274.52578493754066 V
2017-10-17T00:00:00-06:00,274.2525041792128 V
2017-10-18T00:00:00-06:00,274.7522885216607 V
2017-10-19T00:00:00-06:00,274.77352195315893 V
2017-10-20T00:00:00-06:00,274.414727973938 V
2017-10-21T00:00:00-06:00,274.5420672522651 V
2017-10-22T00:00:00-06:00,274.341685379876 V
2017-10-23T00:00:00-06:00,274.64671681722007 V
2017-10-24T00:00:00-06:00,274.41208896636965 V
2017-10-25T00:00:00-06:00,274.62751623789467 V
2017-10-26T00:00:00-06:00,274.352364370558 V
2017-10-27T00:00:00-06:00,274.68486817677814 V
2017-10-28T00:00:00-06:00,274.52499809265134 V
2017-10-29T00:00:00-06:00,274.3607458114624 V
2017-10-30T00:00:00-06:00,274.67513398064506 V
2017-10-31T00:00:00-06:00,274.7865557988485 V
2017-11-01T00:00:00-06:00,274.17965592278375 V
2017-11-02T00:00:00-06:00,274.56951910654703 V
2017-11-03T00:00:00-06:00,274.7560528225369 V
2017-11-04T00:00:00-06:00,274.682805358039 V
2017-11-05T00:00:00-06:00,274.7788795369466 V
2017-11-06T00:00:00-07:00,274.8790393193563 V
2017-11-07T00:00:00-07:00,274.9317492802938 V
2017-11-08T00:00:00-07:00,274.4939992904663 V
2017-11-09T00:00:00-07:00,274.32201830546063 V
2017-11-10T00:00:00-07:00,274.59776348537866 V
2017-11-11T00:00:00-07:00,274.3745365142822 V
2017-11-12T00:00:00-07:00,274.500987900628 V
2017-11-13T00:00:00-07:00,274.5209626303779 V
2017-11-14T00:00:00-07:00,274.3792781829834 V
2017-11-15T00:00:00-07:00,273.9497291141086 V
2017-11-16T00:00:00-07:00,274.9365576638116 V
2017-11-17T00:00:00-07:00,274.4294211705526 V
2017-11-18T00:00:00-07:00,274.8854292339749 V
2017-11-19T00:00:00-07:00,275.2147663752238 V
2017-11-20T00:00:00-07:00,274.8538632710775 V
2017-11-21T00:00:00-07:00,274.29471903906926 V
2017-11-22T00:00:00-07:00,274.664588631524 V
2017-11-23T00:00:00-07:00,274.74972796969945 V
2017-11-24T00:00:00-07:00,274.81833324432375 V
2017-11-25T00:00:00-07:00,274.6962096532186 V
2017-11-26T00:00:00-07:00,274.72411742740206 V
2017-11-27T00:00:00-07:00,274.8001562542386 V
2017-11-28T00:00:00-07:00,274.62197666168214 V
2017-11-29T00:00:00-07:00,274.525162103441 V
2017-11-30T00:00:00-07:00,274.45029125213625 V
2017-12-01T00:00:00-07:00,274.7375552283393 V
2017-12-02T00:00:00-07:00,274.6036162058512 V
2017-12-03T00:00:00-07:00,274.541602007548 V
2017-12-04T00:00:00-07:00,274.38734154171414 V
2017-12-05T00:00:00-07:00,274.60261217753094 V
2017-12-06T00:00:00-07:00,274.5839129341973 V
2017-12-07T00:00:00-07:00,274.71028639475503 V
2017-12-08T00:00:00-07:00,274.9378852844238 V
2017-12-09T00:00:00-07:00,274.99847871992324 V
2017-12-10T00:00:00-07:00,274.78587000105114 V
2017-12-11T00:00:00-07:00,274.43023153940834 V
2017-12-12T00:00:00-07:00,274.2352666007148 V
2017-12-13T00:00:00-07:00,274.4531065411038 V
2017-12-14T00:00:00-07:00,274.70606214735244 V
2017-12-15T00:00:00-07:00,274.56532550387914 V
2017-12-16T00:00:00-07:00,274.6863093905979 V
2017-12-17T00:00:00-07:00,274.3094419903225 V
2017-12-18T00:00:00-07:00,274.43120111952175 V
2017-12-19T00:00:00-07:00,274.2841136508518 V
2017-12-20T00:00:00-07:00,274.65872715844046 V
2017-12-21T00:00:00-07:00,274.2879578272502 V
2017-12-22T00:00:00-07:00,274.4873062345717 V
2017-12-23T00:00:00-07:00,274.42025826772056 V
2017-12-24T00:00:00-07:00,274.51037743886315 V
2017-12-25T00:00:00-07:00,274.7461187150743 V
2017-12-26T00:00:00-07:00,274.7758687973022 V
2017-12-27T00:00:00-07:00,274.16993488735625 V
2017-12-28T00:00:00-07:00,274.8798623826769 V
2017-12-29T00:00:00-07:00,274.6057980219523 V
2017-12-30T00:00:00-07:00,274.3603059556749 V
2017-12-31T00:00:00-07:00,274.1349620183309 V
