Timestamp,"['203f26be-935f52aa 0097-DUMKE GYMNASTICS CNTR Power Meter W-hours, Received']"
2017-11-15T00:00:00-07:00,527.46875 kWh
2017-11-16T00:00:00-07:00,639.8125 kWh
2017-11-17T00:00:00-07:00,618.53125 kWh
2017-11-18T00:00:00-07:00,508.3125 kWh
2017-11-19T00:00:00-07:00,487.40625 kWh
2017-11-20T00:00:00-07:00,689.25 kWh
2017-11-21T00:00:00-07:00,837.75 kWh
2017-11-22T00:00:00-07:00,708.53125 kWh
2017-11-23T00:00:00-07:00,632.84375 kWh
2017-11-24T00:00:00-07:00,710.03125 kWh
2017-11-25T00:00:00-07:00,720.21875 kWh
2017-11-26T00:00:00-07:00,656.78125 kWh
2017-11-27T00:00:00-07:00,785.3125 kWh
2017-11-28T00:00:00-07:00,762.9375 kWh
2017-11-29T00:00:00-07:00,620.40625 kWh
2017-11-30T00:00:00-07:00,863.53125 kWh
2017-12-01T00:00:00-07:00,812.4375 kWh
2017-12-02T00:00:00-07:00,686.96875 kWh
2017-12-03T00:00:00-07:00,714 kWh
2017-12-04T00:00:00-07:00,852.34375 kWh
2017-12-05T00:00:00-07:00,854.96875 kWh
2017-12-06T00:00:00-07:00,748.125 kWh
2017-12-07T00:00:00-07:00,838 kWh
2017-12-08T00:00:00-07:00,772.46875 kWh
2017-12-09T00:00:00-07:00,711.125 kWh
2017-12-10T00:00:00-07:00,659.34375 kWh
2017-12-11T00:00:00-07:00,737.53125 kWh
2017-12-12T00:00:00-07:00,717.34375 kWh
2017-12-13T00:00:00-07:00,640.34375 kWh
2017-12-14T00:00:00-07:00,728.46875 kWh
2017-12-15T00:00:00-07:00,702.53125 kWh
2017-12-16T00:00:00-07:00,631.75 kWh
2017-12-17T00:00:00-07:00,644.84375 kWh
2017-12-18T00:00:00-07:00,684.78125 kWh
2017-12-19T00:00:00-07:00,688.15625 kWh
2017-12-20T00:00:00-07:00,678.6875 kWh
2017-12-21T00:00:00-07:00,672.75 kWh
2017-12-22T00:00:00-07:00,691.1875 kWh
2017-12-23T00:00:00-07:00,642.5625 kWh
2017-12-24T00:00:00-07:00,673.9375 kWh
2017-12-25T00:00:00-07:00,680.0625 kWh
2017-12-26T00:00:00-07:00,721.5 kWh
2017-12-27T00:00:00-07:00,843.59375 kWh
2017-12-28T00:00:00-07:00,854.09375 kWh
2017-12-29T00:00:00-07:00,745.1875 kWh
2017-12-30T00:00:00-07:00,846.59375 kWh
2017-12-31T00:00:00-07:00,703.21875 kWh
