Timestamp,['1cdb9aa9-e2eb0eb4 0086-MARRIOTT LIBRARY Power Meter 1 KWH Received']
2017-10-28T00:00:00-06:00,6026 kWh
2017-10-29T00:00:00-06:00,6064 kWh
2017-10-30T00:00:00-06:00,7978 kWh
2017-10-31T00:00:00-06:00,7386 kWh
2017-11-01T00:00:00-06:00,8196 kWh
2017-11-02T00:00:00-06:00,8252 kWh
2017-11-03T00:00:00-06:00,7562 kWh
2017-11-04T00:00:00-06:00,6694 kWh
2017-11-05T00:00:00-06:00,6760 kWh
2017-11-06T00:00:00-07:00,8158 kWh
2017-11-07T00:00:00-07:00,7738 kWh
2017-11-08T00:00:00-07:00,7908 kWh
2017-11-09T00:00:00-07:00,7988 kWh
2017-11-10T00:00:00-07:00,7412 kWh
2017-11-11T00:00:00-07:00,6284 kWh
2017-11-12T00:00:00-07:00,6236 kWh
2017-11-13T00:00:00-07:00,8036 kWh
2017-11-14T00:00:00-07:00,8176 kWh
2017-11-15T00:00:00-07:00,7756 kWh
2017-11-16T00:00:00-07:00,7976 kWh
2017-11-17T00:00:00-07:00,6776 kWh
2017-11-18T00:00:00-07:00,5500 kWh
2017-11-19T00:00:00-07:00,5476 kWh
2017-11-20T00:00:00-07:00,7532 kWh
2017-11-21T00:00:00-07:00,7782 kWh
2017-11-22T00:00:00-07:00,7450 kWh
2017-11-23T00:00:00-07:00,4844 kWh
2017-11-24T00:00:00-07:00,4744 kWh
2017-11-25T00:00:00-07:00,5836 kWh
2017-11-26T00:00:00-07:00,6156 kWh
2017-11-27T00:00:00-07:00,7682 kWh
2017-11-28T00:00:00-07:00,7254 kWh
2017-11-29T00:00:00-07:00,7422 kWh
2017-11-30T00:00:00-07:00,7422 kWh
2017-12-01T00:00:00-07:00,7080 kWh
2017-12-02T00:00:00-07:00,6132 kWh
2017-12-03T00:00:00-07:00,6288 kWh
2017-12-04T00:00:00-07:00,7468 kWh
2017-12-05T00:00:00-07:00,7538 kWh
2017-12-06T00:00:00-07:00,7528 kWh
2017-12-07T00:00:00-07:00,7448 kWh
2017-12-08T00:00:00-07:00,7056 kWh
2017-12-09T00:00:00-07:00,5932 kWh
2017-12-10T00:00:00-07:00,5770 kWh
2017-12-11T00:00:00-07:00,7528 kWh
2017-12-12T00:00:00-07:00,7476 kWh
2017-12-13T00:00:00-07:00,7824 kWh
2017-12-14T00:00:00-07:00,7576 kWh
2017-12-15T00:00:00-07:00,6910 kWh
2017-12-16T00:00:00-07:00,5056 kWh
2017-12-17T00:00:00-07:00,4254 kWh
2017-12-18T00:00:00-07:00,6508 kWh
2017-12-19T00:00:00-07:00,6468 kWh
2017-12-20T00:00:00-07:00,6544 kWh
2017-12-21T00:00:00-07:00,6464 kWh
2017-12-22T00:00:00-07:00,5780 kWh
2017-12-23T00:00:00-07:00,4120 kWh
2017-12-24T00:00:00-07:00,3676 kWh
2017-12-25T00:00:00-07:00,4398 kWh
2017-12-26T00:00:00-07:00,4282 kWh
2017-12-27T00:00:00-07:00,4196 kWh
2017-12-28T00:00:00-07:00,4308 kWh
2017-12-29T00:00:00-07:00,4020 kWh
2017-12-30T00:00:00-07:00,3692 kWh
2017-12-31T00:00:00-07:00,3336 kWh
