Timestamp,['1cca7595-645427c6 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts BN']
2017-10-03T00:00:00-06:00,284.7291666666667 V
2017-10-04T00:00:00-06:00,284.3229166666667 V
2017-10-05T00:00:00-06:00,284.59375 V
2017-10-06T00:00:00-06:00,284.6354166666667 V
2017-10-07T00:00:00-06:00,284.4166666666667 V
2017-10-08T00:00:00-06:00,284.90625 V
2017-10-09T00:00:00-06:00,284.78125 V
2017-10-10T00:00:00-06:00,284.7916666666667 V
2017-10-11T00:00:00-06:00,284.2916666666667 V
2017-10-12T00:00:00-06:00,284.7395833333333 V
2017-10-13T00:00:00-06:00,284.78125 V
2017-10-14T00:00:00-06:00,284.84375 V
2017-10-15T00:00:00-06:00,284.5833333333333 V
2017-10-16T00:00:00-06:00,284.6979166666667 V
2017-10-17T00:00:00-06:00,284.375 V
2017-10-18T00:00:00-06:00,284.28125 V
2017-10-19T00:00:00-06:00,284.5104166666667 V
2017-10-20T00:00:00-06:00,284.6354166666667 V
2017-10-21T00:00:00-06:00,284.7083333333333 V
2017-10-22T00:00:00-06:00,284.71875 V
2017-10-23T00:00:00-06:00,284.59375 V
2017-10-24T00:00:00-06:00,284.3333333333333 V
2017-10-25T00:00:00-06:00,284.4166666666667 V
2017-10-26T00:00:00-06:00,284.7395833333333 V
2017-10-27T00:00:00-06:00,284.7916666666667 V
2017-10-28T00:00:00-06:00,284.4166666666667 V
2017-10-29T00:00:00-06:00,284.59375 V
2017-10-30T00:00:00-06:00,284.7916666666667 V
2017-10-31T00:00:00-06:00,284.8645833333333 V
2017-11-01T00:00:00-06:00,284.5104166666667 V
2017-11-02T00:00:00-06:00,284.3854166666667 V
2017-11-03T00:00:00-06:00,284.3125 V
2017-11-04T00:00:00-06:00,284.6145833333333 V
2017-11-05T00:00:00-06:00,284.18 V
2017-11-06T00:00:00-07:00,284.03125 V
2017-11-07T00:00:00-07:00,284.125 V
2017-11-08T00:00:00-07:00,284.15625 V
2017-11-09T00:00:00-07:00,284.2916666666667 V
2017-11-10T00:00:00-07:00,284.34375 V
2017-11-11T00:00:00-07:00,283.9791666666667 V
2017-11-12T00:00:00-07:00,284.2916666666667 V
2017-11-13T00:00:00-07:00,284.2916666666667 V
2017-11-14T00:00:00-07:00,284.7684210526316 V
2017-11-15T00:00:00-07:00,284.15625 V
2017-11-16T00:00:00-07:00,284.0104166666667 V
2017-11-17T00:00:00-07:00,284.4375 V
2017-11-18T00:00:00-07:00,284.625 V
2017-11-19T00:00:00-07:00,284.5833333333333 V
2017-11-20T00:00:00-07:00,284.3125 V
2017-11-21T00:00:00-07:00,284.1354166666667 V
2017-11-22T00:00:00-07:00,283.8541666666667 V
2017-11-23T00:00:00-07:00,284.3333333333333 V
2017-11-24T00:00:00-07:00,284.0520833333333 V
2017-11-25T00:00:00-07:00,284.0833333333333 V
2017-11-26T00:00:00-07:00,284.2916666666667 V
2017-11-27T00:00:00-07:00,284.21875 V
2017-11-28T00:00:00-07:00,284.3541666666667 V
2017-11-29T00:00:00-07:00,284.6041666666667 V
2017-11-30T00:00:00-07:00,284.8541666666667 V
2017-12-01T00:00:00-07:00,284.3125 V
2017-12-02T00:00:00-07:00,284.3333333333333 V
2017-12-03T00:00:00-07:00,284.2291666666667 V
2017-12-04T00:00:00-07:00,284.6145833333333 V
2017-12-05T00:00:00-07:00,284.21875 V
2017-12-06T00:00:00-07:00,284.0520833333333 V
2017-12-07T00:00:00-07:00,283.9479166666667 V
2017-12-08T00:00:00-07:00,284.0833333333333 V
2017-12-09T00:00:00-07:00,284.5625 V
2017-12-10T00:00:00-07:00,284.5 V
2017-12-11T00:00:00-07:00,284.4479166666667 V
2017-12-12T00:00:00-07:00,284.1979166666667 V
2017-12-13T00:00:00-07:00,284.78125 V
2017-12-14T00:00:00-07:00,284.4270833333333 V
2017-12-15T00:00:00-07:00,284.4166666666667 V
2017-12-16T00:00:00-07:00,284.4583333333333 V
2017-12-17T00:00:00-07:00,284.4791666666667 V
2017-12-18T00:00:00-07:00,284.74725274725273 V
2017-12-19T00:00:00-07:00,284.8958333333333 V
2017-12-20T00:00:00-07:00,284.6875 V
2017-12-21T00:00:00-07:00,284.8020833333333 V
2017-12-22T00:00:00-07:00,284.875 V
2017-12-23T00:00:00-07:00,284.3958333333333 V
2017-12-24T00:00:00-07:00,285.0625 V
2017-12-25T00:00:00-07:00,284.7916666666667 V
2017-12-26T00:00:00-07:00,284.8854166666667 V
2017-12-27T00:00:00-07:00,284.875 V
2017-12-28T00:00:00-07:00,284.7291666666667 V
2017-12-29T00:00:00-07:00,284.53125 V
2017-12-30T00:00:00-07:00,284.40625 V
2017-12-31T00:00:00-07:00,284.53125 V
