Timestamp,"['1ee9aa5e-61cafb5e 0053-OLPIN UNION Power Meter (53-2) 300116 W-hours, Received']"
2017-09-12T00:00:00-06:00,2446.875 kWh
2017-09-13T00:00:00-06:00,2355.84375 kWh
2017-09-14T00:00:00-06:00,2314.9375 kWh
2017-09-15T00:00:00-06:00,2371.125 kWh
2017-09-16T00:00:00-06:00,1717.1875 kWh
2017-09-17T00:00:00-06:00,1671.4375 kWh
2017-09-18T00:00:00-06:00,2244.78125 kWh
2017-09-19T00:00:00-06:00,2318.28125 kWh
2017-09-20T00:00:00-06:00,2403.03125 kWh
2017-09-21T00:00:00-06:00,2427.15625 kWh
2017-09-22T00:00:00-06:00,2272.03125 kWh
2017-09-23T00:00:00-06:00,1781.1875 kWh
2017-09-24T00:00:00-06:00,1741.65625 kWh
2017-09-25T00:00:00-06:00,2253.59375 kWh
2017-09-26T00:00:00-06:00,2368.03125 kWh
2017-09-27T00:00:00-06:00,2415.84375 kWh
2017-09-28T00:00:00-06:00,2442.9375 kWh
2017-09-29T00:00:00-06:00,2398.84375 kWh
2017-09-30T00:00:00-06:00,1789.96875 kWh
2017-10-01T00:00:00-06:00,1729.15625 kWh
2017-10-02T00:00:00-06:00,2324 kWh
2017-10-03T00:00:00-06:00,2408.1875 kWh
2017-10-04T00:00:00-06:00,2300.5625 kWh
2017-10-05T00:00:00-06:00,2253.59375 kWh
2017-10-06T00:00:00-06:00,2367.15625 kWh
2017-10-07T00:00:00-06:00,1964.53125 kWh
2017-10-08T00:00:00-06:00,1604.375 kWh
2017-10-09T00:00:00-06:00,2085.9375 kWh
2017-10-10T00:00:00-06:00,2068.25 kWh
2017-10-11T00:00:00-06:00,2206.75 kWh
2017-10-12T00:00:00-06:00,2266.625 kWh
2017-10-13T00:00:00-06:00,2196 kWh
2017-10-14T00:00:00-06:00,1783.4375 kWh
2017-10-15T00:00:00-06:00,1619.375 kWh
2017-10-16T00:00:00-06:00,2251.625 kWh
2017-10-17T00:00:00-06:00,2272.25 kWh
2017-10-18T00:00:00-06:00,2286.5 kWh
2017-10-19T00:00:00-06:00,2313.6875 kWh
2017-10-20T00:00:00-06:00,2337.875 kWh
2017-10-21T00:00:00-06:00,1942.8125 kWh
2017-10-22T00:00:00-06:00,1759.125 kWh
2017-10-23T00:00:00-06:00,2292.0625 kWh
2017-10-24T00:00:00-06:00,2271.625 kWh
2017-10-25T00:00:00-06:00,2363.5625 kWh
2017-10-26T00:00:00-06:00,2336.625 kWh
2017-10-27T00:00:00-06:00,2298.0625 kWh
2017-10-28T00:00:00-06:00,1861.9375 kWh
2017-10-29T00:00:00-06:00,1681.125 kWh
2017-10-30T00:00:00-06:00,2251.3125 kWh
2017-10-31T00:00:00-06:00,2206.5625 kWh
2017-11-01T00:00:00-06:00,2402.9375 kWh
2017-11-02T00:00:00-06:00,2294.5 kWh
2017-11-03T00:00:00-06:00,2224.75 kWh
2017-11-04T00:00:00-06:00,1974.4375 kWh
2017-11-05T00:00:00-06:00,1838.125 kWh
2017-11-06T00:00:00-07:00,2256.3125 kWh
2017-11-07T00:00:00-07:00,2280.5625 kWh
2017-11-08T00:00:00-07:00,2365.75 kWh
2017-11-09T00:00:00-07:00,2290.5625 kWh
2017-11-10T00:00:00-07:00,2328.625 kWh
2017-11-11T00:00:00-07:00,1782.4375 kWh
2017-11-12T00:00:00-07:00,1699.125 kWh
2017-11-13T00:00:00-07:00,2269.9375 kWh
2017-11-14T00:00:00-07:00,2399.375 kWh
2017-11-15T00:00:00-07:00,2365.125 kWh
2017-11-16T00:00:00-07:00,2409.6875 kWh
2017-11-17T00:00:00-07:00,2390.25 kWh
2017-11-18T00:00:00-07:00,1764.625 kWh
2017-11-19T00:00:00-07:00,1682 kWh
2017-11-20T00:00:00-07:00,2250 kWh
2017-11-21T00:00:00-07:00,2283.5 kWh
2017-11-22T00:00:00-07:00,2170.6875 kWh
2017-11-23T00:00:00-07:00,1538.375 kWh
2017-11-24T00:00:00-07:00,1673.125 kWh
2017-11-25T00:00:00-07:00,1689.5 kWh
2017-11-26T00:00:00-07:00,1672.875 kWh
2017-11-27T00:00:00-07:00,2257.4375 kWh
2017-11-28T00:00:00-07:00,2322.9375 kWh
2017-11-29T00:00:00-07:00,2366.9375 kWh
2017-11-30T00:00:00-07:00,2350.1875 kWh
