Timestamp,['203a2650-caf523f9 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-N']
2017-08-28T00:00:00-06:00,121.90277214460475 V
2017-08-29T00:00:00-06:00,122.00199701452767 V
2017-08-30T00:00:00-06:00,122.02731537818909 V
2017-08-31T00:00:00-06:00,122.03379615147908 V
2017-09-01T00:00:00-06:00,121.96486274401347 V
2017-09-02T00:00:00-06:00,122.09988085428874 V
2017-09-03T00:00:00-06:00,122.24514929453532 V
2017-09-04T00:00:00-06:00,121.99165773391724 V
2017-09-05T00:00:00-06:00,121.86562450726827 V
2017-09-06T00:00:00-06:00,121.94297313690186 V
2017-09-07T00:00:00-06:00,121.80721577008565 V
2017-09-08T00:00:00-06:00,121.85566422311884 V
2017-09-09T00:00:00-06:00,121.96887071927388 V
2017-09-10T00:00:00-06:00,122.1419579188029 V
2017-09-11T00:00:00-06:00,121.73329424858093 V
2017-09-12T00:00:00-06:00,121.89361302057902 V
2017-09-13T00:00:00-06:00,121.7325877348582 V
2017-09-14T00:00:00-06:00,121.83578999837239 V
2017-09-15T00:00:00-06:00,122.02329619725545 V
2017-09-16T00:00:00-06:00,122.12748726209004 V
2017-09-17T00:00:00-06:00,122.15405758221944 V
2017-09-18T00:00:00-06:00,121.99042336146037 V
2017-09-19T00:00:00-06:00,121.85031859079997 V
2017-09-20T00:00:00-06:00,121.89040525754292 V
2017-09-21T00:00:00-06:00,122.10132034619649 V
2017-09-22T00:00:00-06:00,121.95477469762166 V
2017-09-23T00:00:00-06:00,122.06510821978252 V
2017-09-24T00:00:00-06:00,122.28170744578044 V
2017-09-25T00:00:00-06:00,122.23909838994344 V
2017-09-26T00:00:00-06:00,122.20668053627014 V
2017-09-27T00:00:00-06:00,122.12904667854309 V
2017-09-28T00:00:00-06:00,121.93474594751994 V
2017-09-29T00:00:00-06:00,121.96189983685811 V
2017-09-30T00:00:00-06:00,122.0605804125468 V
2017-10-01T00:00:00-06:00,122.31412688891093 V
2017-10-02T00:00:00-06:00,122.48130623499553 V
2017-10-03T00:00:00-06:00,122.4171446164449 V
2017-10-04T00:00:00-06:00,122.20288101832072 V
2017-10-05T00:00:00-06:00,122.37638680140178 V
2017-10-06T00:00:00-06:00,122.24909996986389 V
2017-10-07T00:00:00-06:00,122.30777700742085 V
2017-10-08T00:00:00-06:00,122.57885630925496 V
2017-10-09T00:00:00-06:00,122.5972904364268 V
2017-10-10T00:00:00-06:00,122.5674463113149 V
2017-10-11T00:00:00-06:00,122.28852693239848 V
2017-10-12T00:00:00-06:00,122.70826888084412 V
2017-10-13T00:00:00-06:00,122.59140125910442 V
2017-10-14T00:00:00-06:00,122.51846218109131 V
2017-10-15T00:00:00-06:00,122.68878833452861 V
2017-10-16T00:00:00-06:00,122.3889189561208 V
2017-10-17T00:00:00-06:00,122.24314943949382 V
2017-10-18T00:00:00-06:00,122.24727217356364 V
2017-10-19T00:00:00-06:00,122.2434819539388 V
2017-10-20T00:00:00-06:00,122.39749908447266 V
2017-10-21T00:00:00-06:00,122.61896252632141 V
2017-10-22T00:00:00-06:00,122.73348530133565 V
2017-10-23T00:00:00-06:00,122.4053012530009 V
2017-10-24T00:00:00-06:00,122.4377052783966 V
2017-10-25T00:00:00-06:00,122.35286657015483 V
2017-10-26T00:00:00-06:00,122.56074770291646 V
2017-10-27T00:00:00-06:00,122.57056538263957 V
2017-10-28T00:00:00-06:00,122.41849684715271 V
2017-10-29T00:00:00-06:00,122.70872084299724 V
2017-10-30T00:00:00-06:00,122.5721861521403 V
2017-10-31T00:00:00-06:00,122.61914126078288 V
2017-11-01T00:00:00-06:00,122.34704836209615 V
2017-11-02T00:00:00-06:00,122.3545024394989 V
2017-11-03T00:00:00-06:00,122.4394736289978 V
2017-11-04T00:00:00-06:00,122.51143765449524 V
2017-11-05T00:00:00-06:00,122.80230484008788 V
