Timestamp,['1da98322-927bf059 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current C']
2017-08-04T00:00:00-06:00,135.3254484540961 A
2017-08-05T00:00:00-06:00,207.71133963267008 A
2017-08-06T00:00:00-06:00,133.09383749961853 A
2017-08-07T00:00:00-06:00,129.38731718063354 A
2017-08-08T00:00:00-06:00,126.75163753827412 A
2017-08-09T00:00:00-06:00,127.4910987218221 A
2017-08-10T00:00:00-06:00,126.54028121284817 A
2017-08-11T00:00:00-06:00,127.82432277997334 A
2017-08-12T00:00:00-06:00,131.47981468836466 A
2017-08-13T00:00:00-06:00,129.19413884480795 A
2017-08-14T00:00:00-06:00,170.9306480884552 A
2017-08-15T00:00:00-06:00,126.31781562169392 A
2017-08-16T00:00:00-06:00,145.01086584726968 A
2017-08-17T00:00:00-06:00,127.99300154050191 A
2017-08-18T00:00:00-06:00,131.16615549723306 A
2017-08-19T00:00:00-06:00,196.24283385276794 A
2017-08-20T00:00:00-06:00,128.51554671923319 A
2017-08-21T00:00:00-06:00,159.7546325524648 A
2017-08-22T00:00:00-06:00,129.11078429222107 A
2017-08-23T00:00:00-06:00,147.91663026809692 A
2017-08-24T00:00:00-06:00,131.46301277478537 A
2017-08-25T00:00:00-06:00,132.66272457440695 A
2017-08-26T00:00:00-06:00,134.86444568634033 A
2017-08-27T00:00:00-06:00,131.38839252789816 A
2017-08-28T00:00:00-06:00,146.74833556427353 A
2017-08-29T00:00:00-06:00,133.81935797797308 A
2017-08-30T00:00:00-06:00,146.9550179640452 A
2017-08-31T00:00:00-06:00,317.19426918029785 A
2017-09-01T00:00:00-06:00,170.79238200187683 A
2017-09-02T00:00:00-06:00,135.87467535336813 A
2017-09-03T00:00:00-06:00,137.22184054056802 A
2017-09-04T00:00:00-06:00,138.1738781929016 A
2017-09-05T00:00:00-06:00,140.6442630290985 A
2017-09-06T00:00:00-06:00,143.41343450546265 A
2017-09-07T00:00:00-06:00,137.34612401326498 A
2017-09-08T00:00:00-06:00,137.47645116114356 A
2017-09-09T00:00:00-06:00,134.52236557006836 A
2017-09-10T00:00:00-06:00,133.79026953379312 A
2017-09-11T00:00:00-06:00,139.54966147740683 A
2017-09-12T00:00:00-06:00,146.90437054634094 A
2017-09-13T00:00:00-06:00,135.39327756563821 A
2017-09-14T00:00:00-06:00,133.11271874109903 A
2017-09-15T00:00:00-06:00,129.23007488250732 A
2017-09-16T00:00:00-06:00,276.12769317626953 A
2017-09-17T00:00:00-06:00,196.18784713745117 A
2017-09-18T00:00:00-06:00,127.95524613062541 A
2017-09-19T00:00:00-06:00,124.09198506673177 A
2017-09-20T00:00:00-06:00,125.4000023206075 A
2017-09-21T00:00:00-06:00,130.54449518521628 A
2017-09-22T00:00:00-06:00,124.41959953308105 A
2017-09-23T00:00:00-06:00,119.89354785283406 A
2017-09-24T00:00:00-06:00,118.84128896395366 A
