Timestamp,['1ef4684e-3b513c82 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current B']
2017-11-09T00:00:00-07:00,63.2001918554306 A
2017-11-10T00:00:00-07:00,65.55782787005107 A
2017-11-11T00:00:00-07:00,52.976427137851715 A
2017-11-12T00:00:00-07:00,50.042174150546394 A
2017-11-13T00:00:00-07:00,57.11440519491831 A
2017-11-14T00:00:00-07:00,60.73211316267649 A
2017-11-15T00:00:00-07:00,63.08106734355291 A
2017-11-16T00:00:00-07:00,65.5590009490649 A
2017-11-17T00:00:00-07:00,64.79652655124664 A
2017-11-18T00:00:00-07:00,51.4769336382548 A
2017-11-19T00:00:00-07:00,34.36959373950958 A
2017-11-20T00:00:00-07:00,67.23286799589793 A
2017-11-21T00:00:00-07:00,58.27499175071716 A
2017-11-22T00:00:00-07:00,50.638762295246124 A
2017-11-23T00:00:00-07:00,46.26316338777542 A
2017-11-24T00:00:00-07:00,47.24552649259567 A
2017-11-25T00:00:00-07:00,39.931287944316864 A
2017-11-26T00:00:00-07:00,32.38705890377363 A
2017-11-27T00:00:00-07:00,66.687713265419 A
2017-11-28T00:00:00-07:00,63.6892196337382 A
2017-11-29T00:00:00-07:00,63.896636525789894 A
2017-11-30T00:00:00-07:00,60.98411349455515 A
2017-12-01T00:00:00-07:00,65.560937722524 A
2017-12-02T00:00:00-07:00,63.208476761976875 A
2017-12-03T00:00:00-07:00,52.02666620413462 A
2017-12-04T00:00:00-07:00,73.69432965914409 A
2017-12-05T00:00:00-07:00,72.01706568400066 A
2017-12-06T00:00:00-07:00,72.8125585714976 A
2017-12-07T00:00:00-07:00,76.55047416687012 A
2017-12-08T00:00:00-07:00,73.02823392550151 A
2017-12-09T00:00:00-07:00,70.04130884011586 A
2017-12-10T00:00:00-07:00,68.24833345413208 A
2017-12-11T00:00:00-07:00,65.099418481191 A
2017-12-12T00:00:00-07:00,68.5476261774699 A
2017-12-13T00:00:00-07:00,73.89445344607036 A
2017-12-14T00:00:00-07:00,73.52160787582397 A
2017-12-15T00:00:00-07:00,72.49136499563853 A
2017-12-16T00:00:00-07:00,71.7134959300359 A
2017-12-17T00:00:00-07:00,70.79265093803406 A
2017-12-18T00:00:00-07:00,67.91139787243259 A
2017-12-19T00:00:00-07:00,67.72947732607524 A
2017-12-20T00:00:00-07:00,59.63124293088913 A
2017-12-21T00:00:00-07:00,71.13655002911885 A
2017-12-22T00:00:00-07:00,66.03087067604065 A
2017-12-23T00:00:00-07:00,65.75821189085643 A
2017-12-24T00:00:00-07:00,48.267151633898415 A
2017-12-25T00:00:00-07:00,57.81294369697571 A
2017-12-26T00:00:00-07:00,58.866376996040344 A
2017-12-27T00:00:00-07:00,65.5398580233256 A
2017-12-28T00:00:00-07:00,67.54131412506104 A
2017-12-29T00:00:00-07:00,61.573235948880516 A
2017-12-30T00:00:00-07:00,48.03463079531988 A
2017-12-31T00:00:00-07:00,52.852642933527626 A
