Timestamp,"['1d942987-08457d8a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) W-hours, Received']"
2017-10-28T00:00:00-06:00,714.21875 kWh
2017-10-29T00:00:00-06:00,714.71875 kWh
2017-10-30T00:00:00-06:00,900.40625 kWh
2017-10-31T00:00:00-06:00,760.4375 kWh
2017-11-01T00:00:00-06:00,835.03125 kWh
2017-11-02T00:00:00-06:00,842.75 kWh
2017-11-03T00:00:00-06:00,792.625 kWh
2017-11-04T00:00:00-06:00,711.6875 kWh
2017-11-05T00:00:00-06:00,750.40625 kWh
2017-11-06T00:00:00-07:00,919.25 kWh
2017-11-07T00:00:00-07:00,901.1875 kWh
2017-11-08T00:00:00-07:00,920.1875 kWh
2017-11-09T00:00:00-07:00,927.15625 kWh
2017-11-10T00:00:00-07:00,809.5625 kWh
2017-11-11T00:00:00-07:00,680.96875 kWh
2017-11-12T00:00:00-07:00,674.1875 kWh
2017-11-13T00:00:00-07:00,850.84375 kWh
2017-11-14T00:00:00-07:00,856.5625 kWh
2017-11-15T00:00:00-07:00,883.71875 kWh
2017-11-16T00:00:00-07:00,900.15625 kWh
2017-11-17T00:00:00-07:00,850 kWh
2017-11-18T00:00:00-07:00,681.96875 kWh
2017-11-19T00:00:00-07:00,731.4375 kWh
2017-11-20T00:00:00-07:00,912.84375 kWh
2017-11-21T00:00:00-07:00,871.40625 kWh
2017-11-22T00:00:00-07:00,820.71875 kWh
2017-11-23T00:00:00-07:00,678.84375 kWh
2017-11-24T00:00:00-07:00,662.34375 kWh
2017-11-25T00:00:00-07:00,648.1875 kWh
2017-11-26T00:00:00-07:00,656.5625 kWh
2017-11-27T00:00:00-07:00,878.34375 kWh
2017-11-28T00:00:00-07:00,891.46875 kWh
2017-11-29T00:00:00-07:00,948.59375 kWh
2017-11-30T00:00:00-07:00,973.625 kWh
2017-12-01T00:00:00-07:00,977.40625 kWh
2017-12-02T00:00:00-07:00,840.71875 kWh
2017-12-03T00:00:00-07:00,838.0625 kWh
2017-12-04T00:00:00-07:00,1004.6875 kWh
2017-12-05T00:00:00-07:00,981.9375 kWh
2017-12-06T00:00:00-07:00,895.75 kWh
2017-12-07T00:00:00-07:00,864.5 kWh
2017-12-08T00:00:00-07:00,798.15625 kWh
2017-12-09T00:00:00-07:00,672.21875 kWh
2017-12-10T00:00:00-07:00,689.90625 kWh
2017-12-11T00:00:00-07:00,759.375 kWh
2017-12-12T00:00:00-07:00,774.15625 kWh
2017-12-13T00:00:00-07:00,785.53125 kWh
2017-12-14T00:00:00-07:00,762.0625 kWh
2017-12-15T00:00:00-07:00,732.875 kWh
2017-12-16T00:00:00-07:00,623.5625 kWh
2017-12-17T00:00:00-07:00,634.46875 kWh
2017-12-18T00:00:00-07:00,722.65625 kWh
2017-12-19T00:00:00-07:00,689.75 kWh
