Timestamp,"['1e68925a-9802c45d 0004-KINGSBURY HALL Power Meter 2 (301209) Watts, 3-Ph total']"
2017-09-29T00:00:00-06:00,49.56454086303711 kW
2017-09-30T00:00:00-06:00,30.201271057128906 kW
2017-10-01T00:00:00-06:00,100.29253387451172 kW
2017-10-02T00:00:00-06:00,27.95970916748047 kW
2017-10-03T00:00:00-06:00,30.309982299804688 kW
2017-10-04T00:00:00-06:00,43.33129119873047 kW
2017-10-05T00:00:00-06:00,92.77278137207031 kW
2017-10-06T00:00:00-06:00,113.73932647705078 kW
2017-10-07T00:00:00-06:00,116.29334259033203 kW
2017-10-08T00:00:00-06:00,9.554966926574707 kW
2017-10-09T00:00:00-06:00,108.46845245361328 kW
2017-10-10T00:00:00-06:00,113.2052230834961 kW
2017-10-11T00:00:00-06:00,113.56950378417969 kW
2017-10-12T00:00:00-06:00,110.55374908447266 kW
2017-10-13T00:00:00-06:00,114.58946228027344 kW
2017-10-14T00:00:00-06:00,113.99840545654297 kW
2017-10-15T00:00:00-06:00,8.27966022491455 kW
2017-10-16T00:00:00-06:00,121.73854064941406 kW
2017-10-17T00:00:00-06:00,112.52378845214844 kW
2017-10-18T00:00:00-06:00,111.0838851928711 kW
2017-10-19T00:00:00-06:00,110.8527603149414 kW
2017-10-20T00:00:00-06:00,113.03520202636719 kW
2017-10-21T00:00:00-06:00,115.27268981933594 kW
2017-10-22T00:00:00-06:00,8.151010513305664 kW
2017-10-23T00:00:00-06:00,109.87040710449219 kW
2017-10-24T00:00:00-06:00,112.0980224609375 kW
2017-10-25T00:00:00-06:00,111.54667663574219 kW
2017-10-26T00:00:00-06:00,109.50065612792969 kW
2017-10-27T00:00:00-06:00,114.07452392578125 kW
2017-10-28T00:00:00-06:00,113.92422485351562 kW
2017-10-29T00:00:00-06:00,9.704437255859375 kW
2017-10-30T00:00:00-06:00,109.4617691040039 kW
2017-10-31T00:00:00-06:00,44.71354293823242 kW
2017-11-01T00:00:00-06:00,74.29679870605469 kW
2017-11-02T00:00:00-06:00,38.338382720947266 kW
2017-11-03T00:00:00-06:00,29.73755645751953 kW
2017-11-04T00:00:00-06:00,32.124298095703125 kW
2017-11-05T00:00:00-06:00,17.034290313720703 kW
2017-11-06T00:00:00-07:00,38.93317794799805 kW
2017-11-07T00:00:00-07:00,48.739349365234375 kW
2017-11-08T00:00:00-07:00,66.07971954345703 kW
2017-11-09T00:00:00-07:00,73.36837768554688 kW
2017-11-10T00:00:00-07:00,33.89265060424805 kW
2017-11-11T00:00:00-07:00,43.56521987915039 kW
2017-11-12T00:00:00-07:00,15.679625511169434 kW
2017-11-13T00:00:00-07:00,33.6593017578125 kW
2017-11-14T00:00:00-07:00,35.917320251464844 kW
2017-11-15T00:00:00-07:00,36.4781608581543 kW
2017-11-16T00:00:00-07:00,57.08198165893555 kW
2017-11-17T00:00:00-07:00,33.32781219482422 kW
2017-11-18T00:00:00-07:00,69.77410888671875 kW
2017-11-19T00:00:00-07:00,41.589935302734375 kW
2017-11-20T00:00:00-07:00,44.59719467163086 kW
2017-11-21T00:00:00-07:00,35.46596145629883 kW
2017-11-22T00:00:00-07:00,24.4494686126709 kW
2017-11-23T00:00:00-07:00,9.245261192321777 kW
2017-11-24T00:00:00-07:00,8.961459159851074 kW
2017-11-25T00:00:00-07:00,10.85190486907959 kW
2017-11-26T00:00:00-07:00,9.088766098022461 kW
2017-11-27T00:00:00-07:00,28.95526123046875 kW
2017-11-28T00:00:00-07:00,27.19274139404297 kW
2017-11-29T00:00:00-07:00,32.74436569213867 kW
2017-11-30T00:00:00-07:00,49.94464874267578 kW
2017-12-01T00:00:00-07:00,44.603355407714844 kW
2017-12-02T00:00:00-07:00,63.86512756347656 kW
2017-12-03T00:00:00-07:00,36.44772720336914 kW
2017-12-04T00:00:00-07:00,98.98404693603516 kW
2017-12-05T00:00:00-07:00,82.49137878417969 kW
2017-12-06T00:00:00-07:00,35.65840148925781 kW
2017-12-07T00:00:00-07:00,83.45197296142578 kW
2017-12-08T00:00:00-07:00,84.34899139404297 kW
2017-12-09T00:00:00-07:00,96.71289825439453 kW
2017-12-10T00:00:00-07:00,9.889195442199707 kW
2017-12-11T00:00:00-07:00,77.79322814941406 kW
2017-12-12T00:00:00-07:00,103.77654266357422 kW
2017-12-13T00:00:00-07:00,104.2812728881836 kW
2017-12-14T00:00:00-07:00,104.19073486328125 kW
2017-12-15T00:00:00-07:00,98.79341888427734 kW
2017-12-16T00:00:00-07:00,110.88329315185547 kW
2017-12-17T00:00:00-07:00,12.00671672821045 kW
2017-12-18T00:00:00-07:00,110.99349212646484 kW
2017-12-19T00:00:00-07:00,111.4613265991211 kW
2017-12-20T00:00:00-07:00,110.02693176269531 kW
2017-12-21T00:00:00-07:00,102.63497161865234 kW
2017-12-22T00:00:00-07:00,104.54086303710938 kW
2017-12-23T00:00:00-07:00,107.1850357055664 kW
2017-12-24T00:00:00-07:00,9.151762962341309 kW
2017-12-25T00:00:00-07:00,8.511969566345215 kW
2017-12-26T00:00:00-07:00,9.257468223571777 kW
2017-12-27T00:00:00-07:00,39.10124969482422 kW
2017-12-28T00:00:00-07:00,24.121938705444336 kW
2017-12-29T00:00:00-07:00,9.38230037689209 kW
2017-12-30T00:00:00-07:00,9.511844635009766 kW
2017-12-31T00:00:00-07:00,8.7201509475708 kW
