Timestamp,['1cf8d805-aacccc6b 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current B']
2017-11-27T00:00:00-07:00,148.92708333333334 A
2017-11-28T00:00:00-07:00,148.92708333333334 A
2017-11-29T00:00:00-07:00,148.96875 A
2017-11-30T00:00:00-07:00,149.90625 A
2017-12-01T00:00:00-07:00,148.29166666666666 A
2017-12-02T00:00:00-07:00,148.64583333333334 A
2017-12-03T00:00:00-07:00,147.20833333333334 A
2017-12-04T00:00:00-07:00,149.34375 A
2017-12-05T00:00:00-07:00,149.63541666666666 A
2017-12-06T00:00:00-07:00,149.71875 A
2017-12-07T00:00:00-07:00,149.375 A
2017-12-08T00:00:00-07:00,149.98958333333334 A
2017-12-09T00:00:00-07:00,150.11458333333334 A
2017-12-10T00:00:00-07:00,149.53125 A
2017-12-11T00:00:00-07:00,149.90625 A
2017-12-12T00:00:00-07:00,149.07291666666666 A
2017-12-13T00:00:00-07:00,149.25 A
2017-12-14T00:00:00-07:00,150.61458333333334 A
2017-12-15T00:00:00-07:00,152.07291666666666 A
2017-12-16T00:00:00-07:00,151.35416666666666 A
2017-12-17T00:00:00-07:00,150.38541666666666 A
2017-12-18T00:00:00-07:00,147.4777777777778 A
2017-12-19T00:00:00-07:00,148 A
2017-12-20T00:00:00-07:00,149.53125 A
2017-12-21T00:00:00-07:00,149.59375 A
2017-12-22T00:00:00-07:00,151.11458333333334 A
2017-12-23T00:00:00-07:00,151.35416666666666 A
2017-12-24T00:00:00-07:00,149.88541666666666 A
2017-12-25T00:00:00-07:00,149.63541666666666 A
2017-12-26T00:00:00-07:00,149.97916666666666 A
2017-12-27T00:00:00-07:00,149.79166666666666 A
2017-12-28T00:00:00-07:00,150.95833333333334 A
2017-12-29T00:00:00-07:00,152.46875 A
2017-12-30T00:00:00-07:00,152.1875 A
2017-12-31T00:00:00-07:00,151.13541666666666 A
