Timestamp,"['1cf8d742-d3e5c27c 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KWH Received']"
2017-11-05T00:00:00-06:00,60.28125 kWh
2017-11-06T00:00:00-07:00,65.125 kWh
2017-11-07T00:00:00-07:00,65.546875 kWh
2017-11-08T00:00:00-07:00,65.03125 kWh
2017-11-09T00:00:00-07:00,68.859375 kWh
2017-11-10T00:00:00-07:00,69.40625 kWh
2017-11-11T00:00:00-07:00,57.671875 kWh
2017-11-12T00:00:00-07:00,56.984375 kWh
2017-11-13T00:00:00-07:00,66.65625 kWh
2017-11-14T00:00:00-07:00,66.46875 kWh
2017-11-15T00:00:00-07:00,66.5625 kWh
2017-11-16T00:00:00-07:00,66.53125 kWh
2017-11-17T00:00:00-07:00,64.96875 kWh
2017-11-18T00:00:00-07:00,55.796875 kWh
2017-11-19T00:00:00-07:00,55.5 kWh
2017-11-20T00:00:00-07:00,66.25 kWh
2017-11-21T00:00:00-07:00,65.6875 kWh
2017-11-22T00:00:00-07:00,65.765625 kWh
2017-11-23T00:00:00-07:00,58.84375 kWh
2017-11-24T00:00:00-07:00,57.953125 kWh
2017-11-25T00:00:00-07:00,56.109375 kWh
2017-11-26T00:00:00-07:00,56.84375 kWh
2017-11-27T00:00:00-07:00,65.9375 kWh
2017-11-28T00:00:00-07:00,68.65625 kWh
2017-11-29T00:00:00-07:00,67.171875 kWh
2017-11-30T00:00:00-07:00,68.375 kWh
2017-12-01T00:00:00-07:00,66.21875 kWh
2017-12-02T00:00:00-07:00,55.90625 kWh
2017-12-03T00:00:00-07:00,56.765625 kWh
2017-12-04T00:00:00-07:00,66.453125 kWh
2017-12-05T00:00:00-07:00,66.234375 kWh
2017-12-06T00:00:00-07:00,66.203125 kWh
2017-12-07T00:00:00-07:00,65.390625 kWh
2017-12-08T00:00:00-07:00,65.0625 kWh
2017-12-09T00:00:00-07:00,56.96875 kWh
2017-12-10T00:00:00-07:00,57.484375 kWh
2017-12-11T00:00:00-07:00,64.890625 kWh
2017-12-12T00:00:00-07:00,65.21875 kWh
2017-12-13T00:00:00-07:00,63.75 kWh
2017-12-14T00:00:00-07:00,63.15625 kWh
2017-12-15T00:00:00-07:00,63.640625 kWh
2017-12-16T00:00:00-07:00,55.90625 kWh
2017-12-17T00:00:00-07:00,57.703125 kWh
2017-12-18T00:00:00-07:00,62.609375 kWh
2017-12-19T00:00:00-07:00,63.484375 kWh
2017-12-20T00:00:00-07:00,66.3125 kWh
2017-12-21T00:00:00-07:00,67.109375 kWh
2017-12-22T00:00:00-07:00,65.859375 kWh
2017-12-23T00:00:00-07:00,56.640625 kWh
2017-12-24T00:00:00-07:00,56.75 kWh
2017-12-25T00:00:00-07:00,55.6875 kWh
2017-12-26T00:00:00-07:00,56.328125 kWh
2017-12-27T00:00:00-07:00,55.90625 kWh
2017-12-28T00:00:00-07:00,58.609375 kWh
2017-12-29T00:00:00-07:00,57.296875 kWh
2017-12-30T00:00:00-07:00,56.40625 kWh
2017-12-31T00:00:00-07:00,56.390625 kWh
