Timestamp,['1ce63e55-d53118c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CN']
2017-10-04T00:00:00-06:00,122.26152340571086 V
2017-10-05T00:00:00-06:00,122.40131878852844 V
2017-10-06T00:00:00-06:00,122.39311567942302 V
2017-10-07T00:00:00-06:00,122.45911272366841 V
2017-10-08T00:00:00-06:00,122.6792049407959 V
2017-10-09T00:00:00-06:00,122.52018864949544 V
2017-10-10T00:00:00-06:00,122.54328989982605 V
2017-10-11T00:00:00-06:00,122.35563198725383 V
2017-10-12T00:00:00-06:00,122.57287168502808 V
2017-10-13T00:00:00-06:00,122.52037485440572 V
2017-10-14T00:00:00-06:00,122.56156015396118 V
2017-10-15T00:00:00-06:00,122.55912216504414 V
2017-10-16T00:00:00-06:00,122.4462099870046 V
2017-10-17T00:00:00-06:00,122.27558143933614 V
2017-10-18T00:00:00-06:00,122.22266221046448 V
2017-10-19T00:00:00-06:00,122.36702378590901 V
2017-10-20T00:00:00-06:00,122.37477358182271 V
2017-10-21T00:00:00-06:00,122.42698192596436 V
2017-10-22T00:00:00-06:00,122.59318105379741 V
2017-10-23T00:00:00-06:00,122.29847844441731 V
2017-10-24T00:00:00-06:00,122.24029167493184 V
2017-10-25T00:00:00-06:00,122.29727578163147 V
2017-10-26T00:00:00-06:00,122.40435616175334 V
2017-10-27T00:00:00-06:00,122.42242344220479 V
2017-10-28T00:00:00-06:00,122.35848069190979 V
2017-10-29T00:00:00-06:00,122.51227331161499 V
2017-10-30T00:00:00-06:00,122.51037240028381 V
2017-10-31T00:00:00-06:00,122.51077914237976 V
2017-11-01T00:00:00-06:00,122.29740619659424 V
2017-11-02T00:00:00-06:00,122.31784621874492 V
2017-11-03T00:00:00-06:00,122.33090806007385 V
2017-11-04T00:00:00-06:00,122.42866222063701 V
2017-11-05T00:00:00-06:00,122.3767227935791 V
2017-11-06T00:00:00-07:00,122.3147984345754 V
2017-11-07T00:00:00-07:00,122.30037419001262 V
2017-11-08T00:00:00-07:00,122.29956372578938 V
2017-11-09T00:00:00-07:00,122.38956276575725 V
2017-11-10T00:00:00-07:00,122.27462577819824 V
2017-11-11T00:00:00-07:00,122.2743353843689 V
2017-11-12T00:00:00-07:00,122.45386409759521 V
2017-11-13T00:00:00-07:00,122.46440331141154 V
2017-11-14T00:00:00-07:00,122.61996070543925 V
2017-11-15T00:00:00-07:00,122.39057310422261 V
2017-11-16T00:00:00-07:00,122.292782386144 V
2017-11-17T00:00:00-07:00,122.42892058690389 V
2017-11-18T00:00:00-07:00,122.5683000087738 V
2017-11-19T00:00:00-07:00,122.6896284421285 V
2017-11-20T00:00:00-07:00,122.35769454638164 V
2017-11-21T00:00:00-07:00,122.4097277323405 V
2017-11-22T00:00:00-07:00,122.36082434654236 V
2017-11-23T00:00:00-07:00,122.74359607696533 V
2017-11-24T00:00:00-07:00,122.56626717249553 V
2017-11-25T00:00:00-07:00,122.58014941215515 V
2017-11-26T00:00:00-07:00,122.70256058375041 V
2017-11-27T00:00:00-07:00,122.40787132581075 V
2017-11-28T00:00:00-07:00,122.49287136395772 V
2017-11-29T00:00:00-07:00,122.54639450709026 V
2017-11-30T00:00:00-07:00,122.6283148129781 V
2017-12-01T00:00:00-07:00,122.3857483069102 V
2017-12-02T00:00:00-07:00,122.47018996874492 V
2017-12-03T00:00:00-07:00,122.5765528678894 V
2017-12-04T00:00:00-07:00,122.55701923370361 V
2017-12-05T00:00:00-07:00,122.45013689994812 V
2017-12-06T00:00:00-07:00,122.33260750770569 V
2017-12-07T00:00:00-07:00,122.34812704722087 V
2017-12-08T00:00:00-07:00,122.3918940226237 V
2017-12-09T00:00:00-07:00,122.69481150309245 V
2017-12-10T00:00:00-07:00,122.65873908996582 V
2017-12-11T00:00:00-07:00,122.64942638079326 V
2017-12-12T00:00:00-07:00,122.40124479929607 V
2017-12-13T00:00:00-07:00,122.70358395576477 V
2017-12-14T00:00:00-07:00,122.53078087170918 V
2017-12-15T00:00:00-07:00,122.5526598294576 V
2017-12-16T00:00:00-07:00,122.51998194058736 V
2017-12-17T00:00:00-07:00,122.70057988166809 V
2017-12-18T00:00:00-07:00,122.72563976245922 V
2017-12-19T00:00:00-07:00,122.6779526869456 V
2017-12-20T00:00:00-07:00,122.64324108759563 V
2017-12-21T00:00:00-07:00,122.67244545618694 V
2017-12-22T00:00:00-07:00,122.8055800596873 V
2017-12-23T00:00:00-07:00,122.61896189053853 V
2017-12-24T00:00:00-07:00,122.86887717247009 V
2017-12-25T00:00:00-07:00,122.79089379310608 V
2017-12-26T00:00:00-07:00,122.79451290766399 V
2017-12-27T00:00:00-07:00,122.806205590566 V
2017-12-28T00:00:00-07:00,122.76566092173259 V
2017-12-29T00:00:00-07:00,122.67086426417033 V
2017-12-30T00:00:00-07:00,122.60470000902812 V
2017-12-31T00:00:00-07:00,122.62103239695232 V
