Timestamp,['1eb2a057-f5b827a5 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current A']
2017-10-15T00:00:00-06:00,85.03110043207805 A
2017-10-16T00:00:00-06:00,94.93339355786641 A
2017-10-17T00:00:00-06:00,85.08346498012543 A
2017-10-18T00:00:00-06:00,95.36347262064616 A
2017-10-19T00:00:00-06:00,95.91111755371094 A
2017-10-20T00:00:00-06:00,91.67159334818523 A
2017-10-21T00:00:00-06:00,90.6068929831187 A
2017-10-22T00:00:00-06:00,90.45124522844951 A
2017-10-23T00:00:00-06:00,92.86807711919148 A
2017-10-24T00:00:00-06:00,97.74824118614197 A
2017-10-25T00:00:00-06:00,95.12773005167644 A
2017-10-26T00:00:00-06:00,97.13416886329651 A
2017-10-27T00:00:00-06:00,90.4482885201772 A
2017-10-28T00:00:00-06:00,84.52840566635132 A
2017-10-29T00:00:00-06:00,84.0994377930959 A
2017-10-30T00:00:00-06:00,93.8235216140747 A
2017-10-31T00:00:00-06:00,89.9858471552531 A
2017-11-01T00:00:00-06:00,97.6385436852773 A
2017-11-02T00:00:00-06:00,95.07912715276082 A
2017-11-03T00:00:00-06:00,91.38055960337321 A
2017-11-04T00:00:00-06:00,87.52960379918416 A
2017-11-05T00:00:00-06:00,88.53395515441895 A
2017-11-06T00:00:00-07:00,98.46915634473164 A
2017-11-07T00:00:00-07:00,98.39607191085815 A
2017-11-08T00:00:00-07:00,97.16164954503377 A
2017-11-09T00:00:00-07:00,96.09975099563599 A
2017-11-10T00:00:00-07:00,95.2843640645345 A
2017-11-11T00:00:00-07:00,89.37908212343852 A
2017-11-12T00:00:00-07:00,88.86806726455688 A
2017-11-13T00:00:00-07:00,95.62161962191264 A
2017-11-14T00:00:00-07:00,95.3932917912801 A
2017-11-15T00:00:00-07:00,95.89647563298543 A
2017-11-16T00:00:00-07:00,94.08909908930461 A
2017-11-17T00:00:00-07:00,94.92254702250163 A
2017-11-18T00:00:00-07:00,97.37745356559753 A
2017-11-19T00:00:00-07:00,97.85509014129639 A
2017-11-20T00:00:00-07:00,100.4843590259552 A
2017-11-21T00:00:00-07:00,97.55870707829793 A
2017-11-22T00:00:00-07:00,93.49860207239787 A
2017-11-23T00:00:00-07:00,89.89999683698018 A
