Timestamp,['1ce63e47-dff80f20 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts BN']
2017-12-16T00:00:00-07:00,122.4926860332489 V
2017-12-17T00:00:00-07:00,122.8098042011261 V
2017-12-18T00:00:00-07:00,122.83865792410714 V
2017-12-19T00:00:00-07:00,122.7390878200531 V
2017-12-20T00:00:00-07:00,122.70890760421753 V
2017-12-21T00:00:00-07:00,122.76363507906596 V
2017-12-22T00:00:00-07:00,122.86303154627483 V
2017-12-23T00:00:00-07:00,122.65836572647095 V
2017-12-24T00:00:00-07:00,122.85793590545654 V
2017-12-25T00:00:00-07:00,122.80964803695679 V
2017-12-26T00:00:00-07:00,122.83061305681865 V
2017-12-27T00:00:00-07:00,122.81815727551778 V
2017-12-28T00:00:00-07:00,122.77739294370015 V
2017-12-29T00:00:00-07:00,122.69684584935506 V
2017-12-30T00:00:00-07:00,122.6669963200887 V
2017-12-31T00:00:00-07:00,122.69934821128845 V
