Timestamp,['1d09e916-9c816e43 0084-BIOLOGY BLDG Power Meter 316501 KWH Received']
2017-07-17T00:00:00-06:00,6319.8125 kWh
2017-07-18T00:00:00-06:00,6397.625 kWh
2017-07-19T00:00:00-06:00,6331.375 kWh
2017-07-20T00:00:00-06:00,6410.1875 kWh
2017-07-21T00:00:00-06:00,6369.4375 kWh
2017-07-22T00:00:00-06:00,6128.5625 kWh
2017-07-23T00:00:00-06:00,6053.125 kWh
2017-07-24T00:00:00-06:00,6077.125 kWh
2017-07-25T00:00:00-06:00,6059.0625 kWh
2017-07-26T00:00:00-06:00,6098.0625 kWh
2017-07-27T00:00:00-06:00,6196.75 kWh
2017-07-28T00:00:00-06:00,6081 kWh
2017-07-29T00:00:00-06:00,5964.75 kWh
2017-07-30T00:00:00-06:00,6039.5625 kWh
2017-07-31T00:00:00-06:00,6247.5 kWh
2017-08-01T00:00:00-06:00,6293.625 kWh
2017-08-02T00:00:00-06:00,6211.9375 kWh
2017-08-03T00:00:00-06:00,6277.9375 kWh
2017-08-04T00:00:00-06:00,6168.4375 kWh
2017-08-05T00:00:00-06:00,6017.9375 kWh
2017-08-06T00:00:00-06:00,5881.5625 kWh
2017-08-07T00:00:00-06:00,6039.375 kWh
2017-08-08T00:00:00-06:00,6105.6875 kWh
2017-08-09T00:00:00-06:00,6102.0625 kWh
2017-08-10T00:00:00-06:00,6185.5 kWh
2017-08-11T00:00:00-06:00,6260.1875 kWh
2017-08-12T00:00:00-06:00,5974.5625 kWh
2017-08-13T00:00:00-06:00,5743.4375 kWh
2017-08-14T00:00:00-06:00,5666.8125 kWh
2017-08-15T00:00:00-06:00,5799.5625 kWh
2017-08-16T00:00:00-06:00,5631.3125 kWh
2017-08-17T00:00:00-06:00,5529.5625 kWh
2017-08-18T00:00:00-06:00,5852.4375 kWh
2017-08-19T00:00:00-06:00,5906 kWh
2017-08-20T00:00:00-06:00,5953.0625 kWh
2017-08-21T00:00:00-06:00,5955 kWh
2017-08-22T00:00:00-06:00,5578.25 kWh
2017-08-23T00:00:00-06:00,5719.6875 kWh
2017-08-24T00:00:00-06:00,6161.6875 kWh
2017-08-25T00:00:00-06:00,5497.9375 kWh
2017-08-26T00:00:00-06:00,5750.25 kWh
2017-08-27T00:00:00-06:00,5746.5 kWh
2017-08-28T00:00:00-06:00,6013.875 kWh
2017-08-29T00:00:00-06:00,5617.5625 kWh
