Timestamp,['1d0b1c39-7684d911 0084-BIOLOGY BLDG Power Meter 316501 Current C']
2017-09-27T00:00:00-06:00,727.6060948865168 A
2017-09-28T00:00:00-06:00,741.4823235405815 A
2017-09-29T00:00:00-06:00,754.3974622090658 A
2017-09-30T00:00:00-06:00,676.2494066026476 A
2017-10-01T00:00:00-06:00,686.3580175329138 A
2017-10-02T00:00:00-06:00,707.3064687300702 A
2017-10-03T00:00:00-06:00,748.2055317892957 A
2017-10-04T00:00:00-06:00,718.4812916346958 A
2017-10-05T00:00:00-06:00,729.5840625297733 A
2017-10-06T00:00:00-06:00,725.2776496115695 A
2017-10-07T00:00:00-06:00,710.9855457062417 A
2017-10-08T00:00:00-06:00,654.1598663330078 A
2017-10-09T00:00:00-06:00,730.561283656529 A
2017-10-10T00:00:00-06:00,729.1672818458686 A
2017-10-11T00:00:00-06:00,732.5470069146926 A
2017-10-12T00:00:00-06:00,718.9503180185953 A
2017-10-13T00:00:00-06:00,721.8568986256918 A
2017-10-14T00:00:00-06:00,709.0138772328695 A
2017-10-15T00:00:00-06:00,693.2560373942057 A
2017-10-16T00:00:00-06:00,694.853541692098 A
2017-10-17T00:00:00-06:00,673.1690565745035 A
2017-10-18T00:00:00-06:00,693.5024528503418 A
2017-10-19T00:00:00-06:00,666.1414848963419 A
2017-10-20T00:00:00-06:00,694.4627222964638 A
2017-10-21T00:00:00-06:00,673.5602639516195 A
2017-10-22T00:00:00-06:00,673.1940358479818 A
2017-10-23T00:00:00-06:00,710.6916707356771 A
2017-10-24T00:00:00-06:00,709.504922003495 A
2017-10-25T00:00:00-06:00,710.1669934590658 A
2017-10-26T00:00:00-06:00,693.9047903287209 A
