Timestamp,['1cdb9d59-2bb7c5f9 0086-MARRIOTT LIBRARY Power Meter 4 KW Total']
2017-10-24T00:00:00-06:00,63.900001525878906 kW
2017-10-25T00:00:00-06:00,63.20000076293945 kW
2017-10-26T00:00:00-06:00,58.29999923706055 kW
2017-10-27T00:00:00-06:00,52.70000076293945 kW
2017-10-28T00:00:00-06:00,44.79999923706055 kW
2017-10-29T00:00:00-06:00,44.400001525878906 kW
2017-10-30T00:00:00-06:00,63.900001525878906 kW
2017-10-31T00:00:00-06:00,55.099998474121094 kW
2017-11-01T00:00:00-06:00,64.30000305175781 kW
2017-11-02T00:00:00-06:00,62.900001525878906 kW
2017-11-03T00:00:00-06:00,54.79999923706055 kW
2017-11-04T00:00:00-06:00,41.400001525878906 kW
2017-11-05T00:00:00-06:00,40.400001525878906 kW
2017-11-06T00:00:00-07:00,59.599998474121094 kW
2017-11-07T00:00:00-07:00,61.20000076293945 kW
2017-11-08T00:00:00-07:00,58.5 kW
2017-11-09T00:00:00-07:00,59.29999923706055 kW
2017-11-10T00:00:00-07:00,54.900001525878906 kW
2017-11-11T00:00:00-07:00,40.900001525878906 kW
2017-11-12T00:00:00-07:00,41.20000076293945 kW
2017-11-13T00:00:00-07:00,62.400001525878906 kW
2017-11-14T00:00:00-07:00,58.29999923706055 kW
2017-11-15T00:00:00-07:00,61.900001525878906 kW
2017-11-16T00:00:00-07:00,57.900001525878906 kW
2017-11-17T00:00:00-07:00,56.099998474121094 kW
2017-11-18T00:00:00-07:00,43.099998474121094 kW
2017-11-19T00:00:00-07:00,40.70000076293945 kW
2017-11-20T00:00:00-07:00,62.400001525878906 kW
2017-11-21T00:00:00-07:00,64.80000305175781 kW
2017-11-22T00:00:00-07:00,56.900001525878906 kW
2017-11-23T00:00:00-07:00,37.20000076293945 kW
2017-11-24T00:00:00-07:00,37.20000076293945 kW
2017-11-25T00:00:00-07:00,40.5 kW
2017-11-26T00:00:00-07:00,39.599998474121094 kW
2017-11-27T00:00:00-07:00,63.400001525878906 kW
2017-11-28T00:00:00-07:00,64 kW
2017-11-29T00:00:00-07:00,62.70000076293945 kW
2017-11-30T00:00:00-07:00,62.5 kW
2017-12-01T00:00:00-07:00,53.5 kW
2017-12-02T00:00:00-07:00,45.20000076293945 kW
2017-12-03T00:00:00-07:00,44.20000076293945 kW
2017-12-04T00:00:00-07:00,64.4000015258789 kW
2017-12-05T00:00:00-07:00,63.400001525878906 kW
2017-12-06T00:00:00-07:00,62.400001525878906 kW
2017-12-07T00:00:00-07:00,59.900001525878906 kW
2017-12-08T00:00:00-07:00,56.20000076293945 kW
2017-12-09T00:00:00-07:00,52.20000076293945 kW
2017-12-10T00:00:00-07:00,50.70000076293945 kW
2017-12-11T00:00:00-07:00,61.099998474121094 kW
2017-12-12T00:00:00-07:00,57.599998474121094 kW
2017-12-13T00:00:00-07:00,53.900001525878906 kW
2017-12-14T00:00:00-07:00,54.599998474121094 kW
2017-12-15T00:00:00-07:00,51.099998474121094 kW
2017-12-16T00:00:00-07:00,40.79999923706055 kW
2017-12-17T00:00:00-07:00,39.599998474121094 kW
2017-12-18T00:00:00-07:00,46 kW
2017-12-19T00:00:00-07:00,50 kW
2017-12-20T00:00:00-07:00,45.70000076293945 kW
2017-12-21T00:00:00-07:00,46.099998474121094 kW
2017-12-22T00:00:00-07:00,44.79999923706055 kW
2017-12-23T00:00:00-07:00,37.70000076293945 kW
2017-12-24T00:00:00-07:00,38.5 kW
2017-12-25T00:00:00-07:00,41 kW
2017-12-26T00:00:00-07:00,37.79999923706055 kW
2017-12-27T00:00:00-07:00,40.70000076293945 kW
2017-12-28T00:00:00-07:00,38 kW
2017-12-29T00:00:00-07:00,40.5 kW
2017-12-30T00:00:00-07:00,37.5 kW
2017-12-31T00:00:00-07:00,37.70000076293945 kW
