Timestamp,['1cac280a-0c99d439 0077-CHRISTENSEN CNTR Power Meter (300172) Current B']
2017-06-19T00:00:00-06:00,118.37115745544433 A
2017-06-20T00:00:00-06:00,122.13012882603539 A
2017-06-21T00:00:00-06:00,121.31497280658989 A
2017-06-22T00:00:00-06:00,118.11578542921278 A
2017-06-23T00:00:00-06:00,114.13352621421788 A
2017-06-24T00:00:00-06:00,107.31340845161014 A
2017-06-25T00:00:00-06:00,104.27689100901286 A
2017-06-26T00:00:00-06:00,119.13444094657898 A
2017-06-27T00:00:00-06:00,118.1319925626119 A
2017-06-28T00:00:00-06:00,116.32912001079983 A
2017-06-29T00:00:00-06:00,116.64927253193325 A
2017-06-30T00:00:00-06:00,105.6624520275328 A
2017-07-01T00:00:00-06:00,101.4091638829973 A
2017-07-02T00:00:00-06:00,104.52081982559628 A
2017-07-03T00:00:00-06:00,115.17323355674743 A
2017-07-04T00:00:00-06:00,104.16956086688572 A
2017-07-05T00:00:00-06:00,115.08290223101098 A
2017-07-06T00:00:00-06:00,118.24801545672946 A
2017-07-07T00:00:00-06:00,115.35047192043729 A
2017-07-08T00:00:00-06:00,115.60376575787862 A
2017-07-09T00:00:00-06:00,104.6387927002377 A
2017-07-10T00:00:00-06:00,111.71784830888113 A
2017-07-11T00:00:00-06:00,121.27624280452729 A
2017-07-12T00:00:00-06:00,115.37660043239593 A
2017-07-13T00:00:00-06:00,119.84913045565287 A
2017-07-14T00:00:00-06:00,111.19644995795356 A
2017-07-15T00:00:00-06:00,108.93117036819459 A
2017-07-16T00:00:00-06:00,110.0996224588818 A
2017-07-17T00:00:00-06:00,119.97209333313836 A
2017-07-18T00:00:00-06:00,125.52558252546523 A
2017-07-19T00:00:00-06:00,124.06912678082784 A
2017-07-20T00:00:00-06:00,123.77149562305874 A
2017-07-21T00:00:00-06:00,111.29884462886386 A
2017-07-22T00:00:00-06:00,101.09480898910098 A
2017-07-23T00:00:00-06:00,103.4535240120358 A
2017-07-24T00:00:00-06:00,105.94387103716532 A
