Timestamp,['1cbae9c6-fc675091 0038-ART BLDG Power Meter 300086 Volts BN']
2017-10-12T00:00:00-06:00,122.47644678751628 V
2017-10-13T00:00:00-06:00,122.32988333702087 V
2017-10-14T00:00:00-06:00,122.36654082934062 V
2017-10-15T00:00:00-06:00,122.33859690030415 V
2017-10-16T00:00:00-06:00,122.38728912671407 V
2017-10-17T00:00:00-06:00,122.24444492657979 V
2017-10-18T00:00:00-06:00,122.49201210339864 V
2017-10-19T00:00:00-06:00,122.54296509424846 V
2017-10-20T00:00:00-06:00,122.28619694709778 V
2017-10-21T00:00:00-06:00,122.41991480191548 V
2017-10-22T00:00:00-06:00,122.32626167933147 V
2017-10-23T00:00:00-06:00,122.52200436592102 V
2017-10-24T00:00:00-06:00,122.35379274686177 V
2017-10-25T00:00:00-06:00,122.4076562722524 V
2017-10-26T00:00:00-06:00,122.26249122619629 V
2017-10-27T00:00:00-06:00,122.38140781720479 V
2017-10-28T00:00:00-06:00,122.2992738087972 V
2017-10-29T00:00:00-06:00,122.29801432291667 V
2017-10-30T00:00:00-06:00,122.39870158831279 V
2017-10-31T00:00:00-06:00,122.44022353490193 V
2017-11-01T00:00:00-06:00,122.19630376497905 V
2017-11-02T00:00:00-06:00,122.3771002292633 V
2017-11-03T00:00:00-06:00,122.37724884351094 V
2017-11-04T00:00:00-06:00,122.35213375091553 V
2017-11-05T00:00:00-06:00,122.43352828979492 V
2017-11-06T00:00:00-07:00,122.42965348561604 V
2017-11-07T00:00:00-07:00,122.4357922077179 V
2017-11-08T00:00:00-07:00,122.29858024915059 V
2017-11-09T00:00:00-07:00,122.2841461499532 V
2017-11-10T00:00:00-07:00,122.38330992062886 V
2017-11-11T00:00:00-07:00,122.28082331021626 V
2017-11-12T00:00:00-07:00,122.34432872136433 V
2017-11-13T00:00:00-07:00,122.33001637458801 V
2017-11-14T00:00:00-07:00,122.25540129343669 V
2017-11-15T00:00:00-07:00,122.07856313387553 V
2017-11-16T00:00:00-07:00,122.53211236000061 V
2017-11-17T00:00:00-07:00,122.26828869183858 V
2017-11-18T00:00:00-07:00,122.35994553565979 V
2017-11-19T00:00:00-07:00,122.62392322222392 V
2017-11-20T00:00:00-07:00,122.4183755715688 V
2017-11-21T00:00:00-07:00,122.15140136082967 V
2017-11-22T00:00:00-07:00,122.47095052401225 V
2017-11-23T00:00:00-07:00,122.4543588956197 V
2017-11-24T00:00:00-07:00,122.4896924495697 V
2017-11-25T00:00:00-07:00,122.37652611732483 V
2017-11-26T00:00:00-07:00,122.40288933118184 V
2017-11-27T00:00:00-07:00,122.37783694267273 V
2017-11-28T00:00:00-07:00,122.22843813896179 V
2017-11-29T00:00:00-07:00,122.2310410340627 V
2017-11-30T00:00:00-07:00,122.10151815414429 V
2017-12-01T00:00:00-07:00,122.28420877456665 V
2017-12-02T00:00:00-07:00,122.25625030199687 V
2017-12-03T00:00:00-07:00,122.19272255897522 V
2017-12-04T00:00:00-07:00,122.17994507153828 V
2017-12-05T00:00:00-07:00,122.22093677520752 V
2017-12-06T00:00:00-07:00,122.26825404167175 V
2017-12-07T00:00:00-07:00,122.322261095047 V
2017-12-08T00:00:00-07:00,122.36360899607341 V
2017-12-09T00:00:00-07:00,122.36619591712952 V
