Timestamp,['1cca75e7-a3431d28 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts BC']
2017-10-11T00:00:00-06:00,492.0833333333333 V
2017-10-12T00:00:00-06:00,493.0416666666667 V
2017-10-13T00:00:00-06:00,493.0833333333333 V
2017-10-14T00:00:00-06:00,493.2916666666667 V
2017-10-15T00:00:00-06:00,492.875 V
2017-10-16T00:00:00-06:00,493.03125 V
2017-10-17T00:00:00-06:00,492.34375 V
2017-10-18T00:00:00-06:00,492.25 V
2017-10-19T00:00:00-06:00,492.625 V
2017-10-20T00:00:00-06:00,492.8541666666667 V
2017-10-21T00:00:00-06:00,493 V
2017-10-22T00:00:00-06:00,492.90625 V
2017-10-23T00:00:00-06:00,492.7604166666667 V
2017-10-24T00:00:00-06:00,492.4479166666667 V
2017-10-25T00:00:00-06:00,492.5729166666667 V
2017-10-26T00:00:00-06:00,492.9791666666667 V
2017-10-27T00:00:00-06:00,493.2916666666667 V
2017-10-28T00:00:00-06:00,492.53125 V
2017-10-29T00:00:00-06:00,492.75 V
2017-10-30T00:00:00-06:00,493.1875 V
2017-10-31T00:00:00-06:00,493.2604166666667 V
2017-11-01T00:00:00-06:00,492.6458333333333 V
2017-11-02T00:00:00-06:00,492.5104166666667 V
2017-11-03T00:00:00-06:00,492.5520833333333 V
2017-11-04T00:00:00-06:00,493.0833333333333 V
2017-11-05T00:00:00-06:00,492.19 V
2017-11-06T00:00:00-07:00,491.9375 V
2017-11-07T00:00:00-07:00,491.9270833333333 V
2017-11-08T00:00:00-07:00,492.0208333333333 V
2017-11-09T00:00:00-07:00,492.0833333333333 V
2017-11-10T00:00:00-07:00,492.2604166666667 V
2017-11-11T00:00:00-07:00,491.7395833333333 V
2017-11-12T00:00:00-07:00,492.0833333333333 V
2017-11-13T00:00:00-07:00,492.0729166666667 V
2017-11-14T00:00:00-07:00,492.9789473684211 V
2017-11-15T00:00:00-07:00,492.125 V
2017-11-16T00:00:00-07:00,491.75 V
2017-11-17T00:00:00-07:00,492.4895833333333 V
2017-11-18T00:00:00-07:00,492.8333333333333 V
2017-11-19T00:00:00-07:00,492.9375 V
2017-11-20T00:00:00-07:00,492.2083333333333 V
2017-11-21T00:00:00-07:00,491.9375 V
2017-11-22T00:00:00-07:00,491.3229166666667 V
2017-11-23T00:00:00-07:00,492.3020833333333 V
2017-11-24T00:00:00-07:00,491.7916666666667 V
2017-11-25T00:00:00-07:00,491.9270833333333 V
2017-11-26T00:00:00-07:00,492.2604166666667 V
2017-11-27T00:00:00-07:00,492.1041666666667 V
2017-11-28T00:00:00-07:00,492.4375 V
2017-11-29T00:00:00-07:00,492.90625 V
2017-11-30T00:00:00-07:00,493.2083333333333 V
2017-12-01T00:00:00-07:00,492.4270833333333 V
2017-12-02T00:00:00-07:00,492.4166666666667 V
2017-12-03T00:00:00-07:00,492.2708333333333 V
2017-12-04T00:00:00-07:00,492.6979166666667 V
2017-12-05T00:00:00-07:00,492.1145833333333 V
2017-12-06T00:00:00-07:00,491.875 V
2017-12-07T00:00:00-07:00,491.71875 V
2017-12-08T00:00:00-07:00,491.9583333333333 V
2017-12-09T00:00:00-07:00,492.8020833333333 V
2017-12-10T00:00:00-07:00,492.6354166666667 V
2017-12-11T00:00:00-07:00,492.46875 V
2017-12-12T00:00:00-07:00,492.0729166666667 V
2017-12-13T00:00:00-07:00,493.0625 V
2017-12-14T00:00:00-07:00,492.5 V
2017-12-15T00:00:00-07:00,492.375 V
2017-12-16T00:00:00-07:00,492.5 V
2017-12-17T00:00:00-07:00,492.40625 V
2017-12-18T00:00:00-07:00,492.95604395604397 V
2017-12-19T00:00:00-07:00,493.3020833333333 V
2017-12-20T00:00:00-07:00,492.9583333333333 V
2017-12-21T00:00:00-07:00,493.0104166666667 V
2017-12-22T00:00:00-07:00,493.3125 V
2017-12-23T00:00:00-07:00,492.5208333333333 V
2017-12-24T00:00:00-07:00,493.6041666666667 V
2017-12-25T00:00:00-07:00,493.25 V
2017-12-26T00:00:00-07:00,493.46875 V
2017-12-27T00:00:00-07:00,493.3020833333333 V
2017-12-28T00:00:00-07:00,493.3333333333333 V
2017-12-29T00:00:00-07:00,492.8958333333333 V
2017-12-30T00:00:00-07:00,492.6354166666667 V
2017-12-31T00:00:00-07:00,492.7291666666667 V
