Timestamp,['1cdb9ac8-e7aa59b1 0086-MARRIOTT LIBRARY Power Meter 1 KW Total']
2017-12-12T00:00:00-07:00,377.872802734375 kW
2017-12-13T00:00:00-07:00,434.7782897949219 kW
2017-12-14T00:00:00-07:00,383.10736083984375 kW
2017-12-15T00:00:00-07:00,379.94873046875 kW
2017-12-16T00:00:00-07:00,324.5980529785156 kW
2017-12-17T00:00:00-07:00,206.376708984375 kW
2017-12-18T00:00:00-07:00,400.3900146484375 kW
2017-12-19T00:00:00-07:00,385.1485900878906 kW
2017-12-20T00:00:00-07:00,385.5709228515625 kW
2017-12-21T00:00:00-07:00,400.4656982421875 kW
2017-12-22T00:00:00-07:00,375.8215637207031 kW
2017-12-23T00:00:00-07:00,206.0955352783203 kW
2017-12-24T00:00:00-07:00,204.79058837890625 kW
2017-12-25T00:00:00-07:00,207.9852752685547 kW
2017-12-26T00:00:00-07:00,203.0711212158203 kW
2017-12-27T00:00:00-07:00,212.0220489501953 kW
2017-12-28T00:00:00-07:00,216.57257080078125 kW
2017-12-29T00:00:00-07:00,205.19528198242188 kW
2017-12-30T00:00:00-07:00,185.01576232910156 kW
2017-12-31T00:00:00-07:00,173.62632751464844 kW
