Timestamp,['1fd1b090-b06c20d1 0082-SKAGGS BIOLOGY BLDG Power Meter Current A']
2017-08-09T00:00:00-06:00,800.1427218119303 A
2017-08-10T00:00:00-06:00,796.8308663875499 A
2017-08-11T00:00:00-06:00,791.6364701588949 A
2017-08-12T00:00:00-06:00,753.7187620798746 A
2017-08-13T00:00:00-06:00,757.8843873341879 A
2017-08-14T00:00:00-06:00,790.453135808309 A
2017-08-15T00:00:00-06:00,773.5916748046875 A
2017-08-16T00:00:00-06:00,816.7145945231119 A
2017-08-17T00:00:00-06:00,871.600014368693 A
2017-08-18T00:00:00-06:00,889.2823053995768 A
2017-08-19T00:00:00-06:00,868.4187628428141 A
2017-08-20T00:00:00-06:00,894.3198019663492 A
2017-08-21T00:00:00-06:00,901.365640004476 A
2017-08-22T00:00:00-06:00,904.3218879699707 A
2017-08-23T00:00:00-06:00,908.6427243550619 A
2017-08-24T00:00:00-06:00,899.3156394958496 A
2017-08-25T00:00:00-06:00,890.2864685058594 A
2017-08-26T00:00:00-06:00,857.3218886057535 A
2017-08-27T00:00:00-06:00,849.2833417256674 A
2017-08-28T00:00:00-06:00,868.6304533585259 A
2017-08-29T00:00:00-06:00,917.4010869508148 A
2017-08-30T00:00:00-06:00,948.9510580698649 A
2017-08-31T00:00:00-06:00,941.4260597229004 A
2017-09-01T00:00:00-06:00,914.4166819254557 A
2017-09-02T00:00:00-06:00,829.32293065389 A
2017-09-03T00:00:00-06:00,783.1270961761475 A
2017-09-04T00:00:00-06:00,747.816681543986 A
2017-09-05T00:00:00-06:00,828.5677223205566 A
2017-09-06T00:00:00-06:00,870.8802178700765 A
2017-09-07T00:00:00-06:00,858.2770945231119 A
2017-09-08T00:00:00-06:00,822.49580078125 A
2017-09-09T00:00:00-06:00,793.6177221934 A
2017-09-10T00:00:00-06:00,796.6187642415365 A
2017-09-11T00:00:00-06:00,918.7312672932943 A
2017-09-12T00:00:00-06:00,927.1562690734863 A
2017-09-13T00:00:00-06:00,902.9458452860514 A
2017-09-14T00:00:00-06:00,885.8645979563395 A
2017-09-15T00:00:00-06:00,686.1489686965942 A
2017-09-16T00:00:00-06:00,538.4000078837076 A
2017-09-17T00:00:00-06:00,578.2198038101196 A
2017-09-18T00:00:00-06:00,772.4885568618774 A
2017-09-19T00:00:00-06:00,651.2041772206625 A
2017-09-20T00:00:00-06:00,674.2791814804077 A
2017-09-21T00:00:00-06:00,594.4260498682657 A
2017-09-22T00:00:00-06:00,526.8593848546346 A
2017-09-23T00:00:00-06:00,464.2770888010661 A
2017-09-24T00:00:00-06:00,455.33369044253703 A
2017-09-25T00:00:00-06:00,540.9916756947836 A
2017-09-26T00:00:00-06:00,559.826050122579 A
2017-09-27T00:00:00-06:00,600.3270918528239 A
2017-09-28T00:00:00-06:00,666.9354292551676 A
2017-09-29T00:00:00-06:00,630.9677193959554 A
2017-09-30T00:00:00-06:00,556.9802201588949 A
2017-10-01T00:00:00-06:00,509.43126074473065 A
2017-10-02T00:00:00-06:00,525.9281346003214 A
2017-10-03T00:00:00-06:00,550.494800567627 A
2017-10-04T00:00:00-06:00,596.9239670435587 A
2017-10-05T00:00:00-06:00,552.1364685694376 A
2017-10-06T00:00:00-06:00,534.4406337738037 A
2017-10-07T00:00:00-06:00,597.5500109990438 A
2017-10-08T00:00:00-06:00,512.8093859354655 A
2017-10-09T00:00:00-06:00,525.4187577565511 A
2017-10-10T00:00:00-06:00,574.1406354904175 A
2017-10-11T00:00:00-06:00,663.1885522206625 A
2017-10-12T00:00:00-06:00,573.6073052088419 A
2017-10-13T00:00:00-06:00,564.167717297872 A
2017-10-14T00:00:00-06:00,471.2802143096924 A
2017-10-15T00:00:00-06:00,492.94479910532635 A
2017-10-16T00:00:00-06:00,570.8979237874349 A
2017-10-17T00:00:00-06:00,614.5125109354655 A
2017-10-18T00:00:00-06:00,641.6573025385538 A
2017-10-19T00:00:00-06:00,719.5968856811523 A
2017-10-20T00:00:00-06:00,712.7020950317383 A
2017-10-21T00:00:00-06:00,501.2208414077759 A
2017-10-22T00:00:00-06:00,541.4489692052206 A
2017-10-23T00:00:00-06:00,579.9218864440918 A
2017-10-24T00:00:00-06:00,576.9666779836019 A
2017-10-25T00:00:00-06:00,609.2052218119303 A
2017-10-26T00:00:00-06:00,601.4312604268392 A
2017-10-27T00:00:00-06:00,584.921885172526 A
2017-10-28T00:00:00-06:00,543.2770935694376 A
2017-10-29T00:00:00-06:00,597.0020945866903 A
2017-10-30T00:00:00-06:00,594.659387588501 A
2017-10-31T00:00:00-06:00,575.6541779836019 A
2017-11-01T00:00:00-06:00,644.2500114440918 A
2017-11-02T00:00:00-06:00,689.709389368693 A
2017-11-03T00:00:00-06:00,692.3510557810465 A
2017-11-04T00:00:00-06:00,534.92813650767 A
2017-11-05T00:00:00-06:00,485.65500732421873 A
2017-11-06T00:00:00-07:00,524.3166729609171 A
2017-11-07T00:00:00-07:00,549.1656360626221 A
2017-11-08T00:00:00-07:00,534.0041755040487 A
2017-11-09T00:00:00-07:00,586.7406339645386 A
2017-11-10T00:00:00-07:00,533.1593866348267 A
2017-11-11T00:00:00-07:00,503.4354251225789 A
2017-11-12T00:00:00-07:00,521.6323000590006 A
2017-11-13T00:00:00-07:00,572.0698000590006 A
2017-11-14T00:00:00-07:00,562.7093846003214 A
2017-11-15T00:00:00-07:00,548.4520953496298 A
2017-11-16T00:00:00-07:00,566.8395910263062 A
2017-11-17T00:00:00-07:00,546.8104270299276 A
2017-11-18T00:00:00-07:00,511.4614667892456 A
2017-11-19T00:00:00-07:00,508.9073009490967 A
2017-11-20T00:00:00-07:00,546.9187612533569 A
2017-11-21T00:00:00-07:00,594.3291781743368 A
2017-11-22T00:00:00-07:00,646.7041743596395 A
2017-11-23T00:00:00-07:00,603.4145965576172 A
