Timestamp,['1ef46852-9372bc23 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current C']
2017-08-07T00:00:00-06:00,25.32277990380923 A
2017-08-08T00:00:00-06:00,27.538473745187122 A
2017-08-09T00:00:00-06:00,25.307747582594555 A
2017-08-10T00:00:00-06:00,29.983640001175253 A
2017-08-11T00:00:00-06:00,29.146813581387203 A
2017-08-12T00:00:00-06:00,30.198742071787517 A
2017-08-13T00:00:00-06:00,26.810585618019104 A
2017-08-14T00:00:00-06:00,26.632813493410747 A
2017-08-15T00:00:00-06:00,30.709544251362484 A
2017-08-16T00:00:00-06:00,27.360718687375385 A
2017-08-17T00:00:00-06:00,30.361397246519726 A
2017-08-18T00:00:00-06:00,29.259934931993484 A
2017-08-19T00:00:00-06:00,28.456287642319996 A
2017-08-20T00:00:00-06:00,30.53976447383563 A
2017-08-21T00:00:00-06:00,28.209502786397934 A
2017-08-22T00:00:00-06:00,28.245753288269043 A
2017-08-23T00:00:00-06:00,25.175851225852966 A
2017-08-24T00:00:00-06:00,28.386693586905796 A
2017-08-25T00:00:00-06:00,27.767366101344425 A
2017-08-26T00:00:00-06:00,29.045344978570938 A
2017-08-27T00:00:00-06:00,29.33026322722435 A
2017-08-28T00:00:00-06:00,28.564857192661453 A
2017-08-29T00:00:00-06:00,27.378051480939313 A
2017-08-30T00:00:00-06:00,30.35604668656985 A
2017-08-31T00:00:00-06:00,28.716036210457485 A
2017-09-01T00:00:00-06:00,29.454226464033127 A
2017-09-02T00:00:00-06:00,26.743986189365387 A
2017-09-03T00:00:00-06:00,27.95395303023489 A
2017-09-04T00:00:00-06:00,31.687284380197525 A
2017-09-05T00:00:00-06:00,28.00377548734347 A
2017-09-06T00:00:00-06:00,26.48276397585869 A
2017-09-07T00:00:00-06:00,27.71339124441147 A
2017-09-08T00:00:00-06:00,29.6924984505836 A
2017-09-09T00:00:00-06:00,24.48154862721761 A
2017-09-10T00:00:00-06:00,27.117598022023838 A
2017-09-11T00:00:00-06:00,27.673732300599415 A
2017-09-12T00:00:00-06:00,27.813766082127888 A
2017-09-13T00:00:00-06:00,27.40541136264801 A
2017-09-14T00:00:00-06:00,30.958587030569714 A
2017-09-15T00:00:00-06:00,30.665048827727635 A
2017-09-16T00:00:00-06:00,26.166362474362057 A
2017-09-17T00:00:00-06:00,26.44597801566124 A
2017-09-18T00:00:00-06:00,27.93621802330017 A
2017-09-19T00:00:00-06:00,29.885072867075603 A
2017-09-20T00:00:00-06:00,31.184067120154698 A
2017-09-21T00:00:00-06:00,30.019642730553944 A
2017-09-22T00:00:00-06:00,29.50740523139636 A
2017-09-23T00:00:00-06:00,22.03199170033137 A
2017-09-24T00:00:00-06:00,30.810671031475067 A
2017-09-25T00:00:00-06:00,32.288732747236885 A
2017-09-26T00:00:00-06:00,28.711635212103527 A
2017-09-27T00:00:00-06:00,28.142324248949688 A
2017-09-28T00:00:00-06:00,27.826596329609554 A
2017-09-29T00:00:00-06:00,27.513599057992298 A
2017-09-30T00:00:00-06:00,19.606629987557728 A
2017-10-01T00:00:00-06:00,21.764273151755333 A
2017-10-02T00:00:00-06:00,33.00572762886683 A
2017-10-03T00:00:00-06:00,33.53420374790827 A
2017-10-04T00:00:00-06:00,33.64053855339686 A
2017-10-05T00:00:00-06:00,29.895200127049495 A
2017-10-06T00:00:00-06:00,29.01323593656222 A
2017-10-07T00:00:00-06:00,26.63363440831502 A
2017-10-08T00:00:00-06:00,19.199909855922062 A
2017-10-09T00:00:00-06:00,33.348702212174736 A
2017-10-10T00:00:00-06:00,32.012992252906166 A
2017-10-11T00:00:00-06:00,27.552886734406155 A
2017-10-12T00:00:00-06:00,28.88932008544604 A
2017-10-13T00:00:00-06:00,27.85382225116094 A
2017-10-14T00:00:00-06:00,28.800891051689785 A
2017-10-15T00:00:00-06:00,29.98679367204507 A
2017-10-16T00:00:00-06:00,34.00493977467219 A
2017-10-17T00:00:00-06:00,31.328712811072666 A
2017-10-18T00:00:00-06:00,28.71052987376849 A
2017-10-19T00:00:00-06:00,27.308696170647938 A
2017-10-20T00:00:00-06:00,28.818537324666977 A
2017-10-21T00:00:00-06:00,29.697042514880497 A
2017-10-22T00:00:00-06:00,24.745591302712757 A
2017-10-23T00:00:00-06:00,30.218728582064312 A
2017-10-24T00:00:00-06:00,28.956743121147156 A
2017-10-25T00:00:00-06:00,29.404562830924988 A
2017-10-26T00:00:00-06:00,28.308150966962177 A
2017-10-27T00:00:00-06:00,26.215002298355103 A
2017-10-28T00:00:00-06:00,21.209287077188492 A
2017-10-29T00:00:00-06:00,25.823194975654285 A
2017-10-30T00:00:00-06:00,26.66833958029747 A
2017-10-31T00:00:00-06:00,26.32619907458623 A
2017-11-01T00:00:00-06:00,29.99199342727661 A
2017-11-02T00:00:00-06:00,28.7695631980896 A
2017-11-03T00:00:00-06:00,28.12331313888232 A
2017-11-04T00:00:00-06:00,25.778420915206272 A
2017-11-05T00:00:00-06:00,23.124457006454467 A
2017-11-06T00:00:00-07:00,30.423777828613918 A
2017-11-07T00:00:00-07:00,29.376328428586323 A
2017-11-08T00:00:00-07:00,30.769651452700298 A
2017-11-09T00:00:00-07:00,31.371530930201214 A
2017-11-10T00:00:00-07:00,28.426659415165584 A
2017-11-11T00:00:00-07:00,25.481333414713543 A
2017-11-12T00:00:00-07:00,23.99870654940605 A
2017-11-13T00:00:00-07:00,27.369142333666485 A
2017-11-14T00:00:00-07:00,32.23213219642639 A
2017-11-15T00:00:00-07:00,33.55777424573898 A
2017-11-16T00:00:00-07:00,36.91749884684881 A
2017-11-17T00:00:00-07:00,38.74987133344015 A
2017-11-18T00:00:00-07:00,28.89591361085574 A
2017-11-19T00:00:00-07:00,23.12650058666865 A
2017-11-20T00:00:00-07:00,37.219183603922524 A
2017-11-21T00:00:00-07:00,29.26328517993291 A
2017-11-22T00:00:00-07:00,25.289101352294285 A
2017-11-23T00:00:00-07:00,21.43427089850108 A
2017-11-24T00:00:00-07:00,22.722767800092697 A
2017-11-25T00:00:00-07:00,20.80851101875305 A
2017-11-26T00:00:00-07:00,16.891609976689022 A
2017-11-27T00:00:00-07:00,36.68566636244456 A
2017-11-28T00:00:00-07:00,35.48193267981211 A
2017-11-29T00:00:00-07:00,33.74183307091395 A
2017-11-30T00:00:00-07:00,31.324095557133358 A
2017-12-01T00:00:00-07:00,33.61529395977656 A
2017-12-02T00:00:00-07:00,29.961258788903553 A
2017-12-03T00:00:00-07:00,31.436715722084045 A
2017-12-04T00:00:00-07:00,44.565834045410156 A
2017-12-05T00:00:00-07:00,41.89266429344813 A
2017-12-06T00:00:00-07:00,40.349999129772186 A
2017-12-07T00:00:00-07:00,35.918805837631226 A
2017-12-08T00:00:00-07:00,37.37807468573252 A
2017-12-09T00:00:00-07:00,29.66010574499766 A
2017-12-10T00:00:00-07:00,28.784416526556015 A
2017-12-11T00:00:00-07:00,34.94420647621155 A
2017-12-12T00:00:00-07:00,35.81285587946574 A
2017-12-13T00:00:00-07:00,38.40013891458511 A
2017-12-14T00:00:00-07:00,35.848762114842735 A
2017-12-15T00:00:00-07:00,29.284734497467678 A
2017-12-16T00:00:00-07:00,26.189198503891628 A
2017-12-17T00:00:00-07:00,25.534302840630215 A
2017-12-18T00:00:00-07:00,28.893575032552082 A
2017-12-19T00:00:00-07:00,27.225226412216823 A
