Timestamp,['1cbae9a6-b909582d 0038-ART BLDG Power Meter 300086 Volts AN']
2017-09-01T00:00:00-06:00,122.55273048082988 V
2017-09-02T00:00:00-06:00,122.52742981910706 V
2017-09-03T00:00:00-06:00,122.63155086835225 V
2017-09-04T00:00:00-06:00,122.36584107081096 V
2017-09-05T00:00:00-06:00,122.54991825421651 V
2017-09-06T00:00:00-06:00,122.48880370457967 V
2017-09-07T00:00:00-06:00,122.4043032997533 V
2017-09-08T00:00:00-06:00,122.57354996052194 V
2017-09-09T00:00:00-06:00,122.50868233044942 V
2017-09-10T00:00:00-06:00,122.50850637753804 V
2017-09-11T00:00:00-06:00,122.43474992116292 V
2017-09-12T00:00:00-06:00,122.5697530110677 V
2017-09-13T00:00:00-06:00,122.54214024543762 V
2017-09-14T00:00:00-06:00,122.65245771408081 V
2017-09-15T00:00:00-06:00,122.68636107444763 V
2017-09-16T00:00:00-06:00,122.74562168121338 V
2017-09-17T00:00:00-06:00,122.56234423319499 V
2017-09-18T00:00:00-06:00,122.52417135238647 V
2017-09-19T00:00:00-06:00,122.55596669514973 V
2017-09-20T00:00:00-06:00,122.58101423581441 V
2017-09-21T00:00:00-06:00,122.64634943008423 V
2017-09-22T00:00:00-06:00,122.8317900808234 V
2017-09-23T00:00:00-06:00,122.51651970545451 V
2017-09-24T00:00:00-06:00,122.67653640111287 V
2017-09-25T00:00:00-06:00,122.65371656417847 V
2017-09-26T00:00:00-06:00,122.61807735761006 V
2017-09-27T00:00:00-06:00,122.71079071362813 V
2017-09-28T00:00:00-06:00,122.62620401382446 V
2017-09-29T00:00:00-06:00,122.61988162994385 V
2017-09-30T00:00:00-06:00,122.47550956408183 V
2017-10-01T00:00:00-06:00,122.43358023961385 V
2017-10-02T00:00:00-06:00,122.62250558535258 V
2017-10-03T00:00:00-06:00,122.42118922869365 V
2017-10-04T00:00:00-06:00,122.68640287717183 V
2017-10-05T00:00:00-06:00,122.60918426513672 V
2017-10-06T00:00:00-06:00,122.60436002413432 V
2017-10-07T00:00:00-06:00,122.79910969734192 V
2017-10-08T00:00:00-06:00,122.76887758572896 V
2017-10-09T00:00:00-06:00,122.72361016273499 V
2017-10-10T00:00:00-06:00,122.59542878803454 V
2017-10-11T00:00:00-06:00,122.66440256436665 V
2017-10-12T00:00:00-06:00,122.74349959691365 V
2017-10-13T00:00:00-06:00,122.68818736076355 V
2017-10-14T00:00:00-06:00,122.68074711163838 V
2017-10-15T00:00:00-06:00,122.6459710597992 V
2017-10-16T00:00:00-06:00,122.69738849004109 V
2017-10-17T00:00:00-06:00,122.58478498458862 V
2017-10-18T00:00:00-06:00,122.77572965621948 V
2017-10-19T00:00:00-06:00,122.91248432795207 V
2017-10-20T00:00:00-06:00,122.70767561594646 V
2017-10-21T00:00:00-06:00,122.8254238764445 V
2017-10-22T00:00:00-06:00,122.71124656995137 V
2017-10-23T00:00:00-06:00,122.85403362909953 V
2017-10-24T00:00:00-06:00,122.67467459042867 V
2017-10-25T00:00:00-06:00,122.70981454849243 V
2017-10-26T00:00:00-06:00,122.61282841364543 V
2017-10-27T00:00:00-06:00,122.66836269696553 V
2017-10-28T00:00:00-06:00,122.56732932726543 V
2017-10-29T00:00:00-06:00,122.52236199378967 V
2017-10-30T00:00:00-06:00,122.63164488474528 V
2017-10-31T00:00:00-06:00,122.71521027882893 V
2017-11-01T00:00:00-06:00,122.42052849133809 V
2017-11-02T00:00:00-06:00,122.61446245511372 V
2017-11-03T00:00:00-06:00,122.62375871340434 V
2017-11-04T00:00:00-06:00,122.63362256685893 V
2017-11-05T00:00:00-06:00,122.71959571838379 V
2017-11-06T00:00:00-07:00,122.70989696184795 V
2017-11-07T00:00:00-07:00,122.73425912857056 V
2017-11-08T00:00:00-07:00,122.58741799990337 V
2017-11-09T00:00:00-07:00,122.47225602467854 V
2017-11-10T00:00:00-07:00,122.67312010129292 V
2017-11-11T00:00:00-07:00,122.58290680249532 V
2017-11-12T00:00:00-07:00,122.60971840222676 V
2017-11-13T00:00:00-07:00,122.60568865140279 V
2017-11-14T00:00:00-07:00,122.50538158416748 V
2017-11-15T00:00:00-07:00,122.36661473910014 V
2017-11-16T00:00:00-07:00,122.77770813306172 V
2017-11-17T00:00:00-07:00,122.59226870536804 V
2017-11-18T00:00:00-07:00,122.73892871538798 V
2017-11-19T00:00:00-07:00,122.95334060986836 V
2017-11-20T00:00:00-07:00,122.72611538569133 V
2017-11-21T00:00:00-07:00,122.472975730896 V
2017-11-22T00:00:00-07:00,122.72204566001892 V
2017-11-23T00:00:00-07:00,122.75189232826233 V
2017-11-24T00:00:00-07:00,122.75274737675984 V
2017-11-25T00:00:00-07:00,122.67829060554504 V
2017-11-26T00:00:00-07:00,122.67286380132039 V
2017-11-27T00:00:00-07:00,122.76362872123718 V
2017-11-28T00:00:00-07:00,122.57735951741536 V
2017-11-29T00:00:00-07:00,122.54847876230876 V
2017-11-30T00:00:00-07:00,122.51517979303996 V
2017-12-01T00:00:00-07:00,122.61480244000752 V
2017-12-02T00:00:00-07:00,122.57118995984395 V
2017-12-03T00:00:00-07:00,122.50829990704854 V
2017-12-04T00:00:00-07:00,122.48803130785625 V
2017-12-05T00:00:00-07:00,122.68018436431885 V
2017-12-06T00:00:00-07:00,122.68096979459126 V
2017-12-07T00:00:00-07:00,122.76469771067302 V
2017-12-08T00:00:00-07:00,122.81297890345256 V
2017-12-09T00:00:00-07:00,122.87631781895955 V
2017-12-10T00:00:00-07:00,122.88620821634929 V
2017-12-11T00:00:00-07:00,122.64850576718648 V
2017-12-12T00:00:00-07:00,122.51349051793416 V
2017-12-13T00:00:00-07:00,122.64857093493144 V
2017-12-14T00:00:00-07:00,122.71782604853313 V
2017-12-15T00:00:00-07:00,122.70546253522237 V
2017-12-16T00:00:00-07:00,122.7978466351827 V
2017-12-17T00:00:00-07:00,122.62586069107056 V
2017-12-18T00:00:00-07:00,122.71262449859292 V
2017-12-19T00:00:00-07:00,122.55099948247273 V
2017-12-20T00:00:00-07:00,122.68797953923543 V
2017-12-21T00:00:00-07:00,122.55455470085144 V
2017-12-22T00:00:00-07:00,122.6577574412028 V
2017-12-23T00:00:00-07:00,122.53775906562805 V
2017-12-24T00:00:00-07:00,122.59749388694763 V
2017-12-25T00:00:00-07:00,122.74100573857625 V
2017-12-26T00:00:00-07:00,122.70028241475423 V
2017-12-27T00:00:00-07:00,122.38008403778076 V
2017-12-28T00:00:00-07:00,122.65325092516447 V
2017-12-29T00:00:00-07:00,122.54214437802632 V
2017-12-30T00:00:00-07:00,122.4841803709666 V
2017-12-31T00:00:00-07:00,122.41704519589742 V
