Timestamp,['20d43261-80a6cab3 0043-NAVAL SCIENCE BLDG Power Meter 300093 Voltage A-N']
2017-11-30T00:00:00-07:00,123.11458333333333 V
2017-12-01T00:00:00-07:00,123.03125 V
2017-12-02T00:00:00-07:00,123.13541666666667 V
2017-12-03T00:00:00-07:00,123.14583333333333 V
2017-12-04T00:00:00-07:00,123.125 V
2017-12-05T00:00:00-07:00,123.05208333333333 V
2017-12-06T00:00:00-07:00,122.95833333333333 V
2017-12-07T00:00:00-07:00,122.92708333333333 V
2017-12-08T00:00:00-07:00,122.95833333333333 V
2017-12-09T00:00:00-07:00,123.17708333333333 V
2017-12-10T00:00:00-07:00,123.27083333333333 V
2017-12-11T00:00:00-07:00,123.07291666666667 V
2017-12-12T00:00:00-07:00,123.07291666666667 V
2017-12-13T00:00:00-07:00,123.30208333333333 V
2017-12-14T00:00:00-07:00,123.16666666666667 V
2017-12-15T00:00:00-07:00,123.09375 V
2017-12-16T00:00:00-07:00,123.15625 V
2017-12-17T00:00:00-07:00,123.26041666666667 V
2017-12-18T00:00:00-07:00,123.33333333333333 V
2017-12-19T00:00:00-07:00,123.08333333333333 V
2017-12-20T00:00:00-07:00,123.11458333333333 V
2017-12-21T00:00:00-07:00,123.16666666666667 V
2017-12-22T00:00:00-07:00,123.26041666666667 V
2017-12-23T00:00:00-07:00,123.01041666666667 V
2017-12-24T00:00:00-07:00,123.34375 V
2017-12-25T00:00:00-07:00,123.19791666666667 V
2017-12-26T00:00:00-07:00,123.22916666666667 V
2017-12-27T00:00:00-07:00,123.21875 V
2017-12-28T00:00:00-07:00,123.0625 V
2017-12-29T00:00:00-07:00,123.04166666666667 V
2017-12-30T00:00:00-07:00,123.13541666666667 V
2017-12-31T00:00:00-07:00,123.20833333333333 V
