Timestamp,['1fd1b098-d20df861 0082-SKAGGS BIOLOGY BLDG Power Meter Current C']
2017-10-15T00:00:00-06:00,522.0198011398315 A
2017-10-16T00:00:00-06:00,581.4875094095866 A
2017-10-17T00:00:00-06:00,619.8875125249227 A
2017-10-18T00:00:00-06:00,652.2989702224731 A
2017-10-19T00:00:00-06:00,724.5906327565511 A
2017-10-20T00:00:00-06:00,720.2989724477133 A
2017-10-21T00:00:00-06:00,527.6833413441976 A
2017-10-22T00:00:00-06:00,567.2218834559122 A
2017-10-23T00:00:00-06:00,595.6906369527181 A
2017-10-24T00:00:00-06:00,587.2958456675211 A
2017-10-25T00:00:00-06:00,612.9604291915894 A
2017-10-26T00:00:00-06:00,611.0750087102255 A
2017-10-27T00:00:00-06:00,597.1291783650717 A
2017-10-28T00:00:00-06:00,569.4343856175741 A
2017-10-29T00:00:00-06:00,624.8520956039429 A
2017-10-30T00:00:00-06:00,609.450008392334 A
2017-10-31T00:00:00-06:00,578.6416765848795 A
2017-11-01T00:00:00-06:00,642.1781349182129 A
2017-11-02T00:00:00-06:00,690.9531377156576 A
2017-11-03T00:00:00-06:00,695.8895988464355 A
2017-11-04T00:00:00-06:00,559.9583473205566 A
2017-11-05T00:00:00-06:00,509.6560089111328 A
2017-11-06T00:00:00-07:00,534.998969078064 A
2017-11-07T00:00:00-07:00,555.3093843460083 A
2017-11-08T00:00:00-07:00,539.6948006947836 A
2017-11-09T00:00:00-07:00,585.7781368891398 A
2017-11-10T00:00:00-07:00,537.4864689509074 A
2017-11-11T00:00:00-07:00,525.1364704767863 A
2017-11-12T00:00:00-07:00,539.4770940144857 A
2017-11-13T00:00:00-07:00,581.5020974477133 A
2017-11-14T00:00:00-07:00,564.1354271570841 A
2017-11-15T00:00:00-07:00,554.4156370162964 A
2017-11-16T00:00:00-07:00,568.9625085194906 A
2017-11-17T00:00:00-07:00,546.2395925521851 A
2017-11-18T00:00:00-07:00,519.5833438237509 A
2017-11-19T00:00:00-07:00,522.2583436965942 A
2017-11-20T00:00:00-07:00,550.4875106811523 A
2017-11-21T00:00:00-07:00,596.4229262669882 A
2017-11-22T00:00:00-07:00,653.1781384150187 A
2017-11-23T00:00:00-07:00,619.5260547002157 A
2017-11-24T00:00:00-07:00,622.6031363805135 A
2017-11-25T00:00:00-07:00,544.0552177429199 A
2017-11-26T00:00:00-07:00,599.8854287465414 A
2017-11-27T00:00:00-07:00,661.4114681879679 A
2017-11-28T00:00:00-07:00,556.9427200953165 A
2017-11-29T00:00:00-07:00,553.5427192052206 A
2017-11-30T00:00:00-07:00,536.4750096003214 A
2017-12-01T00:00:00-07:00,532.5948031743368 A
2017-12-02T00:00:00-07:00,505.87917455037433 A
2017-12-03T00:00:00-07:00,527.5229244232178 A
2017-12-04T00:00:00-07:00,476.8041744232178 A
2017-12-05T00:00:00-07:00,509.20834000905353 A
2017-12-06T00:00:00-07:00,550.3802181879679 A
2017-12-07T00:00:00-07:00,539.9145933787028 A
2017-12-08T00:00:00-07:00,548.6291745503744 A
2017-12-09T00:00:00-07:00,527.7541742324829 A
2017-12-10T00:00:00-07:00,527.8073021570841 A
2017-12-11T00:00:00-07:00,558.0583432515463 A
2017-12-12T00:00:00-07:00,561.3239685694376 A
2017-12-13T00:00:00-07:00,562.8187605539957 A
2017-12-14T00:00:00-07:00,559.3593842188517 A
2017-12-15T00:00:00-07:00,559.6864684422811 A
2017-12-16T00:00:00-07:00,513.8895921707153 A
2017-12-17T00:00:00-07:00,505.48854955037433 A
2017-12-18T00:00:00-07:00,542.7204415926369 A
2017-12-19T00:00:00-07:00,523.3000109990438 A
2017-12-20T00:00:00-07:00,547.1260506312052 A
2017-12-21T00:00:00-07:00,464.392715771993 A
2017-12-22T00:00:00-07:00,484.3479251861572 A
2017-12-23T00:00:00-07:00,417.79896450042725 A
2017-12-24T00:00:00-07:00,517.7698027292887 A
2017-12-25T00:00:00-07:00,505.7385498682658 A
2017-12-26T00:00:00-07:00,509.3718843460083 A
2017-12-27T00:00:00-07:00,516.97500928243 A
2017-12-28T00:00:00-07:00,535.2083428700765 A
2017-12-29T00:00:00-07:00,536.7406355539957 A
2017-12-30T00:00:00-07:00,538.435425122579 A
2017-12-31T00:00:00-07:00,527.9770917892456 A
