Timestamp,['1f7d6d16-90a85fe3 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current B']
2017-10-11T00:00:00-06:00,233.46223958333334 A
2017-10-12T00:00:00-06:00,198.10546875 A
2017-10-13T00:00:00-06:00,192.5859375 A
2017-10-14T00:00:00-06:00,169.75520833333334 A
2017-10-15T00:00:00-06:00,169.59114583333334 A
2017-10-16T00:00:00-06:00,207.00651041666666 A
2017-10-17T00:00:00-06:00,225.22265625 A
2017-10-18T00:00:00-06:00,215.39583333333334 A
2017-10-19T00:00:00-06:00,215.05729166666666 A
2017-10-20T00:00:00-06:00,212.8828125 A
2017-10-21T00:00:00-06:00,174.80598958333334 A
2017-10-22T00:00:00-06:00,172.4921875 A
2017-10-23T00:00:00-06:00,209.82682291666666 A
2017-10-24T00:00:00-06:00,204.91145833333334 A
2017-10-25T00:00:00-06:00,206.67447916666666 A
2017-10-26T00:00:00-06:00,200.60546875 A
2017-10-27T00:00:00-06:00,195.27213541666666 A
2017-10-28T00:00:00-06:00,162.14713541666666 A
2017-10-29T00:00:00-06:00,154.91796875 A
2017-10-30T00:00:00-06:00,206.97005208333334 A
2017-10-31T00:00:00-06:00,192.62109375 A
2017-11-01T00:00:00-06:00,216.88541666666666 A
2017-11-02T00:00:00-06:00,228.921875 A
2017-11-03T00:00:00-06:00,216.41276041666666 A
2017-11-04T00:00:00-06:00,172.94010416666666 A
2017-11-05T00:00:00-06:00,177.9975 A
2017-11-06T00:00:00-07:00,206.63541666666666 A
2017-11-07T00:00:00-07:00,212.90364583333334 A
2017-11-08T00:00:00-07:00,211.88411458333334 A
2017-11-09T00:00:00-07:00,208.32161458333334 A
2017-11-10T00:00:00-07:00,208.77604166666666 A
2017-11-11T00:00:00-07:00,179.49869791666666 A
2017-11-12T00:00:00-07:00,188.5390625 A
2017-11-13T00:00:00-07:00,210.36979166666666 A
2017-11-14T00:00:00-07:00,199.80338541666666 A
2017-11-15T00:00:00-07:00,206.1953125 A
2017-11-16T00:00:00-07:00,217.28645833333334 A
2017-11-17T00:00:00-07:00,208.83723958333334 A
2017-11-18T00:00:00-07:00,183.61979166666666 A
2017-11-19T00:00:00-07:00,187.54166666666666 A
2017-11-20T00:00:00-07:00,208.96354166666666 A
2017-11-21T00:00:00-07:00,204.9921875 A
2017-11-22T00:00:00-07:00,201.27994791666666 A
2017-11-23T00:00:00-07:00,168.96223958333334 A
2017-11-24T00:00:00-07:00,171.21354166666666 A
2017-11-25T00:00:00-07:00,174.58463541666666 A
2017-11-26T00:00:00-07:00,178.05078125 A
2017-11-27T00:00:00-07:00,213.58723958333334 A
2017-11-28T00:00:00-07:00,207.66145833333334 A
2017-11-29T00:00:00-07:00,210.09765625 A
2017-11-30T00:00:00-07:00,204.125 A
2017-12-01T00:00:00-07:00,208.92838541666666 A
2017-12-02T00:00:00-07:00,181.5234375 A
2017-12-03T00:00:00-07:00,177.04036458333334 A
2017-12-04T00:00:00-07:00,215.01692708333334 A
2017-12-05T00:00:00-07:00,214.63020833333334 A
2017-12-06T00:00:00-07:00,219.046875 A
2017-12-07T00:00:00-07:00,223.38671875 A
2017-12-08T00:00:00-07:00,217.99348958333334 A
2017-12-09T00:00:00-07:00,179.85416666666666 A
2017-12-10T00:00:00-07:00,187.55859375 A
2017-12-11T00:00:00-07:00,222.76692708333334 A
2017-12-12T00:00:00-07:00,221.03385416666666 A
2017-12-13T00:00:00-07:00,225.28645833333334 A
2017-12-14T00:00:00-07:00,213.70182291666666 A
2017-12-15T00:00:00-07:00,206.77734375 A
2017-12-16T00:00:00-07:00,172.88802083333334 A
2017-12-17T00:00:00-07:00,174.03125 A
2017-12-18T00:00:00-07:00,182.3138586956522 A
2017-12-19T00:00:00-07:00,165.59765625 A
2017-12-20T00:00:00-07:00,161.47135416666666 A
2017-12-21T00:00:00-07:00,163.54036458333334 A
2017-12-22T00:00:00-07:00,150.15104166666666 A
2017-12-23T00:00:00-07:00,129.40494791666666 A
2017-12-24T00:00:00-07:00,128.48177083333334 A
2017-12-25T00:00:00-07:00,126.32552083333333 A
2017-12-26T00:00:00-07:00,136.0625 A
2017-12-27T00:00:00-07:00,147.22526041666666 A
2017-12-28T00:00:00-07:00,147.83723958333334 A
2017-12-29T00:00:00-07:00,135.99088541666666 A
2017-12-30T00:00:00-07:00,124.234375 A
2017-12-31T00:00:00-07:00,128.25260416666666 A
