Timestamp,['1ef467d3-edf83bb0 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current C']
2017-10-27T00:00:00-06:00,58.645510037740074 A
2017-10-28T00:00:00-06:00,42.00946827729543 A
2017-10-29T00:00:00-06:00,44.34448083241781 A
2017-10-30T00:00:00-06:00,58.66247570514679 A
2017-10-31T00:00:00-06:00,54.267670234044395 A
2017-11-01T00:00:00-06:00,65.88252079486847 A
2017-11-02T00:00:00-06:00,71.20099659760793 A
2017-11-03T00:00:00-06:00,63.22300990422567 A
2017-11-04T00:00:00-06:00,46.69680484135946 A
2017-11-05T00:00:00-06:00,43.33897533416748 A
2017-11-06T00:00:00-07:00,65.21253867944081 A
2017-11-07T00:00:00-07:00,59.87777133782705 A
2017-11-08T00:00:00-07:00,59.97101469834646 A
2017-11-09T00:00:00-07:00,70.42347951730092 A
2017-11-10T00:00:00-07:00,55.5648463567098 A
2017-11-11T00:00:00-07:00,46.609516421953835 A
2017-11-12T00:00:00-07:00,43.61507570743561 A
2017-11-13T00:00:00-07:00,58.41582385698954 A
2017-11-14T00:00:00-07:00,62.12200391292572 A
2017-11-15T00:00:00-07:00,62.205344796180725 A
2017-11-16T00:00:00-07:00,74.04186483224233 A
2017-11-17T00:00:00-07:00,56.90360256036123 A
2017-11-18T00:00:00-07:00,42.22810812791189 A
2017-11-19T00:00:00-07:00,47.80458144346873 A
2017-11-20T00:00:00-07:00,62.754337986310325 A
2017-11-21T00:00:00-07:00,58.72881627082825 A
2017-11-22T00:00:00-07:00,51.201987981796265 A
2017-11-23T00:00:00-07:00,39.902573029200234 A
2017-11-24T00:00:00-07:00,44.59367823600769 A
2017-11-25T00:00:00-07:00,46.539095997810364 A
2017-11-26T00:00:00-07:00,46.31888874371847 A
2017-11-27T00:00:00-07:00,60.28165749708811 A
2017-11-28T00:00:00-07:00,61.26185552279154 A
2017-11-29T00:00:00-07:00,60.31463634967804 A
2017-11-30T00:00:00-07:00,65.34802269935608 A
2017-12-01T00:00:00-07:00,61.31702200571696 A
2017-12-02T00:00:00-07:00,48.71650735537211 A
2017-12-03T00:00:00-07:00,40.701770742734276 A
2017-12-04T00:00:00-07:00,68.56550641854604 A
2017-12-05T00:00:00-07:00,58.931543588638306 A
2017-12-06T00:00:00-07:00,61.92672904332479 A
2017-12-07T00:00:00-07:00,69.85563417275746 A
2017-12-08T00:00:00-07:00,57.106057365735374 A
2017-12-09T00:00:00-07:00,43.19844138622284 A
2017-12-10T00:00:00-07:00,42.90836560726166 A
2017-12-11T00:00:00-07:00,59.385176261266075 A
2017-12-12T00:00:00-07:00,57.97478521246659 A
2017-12-13T00:00:00-07:00,58.19375248750051 A
2017-12-14T00:00:00-07:00,63.19126840432485 A
2017-12-15T00:00:00-07:00,64.49861371517181 A
2017-12-16T00:00:00-07:00,44.91658242543539 A
2017-12-17T00:00:00-07:00,43.697272857030235 A
2017-12-18T00:00:00-07:00,50.03612936696699 A
2017-12-19T00:00:00-07:00,50.38538646697998 A
2017-12-20T00:00:00-07:00,49.31351590156555 A
2017-12-21T00:00:00-07:00,48.64388418197632 A
2017-12-22T00:00:00-07:00,43.724526365598045 A
2017-12-23T00:00:00-07:00,38.79900415738424 A
2017-12-24T00:00:00-07:00,39.625315268834434 A
2017-12-25T00:00:00-07:00,39.422669529914856 A
2017-12-26T00:00:00-07:00,38.702654679616295 A
2017-12-27T00:00:00-07:00,46.22035582860311 A
2017-12-28T00:00:00-07:00,43.453331311543785 A
2017-12-29T00:00:00-07:00,42.30250108242035 A
2017-12-30T00:00:00-07:00,39.32661360502243 A
2017-12-31T00:00:00-07:00,42.11936982472738 A
