Timestamp,['202e54ec-5a0b408b Power Meter (HV) (316610) Current B']
2017-08-02T00:00:00-06:00,173.85714285714286 A
2017-08-03T00:00:00-06:00,184.16666666666666 A
2017-08-04T00:00:00-06:00,178.88888888888889 A
2017-08-05T00:00:00-06:00,174.5 A
2017-08-06T00:00:00-06:00,179 A
2017-08-07T00:00:00-06:00,166.6 A
2017-08-08T00:00:00-06:00,177.625 A
2017-08-09T00:00:00-06:00,164.8181818181818 A
2017-08-10T00:00:00-06:00,176.5 A
2017-08-11T00:00:00-06:00,168.5 A
2017-08-12T00:00:00-06:00,172.4375 A
2017-08-13T00:00:00-06:00,162 A
2017-08-14T00:00:00-06:00,172.33333333333334 A
2017-08-15T00:00:00-06:00,163.83333333333334 A
2017-08-16T00:00:00-06:00,164.66666666666666 A
2017-08-17T00:00:00-06:00,175.33333333333334 A
2017-08-18T00:00:00-06:00,165.5 A
2017-08-19T00:00:00-06:00,168 A
2017-08-20T00:00:00-06:00,170.33333333333334 A
2017-08-21T00:00:00-06:00,170.69230769230768 A
2017-08-22T00:00:00-06:00,174.2 A
2017-08-23T00:00:00-06:00,166.85714285714286 A
2017-08-24T00:00:00-06:00,168.88888888888889 A
2017-08-25T00:00:00-06:00,179.14285714285714 A
2017-08-26T00:00:00-06:00,178.25 A
2017-08-27T00:00:00-06:00,175.2 A
2017-08-28T00:00:00-06:00,174.71428571428572 A
2017-08-29T00:00:00-06:00,176.25 A
2017-08-30T00:00:00-06:00,176.5 A
2017-08-31T00:00:00-06:00,153.42857142857142 A
2017-09-01T00:00:00-06:00,133 A
2017-09-02T00:00:00-06:00,121.42857142857143 A
2017-09-03T00:00:00-06:00,133.27777777777777 A
2017-09-04T00:00:00-06:00,137.75 A
2017-09-05T00:00:00-06:00,138.8 A
2017-09-06T00:00:00-06:00,131 A
2017-09-07T00:00:00-06:00,126.5 A
2017-09-08T00:00:00-06:00,143.22222222222223 A
2017-09-09T00:00:00-06:00,128.5 A
2017-09-10T00:00:00-06:00,113.66666666666667 A
2017-09-11T00:00:00-06:00,133.5 A
2017-09-12T00:00:00-06:00,137.8 A
2017-09-13T00:00:00-06:00,150.0625 A
2017-09-14T00:00:00-06:00,145.3 A
2017-09-15T00:00:00-06:00,126.33333333333333 A
2017-09-16T00:00:00-06:00,133.1 A
2017-09-17T00:00:00-06:00,137.1818181818182 A
2017-09-18T00:00:00-06:00,144.14285714285714 A
2017-09-19T00:00:00-06:00,122.33333333333333 A
2017-09-20T00:00:00-06:00,123 A
2017-09-21T00:00:00-06:00,113 A
2017-09-22T00:00:00-06:00,94.22222222222223 A
2017-09-23T00:00:00-06:00,99 A
2017-09-24T00:00:00-06:00,106.36363636363636 A
2017-09-25T00:00:00-06:00,115.83333333333333 A
2017-09-26T00:00:00-06:00,135.25 A
2017-09-27T00:00:00-06:00,158 A
2017-09-28T00:00:00-06:00,131 A
2017-09-29T00:00:00-06:00,137.9 A
2017-09-30T00:00:00-06:00,134.66666666666666 A
2017-10-01T00:00:00-06:00,120.83333333333333 A
2017-10-02T00:00:00-06:00,93 A
2017-10-03T00:00:00-06:00,119.11111111111111 A
2017-10-04T00:00:00-06:00,121.57142857142857 A
2017-10-05T00:00:00-06:00,110.125 A
2017-10-06T00:00:00-06:00,116.29411764705883 A
2017-10-07T00:00:00-06:00,113.28571428571429 A
2017-10-08T00:00:00-06:00,107 A
2017-10-09T00:00:00-06:00,95.83333333333333 A
2017-10-10T00:00:00-06:00,125.5945945945946 A
2017-10-11T00:00:00-06:00,123.67164179104478 A
2017-10-12T00:00:00-06:00,117.34146341463415 A
2017-10-13T00:00:00-06:00,121.20430107526882 A
2017-10-14T00:00:00-06:00,107.5625 A
2017-10-15T00:00:00-06:00,97.32291666666667 A
2017-10-16T00:00:00-06:00,112.4375 A
2017-10-17T00:00:00-06:00,128.91666666666666 A
2017-10-18T00:00:00-06:00,131.19791666666666 A
2017-10-19T00:00:00-06:00,128.9375 A
2017-10-20T00:00:00-06:00,129.56382978723406 A
2017-10-21T00:00:00-06:00,102.76041666666667 A
2017-10-22T00:00:00-06:00,109.92708333333333 A
2017-10-23T00:00:00-06:00,127.03125 A
2017-10-24T00:00:00-06:00,126.54166666666667 A
2017-10-25T00:00:00-06:00,119.64583333333333 A
2017-10-26T00:00:00-06:00,125.72631578947369 A
2017-10-27T00:00:00-06:00,127.38541666666667 A
2017-10-28T00:00:00-06:00,123.4 A
2017-10-29T00:00:00-06:00,125.57291666666667 A
2017-10-30T00:00:00-06:00,101.46875 A
2017-10-31T00:00:00-06:00,98.33684210526316 A
2017-11-01T00:00:00-06:00,112.32631578947368 A
2017-11-02T00:00:00-06:00,124.31914893617021 A
2017-11-03T00:00:00-06:00,128.23655913978496 A
2017-11-04T00:00:00-06:00,109.15789473684211 A
2017-11-05T00:00:00-06:00,95.78 A
2017-11-06T00:00:00-07:00,91.45263157894736 A
2017-11-07T00:00:00-07:00,93.06382978723404 A
2017-11-08T00:00:00-07:00,92.62765957446808 A
2017-11-09T00:00:00-07:00,101.30208333333333 A
2017-11-10T00:00:00-07:00,101.15789473684211 A
2017-11-11T00:00:00-07:00,97.86458333333333 A
2017-11-12T00:00:00-07:00,101.6 A
2017-11-13T00:00:00-07:00,100.45263157894736 A
2017-11-14T00:00:00-07:00,94.03125 A
2017-11-15T00:00:00-07:00,90.94791666666667 A
2017-11-16T00:00:00-07:00,123.88541666666667 A
2017-11-17T00:00:00-07:00,104.87368421052632 A
2017-11-18T00:00:00-07:00,105.02083333333333 A
2017-11-19T00:00:00-07:00,106.57291666666667 A
2017-11-20T00:00:00-07:00,107.20833333333333 A
2017-11-21T00:00:00-07:00,113.54166666666667 A
2017-11-22T00:00:00-07:00,111.76041666666667 A
2017-11-23T00:00:00-07:00,94.72916666666667 A
2017-11-24T00:00:00-07:00,101.18085106382979 A
2017-11-25T00:00:00-07:00,94.0625 A
2017-11-26T00:00:00-07:00,101.71875 A
2017-11-27T00:00:00-07:00,118.39583333333333 A
2017-11-28T00:00:00-07:00,96.79166666666667 A
2017-11-29T00:00:00-07:00,97.03157894736842 A
2017-11-30T00:00:00-07:00,94.18947368421053 A
2017-12-01T00:00:00-07:00,95.0625 A
2017-12-02T00:00:00-07:00,94.88541666666667 A
2017-12-03T00:00:00-07:00,92.61458333333333 A
2017-12-04T00:00:00-07:00,89.16842105263157 A
2017-12-05T00:00:00-07:00,91.92708333333333 A
2017-12-06T00:00:00-07:00,92.85416666666667 A
2017-12-07T00:00:00-07:00,93.64583333333333 A
2017-12-08T00:00:00-07:00,93.33333333333333 A
2017-12-09T00:00:00-07:00,92.09375 A
2017-12-10T00:00:00-07:00,92.07291666666667 A
2017-12-11T00:00:00-07:00,95.53125 A
2017-12-12T00:00:00-07:00,99.60416666666667 A
2017-12-13T00:00:00-07:00,96.34375 A
2017-12-14T00:00:00-07:00,91.9375 A
2017-12-15T00:00:00-07:00,92.21875 A
2017-12-16T00:00:00-07:00,88.07291666666667 A
2017-12-17T00:00:00-07:00,88.32291666666667 A
2017-12-18T00:00:00-07:00,93.31868131868131 A
2017-12-19T00:00:00-07:00,91.25 A
2017-12-20T00:00:00-07:00,90.94791666666667 A
2017-12-21T00:00:00-07:00,98.09375 A
2017-12-22T00:00:00-07:00,94.84375 A
2017-12-23T00:00:00-07:00,90.47916666666667 A
2017-12-24T00:00:00-07:00,96.01041666666667 A
2017-12-25T00:00:00-07:00,89.73958333333333 A
2017-12-26T00:00:00-07:00,89.04166666666667 A
2017-12-27T00:00:00-07:00,92.29166666666667 A
2017-12-28T00:00:00-07:00,91.92708333333333 A
2017-12-29T00:00:00-07:00,90 A
2017-12-30T00:00:00-07:00,90.51041666666667 A
2017-12-31T00:00:00-07:00,94.71875 A
