Timestamp,['1cca7443-03868c47 0062-WARNOCK ENGR BLDG Power Meter 316606 Current A']
2017-11-06T00:00:00-07:00,115.01041666666667 A
2017-11-07T00:00:00-07:00,111.80208333333333 A
2017-11-08T00:00:00-07:00,118.78125 A
2017-11-09T00:00:00-07:00,114.70833333333333 A
2017-11-10T00:00:00-07:00,112.42708333333333 A
2017-11-11T00:00:00-07:00,85.21875 A
2017-11-12T00:00:00-07:00,84.14583333333333 A
2017-11-13T00:00:00-07:00,110.23958333333333 A
2017-11-14T00:00:00-07:00,110.10416666666667 A
2017-11-15T00:00:00-07:00,111.375 A
2017-11-16T00:00:00-07:00,110.15625 A
2017-11-17T00:00:00-07:00,108.5 A
2017-11-18T00:00:00-07:00,86.83333333333333 A
2017-11-19T00:00:00-07:00,85.90625 A
2017-11-20T00:00:00-07:00,112.66666666666667 A
2017-11-21T00:00:00-07:00,107.125 A
2017-11-22T00:00:00-07:00,100.36458333333333 A
2017-11-23T00:00:00-07:00,79.04166666666667 A
2017-11-24T00:00:00-07:00,78.66666666666667 A
2017-11-25T00:00:00-07:00,78.82291666666667 A
2017-11-26T00:00:00-07:00,80.71875 A
2017-11-27T00:00:00-07:00,112.07291666666667 A
2017-11-28T00:00:00-07:00,108.77083333333333 A
2017-11-29T00:00:00-07:00,110.19791666666667 A
2017-11-30T00:00:00-07:00,110.5625 A
2017-12-01T00:00:00-07:00,109.78125 A
2017-12-02T00:00:00-07:00,84.65625 A
2017-12-03T00:00:00-07:00,82.04166666666667 A
2017-12-04T00:00:00-07:00,117.39583333333333 A
2017-12-05T00:00:00-07:00,114.6875 A
2017-12-06T00:00:00-07:00,114.72916666666667 A
2017-12-07T00:00:00-07:00,112.8125 A
2017-12-08T00:00:00-07:00,109.02083333333333 A
2017-12-09T00:00:00-07:00,88.70833333333333 A
2017-12-10T00:00:00-07:00,89.98958333333333 A
2017-12-11T00:00:00-07:00,117.60416666666667 A
2017-12-12T00:00:00-07:00,120.47916666666667 A
2017-12-13T00:00:00-07:00,118.6875 A
2017-12-14T00:00:00-07:00,112.10416666666667 A
2017-12-15T00:00:00-07:00,114.78125 A
2017-12-16T00:00:00-07:00,93.59375 A
2017-12-17T00:00:00-07:00,88.27083333333333 A
2017-12-18T00:00:00-07:00,97.28888888888889 A
2017-12-19T00:00:00-07:00,94.48958333333333 A
2017-12-20T00:00:00-07:00,93.02083333333333 A
2017-12-21T00:00:00-07:00,95.57291666666667 A
2017-12-22T00:00:00-07:00,91.13541666666667 A
2017-12-23T00:00:00-07:00,84.35416666666667 A
2017-12-24T00:00:00-07:00,84.55208333333333 A
2017-12-25T00:00:00-07:00,84.26041666666667 A
2017-12-26T00:00:00-07:00,85.16666666666667 A
2017-12-27T00:00:00-07:00,99.04166666666667 A
2017-12-28T00:00:00-07:00,97.48958333333333 A
2017-12-29T00:00:00-07:00,84.35416666666667 A
2017-12-30T00:00:00-07:00,81.30208333333333 A
2017-12-31T00:00:00-07:00,80.91666666666667 A
