Timestamp,['1cca7518-c0f077f1 0062-WARNOCK ENGR BLDG Power Meter 316607 KW Total']
2017-10-23T00:00:00-06:00,452 kW
2017-10-24T00:00:00-06:00,441 kW
2017-10-25T00:00:00-06:00,455 kW
2017-10-26T00:00:00-06:00,438 kW
2017-10-27T00:00:00-06:00,447 kW
2017-10-28T00:00:00-06:00,390 kW
2017-10-29T00:00:00-06:00,404 kW
2017-10-30T00:00:00-06:00,425 kW
2017-10-31T00:00:00-06:00,411 kW
2017-11-01T00:00:00-06:00,456 kW
2017-11-02T00:00:00-06:00,462 kW
2017-11-03T00:00:00-06:00,446 kW
2017-11-04T00:00:00-06:00,386 kW
2017-11-05T00:00:00-06:00,373 kW
2017-11-06T00:00:00-07:00,389 kW
2017-11-07T00:00:00-07:00,397 kW
2017-11-08T00:00:00-07:00,404 kW
2017-11-09T00:00:00-07:00,465 kW
2017-11-10T00:00:00-07:00,413 kW
2017-11-11T00:00:00-07:00,403 kW
2017-11-12T00:00:00-07:00,406 kW
2017-11-13T00:00:00-07:00,461 kW
2017-11-14T00:00:00-07:00,454 kW
2017-11-15T00:00:00-07:00,449 kW
2017-11-16T00:00:00-07:00,462 kW
2017-11-17T00:00:00-07:00,396 kW
2017-11-18T00:00:00-07:00,395 kW
2017-11-19T00:00:00-07:00,388 kW
2017-11-20T00:00:00-07:00,412 kW
2017-11-21T00:00:00-07:00,459 kW
2017-11-22T00:00:00-07:00,446 kW
2017-11-23T00:00:00-07:00,378 kW
2017-11-24T00:00:00-07:00,377 kW
2017-11-25T00:00:00-07:00,377 kW
2017-11-26T00:00:00-07:00,389 kW
2017-11-27T00:00:00-07:00,421 kW
2017-11-28T00:00:00-07:00,423 kW
2017-11-29T00:00:00-07:00,424 kW
2017-11-30T00:00:00-07:00,413 kW
2017-12-01T00:00:00-07:00,392 kW
2017-12-02T00:00:00-07:00,392 kW
2017-12-03T00:00:00-07:00,374 kW
2017-12-04T00:00:00-07:00,398 kW
2017-12-05T00:00:00-07:00,397 kW
2017-12-06T00:00:00-07:00,410 kW
2017-12-07T00:00:00-07:00,427 kW
2017-12-08T00:00:00-07:00,402 kW
2017-12-09T00:00:00-07:00,373 kW
2017-12-10T00:00:00-07:00,378 kW
2017-12-11T00:00:00-07:00,418 kW
2017-12-12T00:00:00-07:00,405 kW
2017-12-13T00:00:00-07:00,418 kW
2017-12-14T00:00:00-07:00,398 kW
2017-12-15T00:00:00-07:00,400 kW
2017-12-16T00:00:00-07:00,378 kW
2017-12-17T00:00:00-07:00,378 kW
2017-12-18T00:00:00-07:00,376 kW
2017-12-19T00:00:00-07:00,397 kW
2017-12-20T00:00:00-07:00,394 kW
2017-12-21T00:00:00-07:00,386 kW
2017-12-22T00:00:00-07:00,368 kW
2017-12-23T00:00:00-07:00,369 kW
2017-12-24T00:00:00-07:00,365 kW
2017-12-25T00:00:00-07:00,366 kW
2017-12-26T00:00:00-07:00,359 kW
2017-12-27T00:00:00-07:00,372 kW
2017-12-28T00:00:00-07:00,395 kW
2017-12-29T00:00:00-07:00,390 kW
2017-12-30T00:00:00-07:00,377 kW
2017-12-31T00:00:00-07:00,375 kW
