Timestamp,['1fa6235d-e06147c3 0003-GARDNER HALL Power Meter (300015) Current A']
2017-06-04T00:00:00-06:00,149.4094475110372 A
2017-06-05T00:00:00-06:00,169.206280708313 A
2017-06-06T00:00:00-06:00,164.28947655359903 A
2017-06-07T00:00:00-06:00,163.9677119255066 A
2017-06-08T00:00:00-06:00,183.69963041941324 A
2017-06-09T00:00:00-06:00,167.95627609888712 A
2017-06-10T00:00:00-06:00,154.26025565465292 A
2017-06-11T00:00:00-06:00,149.4453500111898 A
2017-06-12T00:00:00-06:00,169.51366186141968 A
2017-06-13T00:00:00-06:00,174.68890762329102 A
2017-06-14T00:00:00-06:00,165.8400557835897 A
2017-06-15T00:00:00-06:00,164.52361822128296 A
2017-06-16T00:00:00-06:00,160.4320831298828 A
2017-06-17T00:00:00-06:00,160.12944396336874 A
2017-06-18T00:00:00-06:00,166.56812556584677 A
2017-06-19T00:00:00-06:00,203.29626528422037 A
2017-06-20T00:00:00-06:00,200.5531152089437 A
2017-06-21T00:00:00-06:00,202.42760499318442 A
2017-06-22T00:00:00-06:00,192.41401783625284 A
2017-06-23T00:00:00-06:00,177.2679058710734 A
2017-06-24T00:00:00-06:00,157.75779835383096 A
2017-06-25T00:00:00-06:00,150.0071857770284 A
2017-06-26T00:00:00-06:00,163.45993955930075 A
2017-06-27T00:00:00-06:00,167.8683327039083 A
2017-06-28T00:00:00-06:00,154.96387799580893 A
2017-06-29T00:00:00-06:00,167.88941431045532 A
2017-06-30T00:00:00-06:00,170.13156604766846 A
2017-07-01T00:00:00-06:00,153.09403483072916 A
2017-07-02T00:00:00-06:00,147.74144903818765 A
2017-07-03T00:00:00-06:00,156.42095295588175 A
2017-07-04T00:00:00-06:00,151.1783183415731 A
2017-07-05T00:00:00-06:00,171.297168413798 A
2017-07-06T00:00:00-06:00,180.25161933898926 A
2017-07-07T00:00:00-06:00,173.74062633514404 A
2017-07-08T00:00:00-06:00,176.00730323791504 A
2017-07-09T00:00:00-06:00,166.81408182779947 A
2017-07-10T00:00:00-06:00,175.8444496790568 A
2017-07-11T00:00:00-06:00,164.67908159891763 A
2017-07-12T00:00:00-06:00,184.70713885625204 A
2017-07-13T00:00:00-06:00,179.66497421264648 A
2017-07-14T00:00:00-06:00,177.8919857343038 A
2017-07-15T00:00:00-06:00,163.36716524759927 A
2017-07-16T00:00:00-06:00,167.93915589650473 A
2017-07-17T00:00:00-06:00,187.4949590365092 A
2017-07-18T00:00:00-06:00,181.4023029009501 A
2017-07-19T00:00:00-06:00,164.7258145014445 A
2017-07-20T00:00:00-06:00,175.72322686513266 A
2017-07-21T00:00:00-06:00,171.74184624354044 A
2017-07-22T00:00:00-06:00,166.2327912648519 A
2017-07-23T00:00:00-06:00,152.2088770866394 A
2017-07-24T00:00:00-06:00,165.0293714205424 A
2017-07-25T00:00:00-06:00,167.83654308319092 A
2017-07-26T00:00:00-06:00,165.72968292236328 A
2017-07-27T00:00:00-06:00,166.424898147583 A
2017-07-28T00:00:00-06:00,165.82943948109946 A
2017-07-29T00:00:00-06:00,164.57199970881143 A
2017-07-30T00:00:00-06:00,152.98182360331217 A
2017-07-31T00:00:00-06:00,178.77212317784628 A
2017-08-01T00:00:00-06:00,169.78644514083862 A
2017-08-02T00:00:00-06:00,165.88684479395548 A
2017-08-03T00:00:00-06:00,186.84921328226724 A
2017-08-04T00:00:00-06:00,169.30992394751246 A
2017-08-05T00:00:00-06:00,141.21055237452188 A
2017-08-06T00:00:00-06:00,138.46951897939047 A
2017-08-07T00:00:00-06:00,166.1230034828186 A
2017-08-08T00:00:00-06:00,167.70977131525675 A
2017-08-09T00:00:00-06:00,173.61036109924316 A
2017-08-10T00:00:00-06:00,179.1129281875935 A
