Timestamp,['1ed6298b-4c920d9d 0012-SUTTON BLDG POWER METER 208V (316602) Current B']
2017-10-18T00:00:00-06:00,152.34375 A
2017-10-19T00:00:00-06:00,151.89583333333334 A
2017-10-20T00:00:00-06:00,142.04166666666666 A
2017-10-21T00:00:00-06:00,107.76041666666667 A
2017-10-22T00:00:00-06:00,105.30208333333333 A
2017-10-23T00:00:00-06:00,130.57291666666666 A
2017-10-24T00:00:00-06:00,131.08333333333334 A
2017-10-25T00:00:00-06:00,127.125 A
2017-10-26T00:00:00-06:00,143.125 A
2017-10-27T00:00:00-06:00,137.73958333333334 A
2017-10-28T00:00:00-06:00,114.09375 A
2017-10-29T00:00:00-06:00,111.92708333333333 A
2017-10-30T00:00:00-06:00,126.89583333333333 A
2017-10-31T00:00:00-06:00,119.17708333333333 A
2017-11-01T00:00:00-06:00,143.69791666666666 A
2017-11-02T00:00:00-06:00,137.01041666666666 A
2017-11-03T00:00:00-06:00,131.35416666666666 A
2017-11-04T00:00:00-06:00,119.23958333333333 A
2017-11-05T00:00:00-06:00,117.28 A
2017-11-06T00:00:00-07:00,136.13541666666666 A
2017-11-07T00:00:00-07:00,133.90625 A
2017-11-08T00:00:00-07:00,138.2736842105263 A
2017-11-09T00:00:00-07:00,143.02083333333334 A
2017-11-10T00:00:00-07:00,142.36458333333334 A
2017-11-11T00:00:00-07:00,130.5 A
2017-11-12T00:00:00-07:00,132.85416666666666 A
2017-11-13T00:00:00-07:00,148.47916666666666 A
2017-11-14T00:00:00-07:00,156.10416666666666 A
2017-11-15T00:00:00-07:00,154.71875 A
2017-11-16T00:00:00-07:00,143.09375 A
2017-11-17T00:00:00-07:00,138.90625 A
2017-11-18T00:00:00-07:00,124.90625 A
2017-11-19T00:00:00-07:00,124.89473684210526 A
2017-11-20T00:00:00-07:00,131.48958333333334 A
2017-11-21T00:00:00-07:00,139.22916666666666 A
2017-11-22T00:00:00-07:00,137.09375 A
2017-11-23T00:00:00-07:00,120.60416666666667 A
2017-11-24T00:00:00-07:00,106.89583333333333 A
2017-11-25T00:00:00-07:00,98.34375 A
2017-11-26T00:00:00-07:00,97.75 A
2017-11-27T00:00:00-07:00,129.9375 A
2017-11-28T00:00:00-07:00,146.10416666666666 A
2017-11-29T00:00:00-07:00,143.8125 A
2017-11-30T00:00:00-07:00,132.80208333333334 A
2017-12-01T00:00:00-07:00,129.3125 A
2017-12-02T00:00:00-07:00,118.85416666666667 A
2017-12-03T00:00:00-07:00,117.125 A
2017-12-04T00:00:00-07:00,137.53125 A
2017-12-05T00:00:00-07:00,134.83333333333334 A
2017-12-06T00:00:00-07:00,141.75 A
2017-12-07T00:00:00-07:00,143.33333333333334 A
2017-12-08T00:00:00-07:00,142.72916666666666 A
2017-12-09T00:00:00-07:00,132.97916666666666 A
2017-12-10T00:00:00-07:00,131.53125 A
2017-12-11T00:00:00-07:00,139.73958333333334 A
2017-12-12T00:00:00-07:00,141.02105263157895 A
2017-12-13T00:00:00-07:00,136.07291666666666 A
2017-12-14T00:00:00-07:00,133.74736842105264 A
2017-12-15T00:00:00-07:00,132.66666666666666 A
2017-12-16T00:00:00-07:00,128.1875 A
2017-12-17T00:00:00-07:00,129.77083333333334 A
2017-12-18T00:00:00-07:00,136.3548387096774 A
2017-12-19T00:00:00-07:00,146.08333333333334 A
2017-12-20T00:00:00-07:00,147.0625 A
2017-12-21T00:00:00-07:00,147.83333333333334 A
2017-12-22T00:00:00-07:00,136.77083333333334 A
2017-12-23T00:00:00-07:00,119.63541666666667 A
2017-12-24T00:00:00-07:00,104.35416666666667 A
2017-12-25T00:00:00-07:00,96.63541666666667 A
2017-12-26T00:00:00-07:00,98.22916666666667 A
2017-12-27T00:00:00-07:00,117.61458333333333 A
2017-12-28T00:00:00-07:00,124.98958333333333 A
2017-12-29T00:00:00-07:00,121.14583333333333 A
2017-12-30T00:00:00-07:00,121.10416666666667 A
2017-12-31T00:00:00-07:00,120.64583333333333 A
