Timestamp,"['1fa24757-6c41502c 0002-VOICE & OPERA CNTR Power Meter (301411) Watts, 3-Ph total']"
2017-08-09T00:00:00-06:00,11.938423156738281 kW
2017-08-10T00:00:00-06:00,12.359743118286133 kW
2017-08-11T00:00:00-06:00,13.511573791503906 kW
2017-08-12T00:00:00-06:00,11.8926362991333 kW
2017-08-13T00:00:00-06:00,7.645522594451904 kW
2017-08-14T00:00:00-06:00,10.787805557250977 kW
2017-08-15T00:00:00-06:00,10.996033668518066 kW
2017-08-16T00:00:00-06:00,12.293095588684082 kW
2017-08-17T00:00:00-06:00,11.95523738861084 kW
2017-08-18T00:00:00-06:00,13.219588279724121 kW
2017-08-19T00:00:00-06:00,8.129843711853027 kW
2017-08-20T00:00:00-06:00,8.071045875549316 kW
2017-08-21T00:00:00-06:00,13.74289608001709 kW
2017-08-22T00:00:00-06:00,11.691438674926758 kW
2017-08-23T00:00:00-06:00,12.58821964263916 kW
2017-08-24T00:00:00-06:00,11.790184020996094 kW
2017-08-25T00:00:00-06:00,12.943695068359375 kW
2017-08-26T00:00:00-06:00,8.317273139953613 kW
2017-08-27T00:00:00-06:00,7.8643364906311035 kW
2017-08-28T00:00:00-06:00,18.62071990966797 kW
2017-08-29T00:00:00-06:00,15.233277320861816 kW
2017-08-30T00:00:00-06:00,14.202466011047363 kW
2017-08-31T00:00:00-06:00,11.531469345092773 kW
2017-09-01T00:00:00-06:00,13.153014183044434 kW
2017-09-02T00:00:00-06:00,7.304492950439453 kW
2017-09-03T00:00:00-06:00,7.744957447052002 kW
2017-09-04T00:00:00-06:00,12.15715503692627 kW
2017-09-05T00:00:00-06:00,14.010603904724121 kW
2017-09-06T00:00:00-06:00,13.871451377868652 kW
2017-09-07T00:00:00-06:00,11.844283103942871 kW
2017-09-08T00:00:00-06:00,17.4344539642334 kW
2017-09-09T00:00:00-06:00,2.9002859592437744 kW
2017-09-10T00:00:00-06:00,4.513711452484131 kW
2017-09-11T00:00:00-06:00,19.439855575561523 kW
2017-09-12T00:00:00-06:00,12.723634719848633 kW
2017-09-13T00:00:00-06:00,11.276467323303223 kW
2017-09-14T00:00:00-06:00,10.295337677001953 kW
2017-09-15T00:00:00-06:00,11.616402626037598 kW
2017-09-16T00:00:00-06:00,4.613317489624023 kW
2017-09-17T00:00:00-06:00,4.647421836853027 kW
2017-09-18T00:00:00-06:00,13.77617359161377 kW
2017-09-19T00:00:00-06:00,10.383347511291504 kW
2017-09-20T00:00:00-06:00,11.188371658325195 kW
2017-09-21T00:00:00-06:00,5.216226100921631 kW
2017-09-22T00:00:00-06:00,6.674424648284912 kW
2017-09-23T00:00:00-06:00,0.80596524477005 kW
2017-09-24T00:00:00-06:00,4.503067493438721 kW
2017-09-25T00:00:00-06:00,9.688580513000488 kW
2017-09-26T00:00:00-06:00,6.006006717681885 kW
2017-09-27T00:00:00-06:00,6.765005588531494 kW
2017-09-28T00:00:00-06:00,5.401691913604736 kW
2017-09-29T00:00:00-06:00,6.968214988708496 kW
2017-09-30T00:00:00-06:00,4.694113731384277 kW
2017-10-01T00:00:00-06:00,4.684717178344727 kW
2017-10-02T00:00:00-06:00,9.659306526184082 kW
2017-10-03T00:00:00-06:00,6.7450995445251465 kW
2017-10-04T00:00:00-06:00,9.548089027404785 kW
2017-10-05T00:00:00-06:00,4.656742572784424 kW
2017-10-06T00:00:00-06:00,6.490426063537598 kW
2017-10-07T00:00:00-06:00,5.3204545974731445 kW
2017-10-08T00:00:00-06:00,4.581136703491211 kW
2017-10-09T00:00:00-06:00,6.615257740020752 kW
2017-10-10T00:00:00-06:00,6.486004829406738 kW
2017-10-11T00:00:00-06:00,6.541410446166992 kW
2017-10-12T00:00:00-06:00,4.56996488571167 kW
2017-10-13T00:00:00-06:00,5.213728427886963 kW
2017-10-14T00:00:00-06:00,4.532504081726074 kW
2017-10-15T00:00:00-06:00,6.299095153808594 kW
2017-10-16T00:00:00-06:00,6.574369430541992 kW
2017-10-17T00:00:00-06:00,6.572808742523193 kW
2017-10-18T00:00:00-06:00,6.601566791534424 kW
2017-10-19T00:00:00-06:00,3.8660268783569336 kW
2017-10-20T00:00:00-06:00,7.823381423950195 kW
2017-10-21T00:00:00-06:00,2.06172776222229 kW
2017-10-22T00:00:00-06:00,6.587215423583984 kW
2017-10-23T00:00:00-06:00,8.93143081665039 kW
2017-10-24T00:00:00-06:00,7.978763580322266 kW
2017-10-25T00:00:00-06:00,8.20041561126709 kW
2017-10-26T00:00:00-06:00,6.53883695602417 kW
2017-10-27T00:00:00-06:00,6.11443567276001 kW
2017-10-28T00:00:00-06:00,4.533347129821777 kW
2017-10-29T00:00:00-06:00,4.5426716804504395 kW
2017-10-30T00:00:00-06:00,6.714067459106445 kW
2017-10-31T00:00:00-06:00,3.9332642555236816 kW
2017-11-01T00:00:00-06:00,7.17268180847168 kW
2017-11-02T00:00:00-06:00,6.567607879638672 kW
2017-11-03T00:00:00-06:00,7.476024627685547 kW
2017-11-04T00:00:00-06:00,4.674919128417969 kW
2017-11-05T00:00:00-06:00,4.542707443237305 kW
2017-11-06T00:00:00-07:00,6.515667915344238 kW
2017-11-07T00:00:00-07:00,4.417940139770508 kW
2017-11-08T00:00:00-07:00,7.758450031280518 kW
2017-11-09T00:00:00-07:00,3.910569667816162 kW
2017-11-10T00:00:00-07:00,4.6113080978393555 kW
2017-11-11T00:00:00-07:00,5.012143611907959 kW
2017-11-12T00:00:00-07:00,5.057652473449707 kW
2017-11-13T00:00:00-07:00,3.7496542930603027 kW
2017-11-14T00:00:00-07:00,8.347856521606445 kW
2017-11-15T00:00:00-07:00,4.602947235107422 kW
2017-11-16T00:00:00-07:00,4.440436840057373 kW
2017-11-17T00:00:00-07:00,6.596005439758301 kW
2017-11-18T00:00:00-07:00,4.8675856590271 kW
2017-11-19T00:00:00-07:00,6.37408447265625 kW
2017-11-20T00:00:00-07:00,4.600642681121826 kW
2017-11-21T00:00:00-07:00,7.871323585510254 kW
2017-11-22T00:00:00-07:00,6.466940879821777 kW
2017-11-23T00:00:00-07:00,4.740914821624756 kW
2017-11-24T00:00:00-07:00,4.605897903442383 kW
2017-11-25T00:00:00-07:00,4.542941570281982 kW
2017-11-26T00:00:00-07:00,4.690067768096924 kW
2017-11-27T00:00:00-07:00,8.550646781921387 kW
2017-11-28T00:00:00-07:00,6.729865550994873 kW
2017-11-29T00:00:00-07:00,6.191874027252197 kW
2017-11-30T00:00:00-07:00,6.635527610778809 kW
2017-12-01T00:00:00-07:00,6.593623161315918 kW
2017-12-02T00:00:00-07:00,4.565699100494385 kW
2017-12-03T00:00:00-07:00,6.271626949310303 kW
2017-12-04T00:00:00-07:00,6.698079586029053 kW
2017-12-05T00:00:00-07:00,6.57939338684082 kW
2017-12-06T00:00:00-07:00,4.047476768493652 kW
2017-12-07T00:00:00-07:00,6.751056671142578 kW
2017-12-08T00:00:00-07:00,6.403812408447266 kW
2017-12-09T00:00:00-07:00,4.493708610534668 kW
2017-12-10T00:00:00-07:00,6.73707389831543 kW
2017-12-11T00:00:00-07:00,6.6290130615234375 kW
2017-12-12T00:00:00-07:00,6.624203681945801 kW
2017-12-13T00:00:00-07:00,6.749312877655029 kW
