Timestamp,['1fd1b0ac-bc81afd9 0082-SKAGGS BIOLOGY BLDG Power Meter kW demand']
2017-12-21T00:00:00-07:00,430 kW
2017-12-22T00:00:00-07:00,504 kW
2017-12-23T00:00:00-07:00,304 kW
2017-12-24T00:00:00-07:00,416 kW
2017-12-25T00:00:00-07:00,399 kW
2017-12-26T00:00:00-07:00,409 kW
2017-12-27T00:00:00-07:00,443 kW
2017-12-28T00:00:00-07:00,521 kW
2017-12-29T00:00:00-07:00,481 kW
2017-12-30T00:00:00-07:00,516 kW
2017-12-31T00:00:00-07:00,421 kW
