Timestamp,['1ef467d0-803ebcfc 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current B']
2017-08-20T00:00:00-06:00,52.931926131248474 A
2017-08-21T00:00:00-06:00,70.41007661819458 A
2017-08-22T00:00:00-06:00,73.17701621850331 A
2017-08-23T00:00:00-06:00,76.87326649824779 A
2017-08-24T00:00:00-06:00,89.58971170584361 A
2017-08-25T00:00:00-06:00,79.26998956998189 A
2017-08-26T00:00:00-06:00,54.8706294298172 A
2017-08-27T00:00:00-06:00,55.07036538918813 A
2017-08-28T00:00:00-06:00,76.38776721749254 A
2017-08-29T00:00:00-06:00,75.00617431312479 A
2017-08-30T00:00:00-06:00,68.75534613927205 A
2017-08-31T00:00:00-06:00,71.77382230758667 A
2017-09-01T00:00:00-06:00,64.58651880423228 A
2017-09-02T00:00:00-06:00,51.944798390070595 A
2017-09-03T00:00:00-06:00,53.29572974757144 A
2017-09-04T00:00:00-06:00,53.01215143998464 A
2017-09-05T00:00:00-06:00,75.62403130531311 A
2017-09-06T00:00:00-06:00,73.57385500272115 A
2017-09-07T00:00:00-06:00,69.91668486595154 A
2017-09-08T00:00:00-06:00,66.44688991705577 A
2017-09-09T00:00:00-06:00,54.38289074103037 A
2017-09-10T00:00:00-06:00,51.823779702186584 A
2017-09-11T00:00:00-06:00,68.74878120422363 A
2017-09-12T00:00:00-06:00,73.55501449108124 A
2017-09-13T00:00:00-06:00,80.28050971031189 A
2017-09-14T00:00:00-06:00,81.36049314339955 A
2017-09-15T00:00:00-06:00,76.09235072135925 A
2017-09-16T00:00:00-06:00,53.49984459082285 A
2017-09-17T00:00:00-06:00,50.58733709653219 A
2017-09-18T00:00:00-06:00,68.40522038936615 A
2017-09-19T00:00:00-06:00,77.4106574455897 A
2017-09-20T00:00:00-06:00,70.34194668134053 A
2017-09-21T00:00:00-06:00,70.85439836978912 A
2017-09-22T00:00:00-06:00,80.47375138600667 A
2017-09-23T00:00:00-06:00,54.02693688869476 A
2017-09-24T00:00:00-06:00,56.06536364555359 A
2017-09-25T00:00:00-06:00,76.57277433077495 A
2017-09-26T00:00:00-06:00,80.02606046199799 A
2017-09-27T00:00:00-06:00,79.21708448727925 A
2017-09-28T00:00:00-06:00,83.4520109097163 A
2017-09-29T00:00:00-06:00,71.33608480294545 A
2017-09-30T00:00:00-06:00,48.6414076089859 A
2017-10-01T00:00:00-06:00,50.96282275517782 A
2017-10-02T00:00:00-06:00,72.4138210217158 A
2017-10-03T00:00:00-06:00,68.55963571866353 A
2017-10-04T00:00:00-06:00,71.40444032351176 A
2017-10-05T00:00:00-06:00,78.44932154814403 A
2017-10-06T00:00:00-06:00,69.33089518547058 A
2017-10-07T00:00:00-06:00,53.52328050136566 A
2017-10-08T00:00:00-06:00,51.21308135986328 A
2017-10-09T00:00:00-06:00,63.3967715104421 A
2017-10-10T00:00:00-06:00,73.15151401360829 A
2017-10-11T00:00:00-06:00,66.96437704563141 A
2017-10-12T00:00:00-06:00,82.21939786275227 A
2017-10-13T00:00:00-06:00,76.9054981470108 A
2017-10-14T00:00:00-06:00,59.67894514401754 A
2017-10-15T00:00:00-06:00,57.86678953965505 A
2017-10-16T00:00:00-06:00,74.72081621487935 A
2017-10-17T00:00:00-06:00,71.98083011309306 A
2017-10-18T00:00:00-06:00,70.71364347139995 A
2017-10-19T00:00:00-06:00,77.27438306808472 A
