Timestamp,['1cdb9c50-68bcc28f 0086-MARRIOTT LIBRARY Power Meter 2 KWH Received']
2017-09-30T00:00:00-06:00,6316 kWh
2017-10-01T00:00:00-06:00,6268 kWh
2017-10-02T00:00:00-06:00,8000 kWh
2017-10-03T00:00:00-06:00,7850 kWh
2017-10-04T00:00:00-06:00,7656 kWh
2017-10-05T00:00:00-06:00,7724 kWh
2017-10-06T00:00:00-06:00,7166 kWh
2017-10-07T00:00:00-06:00,5808 kWh
2017-10-08T00:00:00-06:00,5122 kWh
2017-10-09T00:00:00-06:00,6594 kWh
2017-10-10T00:00:00-06:00,6300 kWh
2017-10-11T00:00:00-06:00,6398 kWh
2017-10-12T00:00:00-06:00,6482 kWh
2017-10-13T00:00:00-06:00,5936 kWh
2017-10-14T00:00:00-06:00,5072 kWh
2017-10-15T00:00:00-06:00,5312 kWh
2017-10-16T00:00:00-06:00,7872 kWh
2017-10-17T00:00:00-06:00,9992 kWh
2017-10-18T00:00:00-06:00,11050 kWh
2017-10-19T00:00:00-06:00,11174 kWh
2017-10-20T00:00:00-06:00,8340 kWh
2017-10-21T00:00:00-06:00,5536 kWh
2017-10-22T00:00:00-06:00,7036 kWh
2017-10-23T00:00:00-06:00,8926 kWh
2017-10-24T00:00:00-06:00,8606 kWh
2017-10-25T00:00:00-06:00,8820 kWh
2017-10-26T00:00:00-06:00,8452 kWh
2017-10-27T00:00:00-06:00,7768 kWh
2017-10-28T00:00:00-06:00,6450 kWh
2017-10-29T00:00:00-06:00,6934 kWh
2017-10-30T00:00:00-06:00,8740 kWh
2017-10-31T00:00:00-06:00,8206 kWh
2017-11-01T00:00:00-06:00,9606 kWh
2017-11-02T00:00:00-06:00,10096 kWh
2017-11-03T00:00:00-06:00,8860 kWh
2017-11-04T00:00:00-06:00,7340 kWh
2017-11-05T00:00:00-06:00,7080 kWh
2017-11-06T00:00:00-07:00,8920 kWh
2017-11-07T00:00:00-07:00,7980 kWh
2017-11-08T00:00:00-07:00,8428 kWh
2017-11-09T00:00:00-07:00,9196 kWh
2017-11-10T00:00:00-07:00,8252 kWh
2017-11-11T00:00:00-07:00,6758 kWh
2017-11-12T00:00:00-07:00,6522 kWh
2017-11-13T00:00:00-07:00,9158 kWh
2017-11-14T00:00:00-07:00,9512 kWh
2017-11-15T00:00:00-07:00,9632 kWh
2017-11-16T00:00:00-07:00,10554 kWh
2017-11-17T00:00:00-07:00,7450 kWh
2017-11-18T00:00:00-07:00,6208 kWh
2017-11-19T00:00:00-07:00,6382 kWh
2017-11-20T00:00:00-07:00,9668 kWh
2017-11-21T00:00:00-07:00,10522 kWh
2017-11-22T00:00:00-07:00,9978 kWh
