Timestamp,['1cbae83c-b206e0a0 0038-ART BLDG Power Meter 300086 KWH Received']
2017-08-14T00:00:00-06:00,617.265625 kWh
2017-08-15T00:00:00-06:00,615.9375 kWh
2017-08-16T00:00:00-06:00,791.765625 kWh
2017-08-17T00:00:00-06:00,628.46875 kWh
2017-08-18T00:00:00-06:00,540.25 kWh
2017-08-19T00:00:00-06:00,510.5625 kWh
2017-08-20T00:00:00-06:00,520.875 kWh
2017-08-21T00:00:00-06:00,606.421875 kWh
2017-08-22T00:00:00-06:00,601.109375 kWh
2017-08-23T00:00:00-06:00,628.390625 kWh
2017-08-24T00:00:00-06:00,654 kWh
2017-08-25T00:00:00-06:00,656.671875 kWh
2017-08-26T00:00:00-06:00,506.890625 kWh
2017-08-27T00:00:00-06:00,485.90625 kWh
2017-08-28T00:00:00-06:00,651.46875 kWh
2017-08-29T00:00:00-06:00,656.59375 kWh
2017-08-30T00:00:00-06:00,662.3125 kWh
2017-08-31T00:00:00-06:00,639.1875 kWh
2017-09-01T00:00:00-06:00,661.75 kWh
2017-09-02T00:00:00-06:00,532.84375 kWh
2017-09-03T00:00:00-06:00,563.203125 kWh
2017-09-04T00:00:00-06:00,608.78125 kWh
2017-09-05T00:00:00-06:00,706 kWh
2017-09-06T00:00:00-06:00,709.828125 kWh
2017-09-07T00:00:00-06:00,697.203125 kWh
2017-09-08T00:00:00-06:00,644.84375 kWh
2017-09-09T00:00:00-06:00,741.078125 kWh
2017-09-10T00:00:00-06:00,671.296875 kWh
2017-09-11T00:00:00-06:00,726.140625 kWh
2017-09-12T00:00:00-06:00,769.140625 kWh
2017-09-13T00:00:00-06:00,778.671875 kWh
2017-09-14T00:00:00-06:00,790.859375 kWh
2017-09-15T00:00:00-06:00,747.21875 kWh
2017-09-16T00:00:00-06:00,496.921875 kWh
2017-09-17T00:00:00-06:00,542.6875 kWh
2017-09-18T00:00:00-06:00,676.0625 kWh
2017-09-19T00:00:00-06:00,741.171875 kWh
2017-09-20T00:00:00-06:00,696.296875 kWh
2017-09-21T00:00:00-06:00,711.875 kWh
2017-09-22T00:00:00-06:00,624.6875 kWh
2017-09-23T00:00:00-06:00,537.15625 kWh
2017-09-24T00:00:00-06:00,536.984375 kWh
2017-09-25T00:00:00-06:00,704.484375 kWh
2017-09-26T00:00:00-06:00,660.53125 kWh
2017-09-27T00:00:00-06:00,638.828125 kWh
2017-09-28T00:00:00-06:00,785.78125 kWh
2017-09-29T00:00:00-06:00,661.171875 kWh
2017-09-30T00:00:00-06:00,563.78125 kWh
2017-10-01T00:00:00-06:00,603.1875 kWh
2017-10-02T00:00:00-06:00,714.25 kWh
2017-10-03T00:00:00-06:00,720.28125 kWh
2017-10-04T00:00:00-06:00,728.59375 kWh
2017-10-05T00:00:00-06:00,715.53125 kWh
2017-10-06T00:00:00-06:00,639.34375 kWh
2017-10-07T00:00:00-06:00,483.28125 kWh
2017-10-08T00:00:00-06:00,497.15625 kWh
2017-10-09T00:00:00-06:00,632.0625 kWh
2017-10-10T00:00:00-06:00,568.53125 kWh
2017-10-11T00:00:00-06:00,575.6875 kWh
2017-10-12T00:00:00-06:00,556.46875 kWh
2017-10-13T00:00:00-06:00,680.65625 kWh
2017-10-14T00:00:00-06:00,477.09375 kWh
2017-10-15T00:00:00-06:00,514.53125 kWh
2017-10-16T00:00:00-06:00,727.4375 kWh
2017-10-17T00:00:00-06:00,707.59375 kWh
2017-10-18T00:00:00-06:00,758.375 kWh
2017-10-19T00:00:00-06:00,588.46875 kWh
2017-10-20T00:00:00-06:00,610.0625 kWh
2017-10-21T00:00:00-06:00,497.375 kWh
2017-10-22T00:00:00-06:00,544.375 kWh
2017-10-23T00:00:00-06:00,616.28125 kWh
2017-10-24T00:00:00-06:00,680.34375 kWh
