Timestamp,"['1e6891be-df586fea 0004-KINGSBURY HALL Power Meter 1 (301210) W-hours, Received']"
2017-09-29T00:00:00-06:00,5861.375 kWh
2017-09-30T00:00:00-06:00,5053.4375 kWh
2017-10-01T00:00:00-06:00,3706.875 kWh
2017-10-02T00:00:00-06:00,4021.875 kWh
2017-10-03T00:00:00-06:00,4093.375 kWh
2017-10-04T00:00:00-06:00,4133.5 kWh
2017-10-05T00:00:00-06:00,4009.125 kWh
2017-10-06T00:00:00-06:00,3972.125 kWh
2017-10-07T00:00:00-06:00,5324.6875 kWh
2017-10-08T00:00:00-06:00,3037.6875 kWh
2017-10-09T00:00:00-06:00,3932.9375 kWh
2017-10-10T00:00:00-06:00,3983.625 kWh
2017-10-11T00:00:00-06:00,4533.8125 kWh
2017-10-12T00:00:00-06:00,3547.6875 kWh
2017-10-13T00:00:00-06:00,3597.0625 kWh
2017-10-14T00:00:00-06:00,3656.5 kWh
2017-10-15T00:00:00-06:00,3015 kWh
2017-10-16T00:00:00-06:00,3554 kWh
2017-10-17T00:00:00-06:00,3888.125 kWh
2017-10-18T00:00:00-06:00,4083.875 kWh
2017-10-19T00:00:00-06:00,4798.1875 kWh
2017-10-20T00:00:00-06:00,4337.0625 kWh
2017-10-21T00:00:00-06:00,3128.25 kWh
2017-10-22T00:00:00-06:00,2871.875 kWh
2017-10-23T00:00:00-06:00,3314.25 kWh
2017-10-24T00:00:00-06:00,3363.125 kWh
2017-10-25T00:00:00-06:00,3837.5625 kWh
2017-10-26T00:00:00-06:00,4057.125 kWh
2017-10-27T00:00:00-06:00,3635.8125 kWh
2017-10-28T00:00:00-06:00,3748.1875 kWh
2017-10-29T00:00:00-06:00,3860.5625 kWh
2017-10-30T00:00:00-06:00,3597.875 kWh
2017-10-31T00:00:00-06:00,3627.625 kWh
2017-11-01T00:00:00-06:00,4265.5 kWh
2017-11-02T00:00:00-06:00,4870.125 kWh
2017-11-03T00:00:00-06:00,3894.4375 kWh
2017-11-04T00:00:00-06:00,3604.0625 kWh
2017-11-05T00:00:00-06:00,3131.1875 kWh
2017-11-06T00:00:00-07:00,3765 kWh
2017-11-07T00:00:00-07:00,3780.0625 kWh
2017-11-08T00:00:00-07:00,3637.25 kWh
2017-11-09T00:00:00-07:00,3783.125 kWh
2017-11-10T00:00:00-07:00,3761.1875 kWh
2017-11-11T00:00:00-07:00,3593.0625 kWh
2017-11-12T00:00:00-07:00,3066.5 kWh
2017-11-13T00:00:00-07:00,3752.5625 kWh
2017-11-14T00:00:00-07:00,3778.3125 kWh
2017-11-15T00:00:00-07:00,3781.3125 kWh
2017-11-16T00:00:00-07:00,3860.625 kWh
2017-11-17T00:00:00-07:00,3763.75 kWh
2017-11-18T00:00:00-07:00,3637.9375 kWh
2017-11-19T00:00:00-07:00,3057.8125 kWh
2017-11-20T00:00:00-07:00,3764.25 kWh
2017-11-21T00:00:00-07:00,3817.125 kWh
2017-11-22T00:00:00-07:00,3785.75 kWh
2017-11-23T00:00:00-07:00,3750.8125 kWh
2017-11-24T00:00:00-07:00,3639.9375 kWh
2017-11-25T00:00:00-07:00,3576.4375 kWh
2017-11-26T00:00:00-07:00,4000.9375 kWh
2017-11-27T00:00:00-07:00,4633.125 kWh
2017-11-28T00:00:00-07:00,3812.1875 kWh
2017-11-29T00:00:00-07:00,3773.25 kWh
2017-11-30T00:00:00-07:00,3802.4375 kWh
2017-12-01T00:00:00-07:00,3756.3125 kWh
2017-12-02T00:00:00-07:00,3613.08251953125 kWh
2017-12-03T00:00:00-07:00,3186.330078125 kWh
2017-12-04T00:00:00-07:00,3814.70947265625 kWh
2017-12-05T00:00:00-07:00,3227.0302734375 kWh
2017-12-06T00:00:00-07:00,2980.7001953125 kWh
2017-12-07T00:00:00-07:00,3062.4404296875 kWh
2017-12-08T00:00:00-07:00,3316.8203125 kWh
2017-12-09T00:00:00-07:00,3124.12890625 kWh
2017-12-10T00:00:00-07:00,2384.53125 kWh
2017-12-11T00:00:00-07:00,2769.3984375 kWh
2017-12-12T00:00:00-07:00,2626.640625 kWh
2017-12-13T00:00:00-07:00,2774.62890625 kWh
2017-12-14T00:00:00-07:00,3258.72265625 kWh
2017-12-15T00:00:00-07:00,3838.6171875 kWh
2017-12-16T00:00:00-07:00,3662.921875 kWh
2017-12-17T00:00:00-07:00,3177.6796875 kWh
2017-12-18T00:00:00-07:00,3843.23828125 kWh
2017-12-19T00:00:00-07:00,3788.16015625 kWh
2017-12-20T00:00:00-07:00,3830.1796875 kWh
2017-12-21T00:00:00-07:00,4112.0625 kWh
2017-12-22T00:00:00-07:00,3393.6484375 kWh
2017-12-23T00:00:00-07:00,3799.6328125 kWh
2017-12-24T00:00:00-07:00,2178.71875 kWh
2017-12-25T00:00:00-07:00,3426.9375 kWh
2017-12-26T00:00:00-07:00,3204.09375 kWh
2017-12-27T00:00:00-07:00,3472.2578125 kWh
2017-12-28T00:00:00-07:00,3617.71875 kWh
2017-12-29T00:00:00-07:00,3561.390625 kWh
2017-12-30T00:00:00-07:00,3469.3515625 kWh
2017-12-31T00:00:00-07:00,3056.8203125 kWh
