Timestamp,['1eb29c53-e154835c 0063-WARNOCK ENGR BLDG (L) Power Meter 300145 Current A']
2017-11-21T00:00:00-07:00,214.32682959238687 A
2017-11-22T00:00:00-07:00,197.54087193806967 A
2017-11-23T00:00:00-07:00,181.35383653640747 A
2017-11-24T00:00:00-07:00,181.77012411753336 A
2017-11-25T00:00:00-07:00,182.5898815790812 A
2017-11-26T00:00:00-07:00,181.3224484125773 A
2017-11-27T00:00:00-07:00,203.05138953526816 A
2017-11-28T00:00:00-07:00,225.37681516011557 A
2017-11-29T00:00:00-07:00,228.46392091115317 A
2017-11-30T00:00:00-07:00,231.55802043279013 A
2017-12-01T00:00:00-07:00,235.06307411193848 A
2017-12-02T00:00:00-07:00,225.4645994504293 A
2017-12-03T00:00:00-07:00,193.32152382532755 A
2017-12-04T00:00:00-07:00,219.1088924407959 A
2017-12-05T00:00:00-07:00,223.96687968571982 A
2017-12-06T00:00:00-07:00,225.52546135584512 A
2017-12-07T00:00:00-07:00,223.30549176534018 A
2017-12-08T00:00:00-07:00,215.99811697006226 A
2017-12-09T00:00:00-07:00,192.66851298014322 A
2017-12-10T00:00:00-07:00,190.59672911961874 A
2017-12-11T00:00:00-07:00,214.0723827679952 A
2017-12-12T00:00:00-07:00,227.10980129241943 A
2017-12-13T00:00:00-07:00,220.99268658955893 A
2017-12-14T00:00:00-07:00,229.6468539237976 A
2017-12-15T00:00:00-07:00,228.22104485829672 A
2017-12-16T00:00:00-07:00,205.4415102005005 A
2017-12-17T00:00:00-07:00,201.90358670552573 A
2017-12-18T00:00:00-07:00,224.49439707110005 A
2017-12-19T00:00:00-07:00,219.7087171872457 A
2017-12-20T00:00:00-07:00,211.82903146743774 A
2017-12-21T00:00:00-07:00,210.3348879814148 A
2017-12-22T00:00:00-07:00,200.25610478719076 A
2017-12-23T00:00:00-07:00,200.99560610453287 A
2017-12-24T00:00:00-07:00,191.27836418151855 A
2017-12-25T00:00:00-07:00,193.73118750254312 A
2017-12-26T00:00:00-07:00,194.9398398399353 A
2017-12-27T00:00:00-07:00,198.71255032221475 A
2017-12-28T00:00:00-07:00,209.56578969955444 A
2017-12-29T00:00:00-07:00,191.46785847345987 A
2017-12-30T00:00:00-07:00,185.4842907587687 A
2017-12-31T00:00:00-07:00,190.0126976966858 A
