Timestamp,['1cd68446-a3dcfaf3 Power Meter (HV) (316610) Real Power Total']
2017-11-27T00:00:00-07:00,95 kW
2017-11-28T00:00:00-07:00,110 kW
2017-11-29T00:00:00-07:00,120 kW
2017-11-30T00:00:00-07:00,88 kW
2017-12-01T00:00:00-07:00,110 kW
2017-12-02T00:00:00-07:00,106 kW
2017-12-03T00:00:00-07:00,112 kW
2017-12-04T00:00:00-07:00,72 kW
2017-12-05T00:00:00-07:00,75 kW
2017-12-06T00:00:00-07:00,78 kW
2017-12-07T00:00:00-07:00,85 kW
2017-12-08T00:00:00-07:00,75 kW
2017-12-09T00:00:00-07:00,84 kW
2017-12-10T00:00:00-07:00,73 kW
2017-12-11T00:00:00-07:00,79 kW
2017-12-12T00:00:00-07:00,84 kW
2017-12-13T00:00:00-07:00,83 kW
2017-12-14T00:00:00-07:00,77 kW
2017-12-15T00:00:00-07:00,77 kW
2017-12-16T00:00:00-07:00,71 kW
2017-12-17T00:00:00-07:00,70 kW
2017-12-18T00:00:00-07:00,75 kW
2017-12-19T00:00:00-07:00,76 kW
2017-12-20T00:00:00-07:00,74 kW
2017-12-21T00:00:00-07:00,82 kW
2017-12-22T00:00:00-07:00,83 kW
2017-12-23T00:00:00-07:00,78 kW
2017-12-24T00:00:00-07:00,94 kW
2017-12-25T00:00:00-07:00,74 kW
2017-12-26T00:00:00-07:00,71 kW
2017-12-27T00:00:00-07:00,77 kW
2017-12-28T00:00:00-07:00,77 kW
2017-12-29T00:00:00-07:00,74 kW
2017-12-30T00:00:00-07:00,76 kW
2017-12-31T00:00:00-07:00,78 kW
